suite,scale,model,prompt_id,pair_id,concept,polarity,paired_with,prompt_type,template_type,prompt,output,max_tokens
olmo,1B,OLMo-2-0425-1B,evalp_alt_text_primary_violation,alt_text_primary,alt text,violation,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as", having a <em>major</em> accessibility problem. The <em>major</em> problem is that the <em>label</em> for the <em>input</em> element is not a <em>desc</em> element. The <em>desc</em> element is required for the <em>label</em> to be meaningful. The <em>label</em> element is required for the <em>input</em> element to be,100
olmo,1B,OLMo-2-0425-1B,evalp_alt_text_primary_conformant,alt_text_primary,alt text,conformant,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as", having a <em>major</em> accessibility problem. The <em>major</em> problem is that the <em>alt</em> attribute is missing from the <em>alt</em> attribute of the <em>img</em> tag. The <em>major</em> problem is that the <em>alt</em> attribute is missing from the <em>img</em> tag. The <em>major</em> problem is that the,100
olmo,1B,OLMo-2-0425-1B,evalp_captions_primary_violation,captions_primary,closed captions,violation,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as", <code>AA</code> (accessible). The code is not accessible because it does not provide a <code>alt</code> attribute for the <code>video</code> element. The <code>video</code> element is not accessible because it does not provide a <code>title</code> attribute. The <code>video</code> element is not accessible because it does not provide a <code>description</code> attribute. The <code>video</,100
olmo,1B,OLMo-2-0425-1B,evalp_captions_primary_conformant,captions_primary,closed captions,conformant,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <code>AA</code> (accessible).</p><p>However, the code is not accessible. The <code>body</code> element is not accessible, and the <code>div</code> element is not accessible. The <code>div</code> element is not accessible because it is not a <code>div</code> element. The <code>div</code> element is not a <code>div</code> element because it is not",100
olmo,1B,OLMo-2-0425-1B,evalp_contrast_primary_violation,color_contrast_primary,color contrast,violation,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <strong>high</strong> risk of non-compliance with WCAG 2.0.</p><p>For more information, see the <a href=""/accessibility/what-is-uaa/what-is-uaa-2.0"">What is WCAG 2.0?</a> page.</p>

Accessibility Testing

Accessibility testing is a process that helps you identify and fix accessibility problems in your website. It's a good idea to test your website before",100
olmo,1B,OLMo-2-0425-1B,evalp_contrast_primary_conformant,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <strong>high</strong> risk of non-compliance with WCAG 2.0.</p><p>For example, the <strong>alt</strong> attribute is missing, and the <strong>title</strong> attribute is not used.</p><p>There are also a number of other issues that could be marked as <strong>high</strong> risk.</p><p>For example, the <strong>alt</strong> and <strong>",100
olmo,1B,OLMo-2-0425-1B,evalp_focus_indicator_primary_violation,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <a href="""">major</a> accessibility issue.</p>
<p>Here is a <a href="""">list of major issues</a> that should be fixed.</p>
<p>Here is a <a href="""">list of minor issues</a> that should be fixed.</p>
<p>Here is a <a href="""">list of minor issues</a> that should be fixed.</p>
<p>Here is a <a href="""">list of minor issues</a>",100
olmo,1B,OLMo-2-0425-1B,evalp_focus_indicator_primary_conformant,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <a href=""http://www.w3.org/TR/UNDERSTANDING/AA11.1/accessible-1.1.html#sec-1.1.1"">accessibility error</a>. The <a href=""http://www.w3.org/TR/UNDERSTANDING/AA11.1/accessible-1.1.html#sec-1.1.1"">accessibility guidelines</a> require that the <a href=""http://www.w3.org",100
olmo,1B,OLMo-2-0425-1B,evalp_keyboard_navigation_primary_violation,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as", having a few accessibility issues. The first issue is that the tabindex attribute is not used. The second issue is that the label for the input is not used. The third issue is that the button is not labeled. The fourth issue is that the form is not in the correct order. The fifth issue is that the form is not in the correct order. The sixth issue is that the form is not in the correct order. The seventh issue is that the form is not in the correct order. The,100
olmo,1B,OLMo-2-0425-1B,evalp_keyboard_navigation_primary_conformant,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a <a href="""">disability-related error</a>.</p>

The <input> element is not accessible because it does not have a label. The <label> element is not accessible because it does not have a name attribute. The <button> element is not accessible because it does not have a type attribute. The <p> element is not accessible because it does not have a class attribute.

The <input> element is not accessible because it does not have a label. The <",100
