domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,"seen over the city of San Francisco, California, U.S., January 7, 2018. REUTERS/Stephen Lam

(Reuters) - The U.S. Federal Reserve is expected to raise interest rates on Wednesday, according to a Reuters poll of economists, but the timing of the move is uncertain.

The central bank is widely expected to raise its benchmark interest rate by a quarter of a percentage point to a range of 1.75 percent to 2 percent.

The Fed",100,pythia-6.9b
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,"a low temperature and a high salinity. The low temperature is due to the fact that the water is cooled by the surrounding air. The high salinity is due to the fact that the water is saturated with dissolved salts.
The cooling of the water is typically accomplished by evaporative cooling. Evaporative cooling is accomplished by passing the water through a heat exchanger. The heat exchanger is typically a coil of metal tubing through which water is passed. The water is cooled by evaporation as it passes through",100,pythia-6.9b
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,"milk, cream, sugar, and sometimes eggs, and is usually flavored with fruit, nuts, or chocolate. Ice cream is a popular dessert in many countries, and is often served as a topping on other desserts.

Ice cream is a frozen dessert made from milk, cream, sugar, and sometimes eggs, and is usually flavored with fruit, nuts, or chocolate. Ice cream is a popular dessert in many countries, and is often served as a topping on other dessert",100,pythia-6.9b
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,be worn by a person in the event of a water rescue. The life jacket is typically worn by a person in a life jacket vest or a life jacket vest. The life jacket is typically worn by a person in a life jacket vest or a life jacket vest. The life jacket is typically worn by a person in a life jacket vest or a life jacket vest. The life jacket is typically worn by a person in a life jacket vest or a life jacket vest. The life jacket is typically worn by,100,pythia-6.9b
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,"serving tea. Tea is a hot beverage made from the leaves of the tea plant Camellia sinensis. Tea is usually served in a cup or mug, but it can also be served in a teapot or a pot. Tea is usually served hot, but it can also be served iced. Tea is usually drunk black, but it can also be drunk with milk, sugar, or lemon.

Tea is a popular beverage in many parts of the world. Tea is consumed",100,pythia-6.9b
control,living_room,living room,declarative,cloze,A living room is,"a place where you can relax and enjoy your time with your family and friends. It is a place where you can sit and watch TV, listen to music, or just hang out with your loved ones. It is also a place where you can have a conversation with your loved ones.

A living room is a place where you can relax and enjoy your time with your family and friends. It is a place where you can sit and watch TV, listen to music, or just hang out with",100,pythia-6.9b
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,"includes a track with a series of loops, dives, and turns, and a vehicle that travels along the track. The vehicle is typically a car, but may be a train, a boat, or a plane. The vehicle is typically powered by a motor, but may be powered by gravity, air pressure, or other means.
A roller coaster may be designed to provide a variety of ride experiences, such as a thrill ride, a family ride, a children's ride, or a",100,pythia-6.9b
control,school_bus,school bus,declarative,cloze,A school bus is used to,transport students to and from school. The school bus is typically a large vehicle that is used to transport students to and from school. The school bus is typically used to transport students to and from school. The school bus is typically used to transport students to and from school. The school bus is typically used to transport students to and from school. The school bus is typically used to transport students to and from school. The school bus is typically used to transport students to and from school. The school bus is,100,pythia-6.9b
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,"a slice of bread, a slice of cheese, and a slice of ham. The sandwich is then grilled on a pan until the bread is toasted and the cheese is melted. The sandwich is then cut into two pieces and served.

The grilled cheese sandwich is a staple of American cuisine. It is a popular food item in the United States, and is often served at fast food restaurants.

The grilled cheese sandwich is a staple of American cuisine. It is a popular food item in the",100,pythia-6.9b
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,"peanuts, and it’s a great source of protein. It’s also a great source of vitamin E, which is a powerful antioxidant. Vitamin E is also a powerful anti-inflammatory, which means it can help reduce inflammation in the body.

Peanut butter is also a great source of vitamin B6, which is a powerful antioxidant. Vitamin B6 is also a powerful anti-inflammatory, which means it can help reduce inflammation in the body.

Peanut butter is",100,pythia-6.9b
