"id","severity","area","finding","detail","evidence","suggested_fix","","","","","","","","","","","","",""
"A1","BLOCKER","frequency pipeline","Frozen Pile frequency table and primary Spearman summary clobbered by last-suite-wins overwrite","run_frequency_analysis() writes results/frequency/frequency_table.csv and spearman_summary.csv with fixed filenames; frequency-analysis.ipynb loops it over suites (pythia → gpt2 → olmo), so each pass overwrites the last. After this week's run, frequency_table.csv holds OLMo-Mix/Dolma counts (53 rows; screen_reader = 987,882) instead of the frozen Pile counts (49 rows; screen_reader = 32,100 — survives only at git HEAD), and spearman_summary.csv contains ONLY the 3 olmo rows (0.5823 / 0.5757 / -0.0073) — the pythia and gpt2 primary rows written by dual_spearman at 17:20 were destroyed at 17:31. dual_spearman.py and closeout_followups.py read frequency_table.csv as 'the FROZEN frequency table'; any rerun now silently correlates pythia/gpt2 accuracy against Dolma counts. The file carries no corpus/index column, so provenance is unrecoverable from the file itself.","Disk frequency_table.csv screen_reader=987882 (matches olmo_frequency_accuracy.csv on all rows); git show HEAD: 49 rows, screen_reader=32100; log10(32100)=4.5065 == compound_accuracy_table x_log10_bigram in all three suites. spearman_summary.csv = 3 olmo-only rows, mtime 17:31; sibling dual_spearman outputs mtime 17:20 with all suites. src/frequency.py fixed paths; src/dual_spearman.py:311 writes the same spearman_summary.csv path as PRIMARY.","Restore both files from HEAD (git checkout -- results/frequency/frequency_table.csv results/frequency/spearman_summary.csv), then give run_frequency_analysis per-suite filenames (e.g. {suite}_frequency_table.csv / {suite}_spearman_summary.csv) and add a corpus/index column.","","","","","","","","","","","","",""
"A2","BLOCKER","paper vs data","Paper §2 gap narrative is contradicted by the current committed gap tables","02-the-behavioral-gap.md claims the gap holds at 'nine of ten model-scale points', with the sole exception Pythia-12B where 'declarative accuracy decreases to meet evaluative accuracy', and GPT-2 'reaching 50 points at 1.5B'. Current committed results/analysis/pythia_gap.csv: gap goes NEGATIVE at 6.9B (declarative 48.0 < evaluative 50.0), not at 12B, and declarative RISES monotonically 35.3→55.9 with no 12B regression. gpt2_gap.csv max gap = 41.0 pts at 1.5B, not 50. The 'convergence by decay' thesis and the 12B-exception framing do not reproduce; they match only the pre-refactor tables at git 3e60191^. CLAIMS A1's NAILED audit note matches only the old tables too.","results/analysis/pythia_gap.csv: 25.3/17.3/26.3/17.1/-2.0/5.9; 12B declarative 55.9. gpt2_gap.csv 1.5B gap 41.0. git show 3e60191^ reproduces the paper's numbers exactly.","Decide whether the new coding/estimand is canonical; if so rewrite §2 (and CLAIMS A1's audit note) from the current tables; if not, adjudicate the coding change in DECISIONS.","","","","","","","","","","","","",""
"A3","BLOCKER","paper vs data","Completion-paradox claim does not reproduce; its evidence CSV was archived; a concept rename broke the completion/declarative join","§2 states twice that 'completion accuracy exceeds declarative accuracy at all ten suite-by-scale points (sign test, p ≈ .001)'. results/analysis/completion_paradox.csv was deleted (moved untracked to results/_archive/). Recomputed from that file: 13 suite×scale points (now incl. olmo), completion > declarative at only 6, with 6 reversals — sign test p≈1.0. Root cause of the thin comparison: after commit 7f84365 renamed 'captions' → 'closed captions' in the declarative battery, only 'alt text' survives the completion/declarative concept join (completion battery still says 'captions', and 'page title'/'script' have no declarative counterpart). The alt-text-only comparison is 7 greater / 6 ties / 0 less (ties-excluded p=0.0078, n=7) — real, but nothing like the inked claim. paper/generate-figures/generate-fig-completion-paradox.py reads the deleted path and can no longer run.","git status: D results/analysis/completion_paradox.csv, ?? results/_archive/completion_paradox.csv. Recompute: 13 joinable rows, all concept='alt text'; suite×scale 6 gt / 1 tie / 6 lt. Completion concepts {alt text, captions, page title, script} vs declarative 'closed captions'. generate-fig-completion-paradox.py:51.","Fix the concept-name mapping in the completion/declarative join (captions ↔ closed captions), regenerate the table, and re-derive the claim at the level it actually supports; update §2 and the figure script's input path.","","","","","","","","","","","","",""
"A4","MAJOR","frequency pipeline","OLMo robustness battery mixes corpora: partial/Kendall/bootstrap use Pile x-values while the primary uses Dolma; four contradictory OLMo-1B rhos on disk","compound_accuracy_table.csv (dual_spearman, 17:20) computes x from PILE counts for ALL suites including olmo, so every olmo row of spearman_partial (raw_rho 0.5643), spearman_kendall (tau 0.4490 — the x vector is literally pythia's), rowlevel_bootstrap and secondary_sensitivity is OLMo-accuracy-vs-Pile, while spearman_summary.csv / olmo_frequency_accuracy.csv (17:31) use DOLMA counts (rho 0.5823). Both reproduce from their own inputs, but they answer different questions, and the corpus-matched design in docs/claude-science/olmo_run_plan.md is violated by the whole robustness battery. Separately, OLMo-2-0425-1B has four mutually contradictory correlations on disk with no adjudication: 0.4819 (results/olmo/), 0.3288 (results/frequency/olmo/, different elicitation raw — the two results CSVs differ on 'output' for 92/92 rows), 0.4776 (stale spearman_accuracy.csv), 0.5823 (this week's 3-model olmo row). A browser-download duplicate 'OLMo-2-0425-1B-results (1).csv' also remains.","Recomputed: spearman on compound_accuracy_table olmo (Pile x) = 0.5643 == spearman_partial raw_rho; on olmo_frequency_accuracy (Dolma) = 0.5823 == summary. kendalltau vs Dolma = 0.4610 ≠ file's 0.4490 (Pile). results/olmo vs results/frequency/olmo result.md: 0.4819 vs 0.3288, both reproduce from their own merged CSVs (18/49 mean_accuracy rows differ).","Decide the canonical x-corpus for OLMo (Dolma is the design intent), regenerate compound_accuracy_table + the robustness battery consistently, add a corpus column, delete or archive results/olmo/ and the '(1)' duplicate, and record the adjudication in DECISIONS.","","","","","","","","","","","","",""
"A5","MAJOR","paper vs data","Every statistic in paper §3 is stale against the regenerated frequency battery","§3 inks Pythia ρ=0.5715 / GPT-2 ρ=0.5052 with partials 0.5913/0.4857 (word1) and 0.5603/0.4896 (token count). The regenerated battery consistently gives Pythia 0.5875 / GPT-2 0.5194 (recomputed independently from three artifacts), partials word1 0.6059/0.4988, token count 0.5807/0.5092. The pre-registered ρ≥0.4 threshold still clears, so the conclusion survives — but every number needs re-inking, and the estimand changed (trajectory ordinal → mean accuracy per docs/frequency-refactor.md) without the paper saying so. CLAIMS A3 carries the same stale values.","Recomputed spearman(log10 bigram, mean_accuracy) from pythia/gpt2_frequency_accuracy.csv = 0.5875 / 0.5194 (n=49), matching spearman_partial.raw_rho and compound_accuracy_table. Old values now exist only in stale spearman_pmi_robustness.csv (mtime 07-04) and git HEAD.","Re-ink §3 and CLAIMS A3 from the current artifacts and state the mean-accuracy estimand explicitly.","","","","","","","","","","","","",""
"A6","MAJOR","analysis code","Documented exclusion of the 41 expansion compounds from the gap tables is a silent no-op","gap_analysis.py:76-78 filters source=='original' with a comment saying the frequency-stratified expansion compounds must NOT be pooled into the declarative/evaluative paradigm means. But analysis.py:66 hardcodes source='original' for every loaded row, and in the new per-domain layout the expansion compounds share the same CSVs as the original 10. The filter keeps everything: declarative pivots and gap scores are computed over 51 concepts, and the headline gap compares a 51-concept declarative mean against a 5-concept evaluative mean. This directly shapes the gap tables that A2's paper rewrite would be based on.","elicitation_coded.csv source value_counts == {'original': 3458}. Pythia declarative pivot: 51 concepts. Recomputed pythia-160M declarative over all 51 = 0.7059 == pythia_gap.csv; restricted to the 10 original concepts = 0.5.","Propagate a real source flag in load_all_results (e.g. from a compound→source map) or drop the dead filter and re-derive the gap tables deliberately; then re-check A2.","","","","","","","","","","","","",""
"A7","MAJOR","claims vs data","CLAIMS B7 binding–accuracy correlation is destroyed by the regenerated 49-compound data but still marked NAILED","B7 inks 'GPT-2 Pearson r = 0.448; Pythia r = 0.116' on 8 compounds (n_pairs 32/48). Current binding_accuracy_corr.csv: gpt2 r=0.087 (n=196), pythia r=-0.003 (Spearman -0.126, n=294), olmo r=0.115 (n=147). The architecture-dependence contrast collapses to ~zero everywhere. B7 feeds A4's 'correlate' framing and paper §4; paper/figures/binding-vs-accuracy.png is Jun 27 vintage (old data).","results/analysis/binding_accuracy_corr.csv rows recomputed exactly from binding_vs_accuracy.csv (637 rows, 49 compounds/suite, all three families present).","Downgrade/retract B7, update §4 and the figure, or adjudicate why the 8-compound subset was the right test.","","","","","","","","","","","","",""
"A8","MAJOR","claims vs data","'Never-emerges' concept list and B4 regression counts no longer reproduce after the closed-captions re-coding","§3 (echoed in §2): 'ARIA, captions, and semantic HTML never arrive across ten models and two model-families'. Current per_concept_trajectories.csv codes closed captions CORRECT at Pythia 2.8B (peak_regress) and CORRECT at GPT-2 1.5B (monotonic_climb) — captions now emerges in both families. B4's inked counts (4 Pythia / 2 GPT-2 / 1 both strict) recompute to 5 / 2 / 1 (closed captions joins the Pythia regressors); by peak_regress label 8 / 4 / 1. GPT-2 skip link is now labeled never_emerges (0/1/1/0), weakening the §3 'degrades at maximum scale in both families' exemplar.","per_concept_trajectories.csv rows for closed captions and skip link; elicitation_coded.csv confirms gpt2 closed captions declarative correct at 1.5B, pythia at 2.8B. Recomputed strict pythia regressor set = {accessible name, closed captions, keyboard navigation, reading order, skip link}.","Re-derive the never-emerges list and B4 counts from the current table; update §2/§3 and CLAIMS B4.","","","","","","","","","","","","",""
"A9","MAJOR","paper scope","OLMo-2: full third-family results on disk, absent from paper and DECISIONS — and they contradict three shipped generalizations","results/{binding,elicitation,entropy,frequency,analysis} carry complete OLMo-2 1B/7B/13B results, but 'olmo' appears 0 times in DECISIONS.md and all paper body sections; §9 still says 'All results are on Pythia and GPT-2'. The OLMo data actively stresses shipped claims: (a) ARIA is CORRECT at OLMo 7B/13B vs the never-emerges story; (b) the fluent-wrongness confidence penalty goes NEGATIVE at 7B (-0.57) and 13B (-1.23) vs §5's 'non-negative throughout'; (c) olmo_gap.csv closes the gap at 13B by evaluative RISE (gap -2.2), the opposite of convergence-by-decay. Caveat if scoping OLMo in: the scale series is confounded by training-token budget (1B@2077B tokens, 7B@416B, 13B@831B) — parameters and tokens-seen move non-monotonically together.","grep -ric olmo: DECISIONS.md=0, paper body=0. per_concept_trajectories olmo ARIA 7B=2, 13B=2. fluent_wrongness.csv olmo: +0.81 / -0.57 / -1.23. olmo_gap.csv 13B gap=-2.2. Revision lines: stage1-step990000-tokens2077B / step99000-tokens416B / step99000-tokens831B.","Either scope OLMo in (rewriting the three generalizations and flagging the token-budget confound) or state its exclusion explicitly in §9/Limitations and DECISIONS.","","","","","","","","","","","","",""
"A10","MAJOR","claims integrity","Evidence for NAILED claims A4/A5/D6 (and B4's expansion CSVs) exists only in results/_archive; CLAIMS' own gate says such claims do not ship","CLAIMS A4/A5/D6 cite results/pythia/pythia-2.8b-{head-characterization,collocation,candidate-heads,multihead-ablation}.csv and notebooks/lexical-head-l29h7.ipynb; DECISIONS D6/D8 name the same outputs. results/pythia/ does not exist; the four CSVs live only in results/_archive/ and the notebook is gone entirely (binding-lexical-head.ipynb may be its successor, but nothing says so). B4's *-expansion-results.csv paths also resolve only to _archive. D7's sealed d7_step5_ranks_preban.csv exists only inside .claude/worktrees/, not under results/logits/.","find results -name 'pythia-2.8b-*' → _archive only; notebooks/lexical-head-l29h7.ipynb absent; find -name '*preban*' → .claude/worktrees/... only. CLAIMS.md: 'A claim with an unverifiable Evidence pointer does not ship.'","Un-archive (or re-home) the evidence CSVs to a canonical results/ path and update every pointer; copy the preban CSV into results/logits/.","","","","","","","","","","","","",""
