model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
gpt2-xl,skip_link,0,1.10956,29.231646,26.3452,29.305433,0.0
gpt2-xl,skip_link,1,7.186431,17.169399,2.3891,48.373726,0.0213
gpt2-xl,skip_link,2,11.530114,5.411224,0.4693,60.201675,0.0426
gpt2-xl,skip_link,3,7.091693,7.454638,1.0512,66.957939,0.0638
gpt2-xl,skip_link,4,5.952301,6.865924,1.1535,68.902672,0.0851
gpt2-xl,skip_link,5,6.582685,7.29562,1.1083,71.046867,0.1064
gpt2-xl,skip_link,6,7.176018,8.730721,1.2167,72.987564,0.1277
gpt2-xl,skip_link,7,6.872767,10.175512,1.4806,75.747574,0.1489
gpt2-xl,skip_link,8,8.759504,10.34599,1.1811,79.449615,0.1702
gpt2-xl,skip_link,9,6.606097,9.516699,1.4406,82.239586,0.1915
gpt2-xl,skip_link,10,7.370996,11.477221,1.5571,86.299255,0.2128
gpt2-xl,skip_link,11,6.310216,11.100845,1.7592,88.188667,0.234
gpt2-xl,skip_link,12,7.153247,10.905733,1.5246,90.949692,0.2553
gpt2-xl,skip_link,13,10.531478,12.889768,1.2239,94.029861,0.2766
gpt2-xl,skip_link,14,10.158002,13.763699,1.355,97.663513,0.2979
gpt2-xl,skip_link,15,8.560454,14.989976,1.7511,104.005508,0.3191
gpt2-xl,skip_link,16,6.931536,13.060522,1.8842,106.271286,0.3404
gpt2-xl,skip_link,17,13.122502,15.007891,1.1437,111.338699,0.3617
gpt2-xl,skip_link,18,11.193669,18.128935,1.6196,116.076057,0.383
gpt2-xl,skip_link,19,10.202724,18.692003,1.8321,121.400894,0.4043
gpt2-xl,skip_link,20,9.256403,18.596579,2.0091,126.710388,0.4255
gpt2-xl,skip_link,21,10.84897,21.086205,1.9436,133.718948,0.4468
gpt2-xl,skip_link,22,10.971009,21.967127,2.0023,143.348709,0.4681
gpt2-xl,skip_link,23,10.628372,21.713264,2.043,150.308914,0.4894
gpt2-xl,skip_link,24,16.699043,25.401558,1.5211,162.239334,0.5106
gpt2-xl,skip_link,25,12.765635,25.461123,1.9945,173.049164,0.5319
gpt2-xl,skip_link,26,8.831215,23.628237,2.6755,181.272034,0.5532
gpt2-xl,skip_link,27,10.536876,31.540615,2.9934,194.059906,0.5745
gpt2-xl,skip_link,28,8.921448,29.072002,3.2587,205.780228,0.5957
gpt2-xl,skip_link,29,15.047785,34.644299,2.3023,221.630569,0.617
