model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
gpt2,skip_link,0,27.263559,35.770519,1.312,59.065041,0.0
gpt2,skip_link,1,11.718819,9.163284,0.7819,56.204395,0.0909
gpt2,skip_link,2,10.03787,9.387074,0.9352,60.012482,0.1818
gpt2,skip_link,3,10.065157,12.704878,1.2623,64.516586,0.2727
gpt2,skip_link,4,10.563642,16.691162,1.5801,74.557625,0.3636
gpt2,skip_link,5,10.503521,16.663963,1.5865,76.1576,0.4545
gpt2,skip_link,6,15.090502,20.63154,1.3672,85.306633,0.5455
gpt2,skip_link,7,13.989622,30.042133,2.1475,104.53949,0.6364
gpt2,skip_link,8,8.895942,30.949816,3.4791,119.261742,0.7273
gpt2,skip_link,9,18.040373,49.827034,2.762,160.262024,0.8182
gpt2,skip_link,10,21.66053,95.914062,4.4281,243.827484,0.9091
gpt2,skip_link,11,189.574234,81.995522,0.4325,409.884369,1.0
gpt2,color_contrast,0,28.090652,39.589478,1.4093,61.953342,0.0
gpt2,color_contrast,1,10.70369,11.715956,1.0946,60.544632,0.0909
gpt2,color_contrast,2,8.523111,11.148227,1.308,64.937233,0.1818
gpt2,color_contrast,3,10.847667,13.041734,1.2023,72.077904,0.2727
gpt2,color_contrast,4,15.26228,15.912623,1.0426,79.804207,0.3636
gpt2,color_contrast,5,10.123169,19.196087,1.8963,85.881989,0.4545
gpt2,color_contrast,6,11.538051,19.812925,1.7172,93.759041,0.5455
gpt2,color_contrast,7,10.328661,31.143415,3.0152,107.752068,0.6364
gpt2,color_contrast,8,21.173393,33.796566,1.5962,129.911179,0.7273
gpt2,color_contrast,9,20.361183,39.936687,1.9614,165.760757,0.8182
gpt2,color_contrast,10,32.66489,107.777763,3.2995,276.237061,0.9091
gpt2,color_contrast,11,229.536041,77.960953,0.3396,474.869934,1.0
