prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,5.2506,3.4506,7.9503,2.3853,gpt2
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,5.4026,7.0063,7.0106,1.0956,gpt2
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.8965,4.4571,7.9503,4.4571,gpt2
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,4.0548,1.4314,8.5532,0.1753,gpt2
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,5.3818,5.8346,7.0106,2.6792,gpt2
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,5.0709,3.9397,7.9503,1.828,gpt2
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,5.2263,2.855,7.0106,2.855,gpt2
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,5.1012,4.3142,7.0106,2.7579,gpt2
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,5.4013,4.0067,7.4756,3.02,gpt2
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,8,4.9504,7.3988,7.3988,0.5852,gpt2
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,6.061,4.4732,7.9503,4.4732,gpt2
decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,5.3617,5.2379,7.9503,1.5443,gpt2
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,5.3604,4.9031,7.9503,2.4538,gpt2
decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,4.5769,3.61,7.0626,1.221,gpt2
decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,5.1046,4.9863,7.0106,2.6297,gpt2
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,6,5.2804,6.1072,7.0106,2.7066,gpt2
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,5,5.6867,3.9364,7.0626,3.9364,gpt2
decl_target_size_001,target size,declarative,cloze,A target size is,5,5.4837,3.8577,7.9503,3.2089,gpt2
decl_touch_target_001,touch target,declarative,cloze,A touch target is,5,5.811,4.1936,7.9503,4.1107,gpt2
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,5,5.7086,4.4194,7.9503,3.9944,gpt2
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,5,5.127,4.3897,7.9503,1.828,gpt2
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,5,4.4374,4.5707,7.0106,2.9949,gpt2
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,5,6.4338,5.0572,7.9503,4.287,gpt2
decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,5,5.6244,4.9778,7.0106,4.7449,gpt2
decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,4,5.2104,4.9011,7.0106,4.2547,gpt2
decl_status_message_001,status message,declarative,cloze,A status message is,5,5.646,4.1302,7.9503,4.1302,gpt2
decl_error_identification_001,error identification,declarative,cloze,Error identification is,4,5.3562,3.9236,7.0106,3.9236,gpt2
decl_pointer_cancellation_001,pointer cancellation,declarative,cloze,Pointer cancellation is,5,5.6043,4.7714,7.0106,4.3845,gpt2
decl_character_key_001,character key,declarative,cloze,A character key is,5,5.7927,3.9394,7.9503,3.9394,gpt2
decl_accessibility_tree_001,accessibility tree,declarative,cloze,An accessibility tree is,5,5.5549,2.4616,7.0626,2.4616,gpt2
decl_accessible_name_001,accessible name,declarative,cloze,An accessible name is,5,5.9947,5.7018,7.0626,3.7152,gpt2
decl_accessible_description_001,accessible description,declarative,cloze,An accessible description is,5,5.0806,3.9232,7.0626,0.9232,gpt2
decl_live_region_001,live region,declarative,cloze,A live region is,5,6.3883,4.2066,7.9503,4.2066,gpt2
decl_tab_panel_001,tab panel,declarative,cloze,A tab panel is,5,5.819,4.3128,7.9503,4.3128,gpt2
decl_radio_group_001,radio group,declarative,cloze,A radio group is,5,6.08,5.1669,7.9503,4.8145,gpt2
decl_tree_grid_001,tree grid,declarative,cloze,A tree grid is,5,5.8798,3.747,7.9503,3.747,gpt2
decl_menu_bar_001,menu bar,declarative,cloze,A menu bar is,5,5.7889,4.6349,7.9503,4.2831,gpt2
decl_tool_tip_001,tool tip,declarative,cloze,A tool tip is,5,5.4325,4.3046,7.9503,3.3874,gpt2
decl_combo_box_001,combo box,declarative,cloze,A combo box is,5,5.5279,3.7362,7.9503,3.6737,gpt2
decl_semantic_markup_001,semantic markup,declarative,cloze,Semantic markup is,5,5.1927,4.1232,7.4756,3.02,gpt2
decl_focus_management_001,focus management,declarative,cloze,Focus management is,4,5.2635,4.3499,7.0106,4.3499,gpt2
decl_reading_order_001,reading order,declarative,cloze,Reading order is,4,5.7638,6.2029,7.0106,4.4538,gpt2
decl_text_formatting_001,text formatting,declarative,cloze,Text formatting is,4,5.2782,5.1199,7.0106,4.3072,gpt2
decl_form_field_001,form field,declarative,cloze,A form field is,5,5.1055,4.0406,7.9503,1.4739,gpt2
decl_landmark_region_001,landmark region,declarative,cloze,A landmark region is,5,5.8069,5.1593,7.9503,3.2027,gpt2
decl_low_vision_001,low vision,declarative,cloze,Low vision is,4,5.5183,4.1451,7.0106,4.1451,gpt2
decl_cognitive_disabilities_001,cognitive disabilities,declarative,cloze,Cognitive disabilities are,5,5.8902,5.3814,7.0106,4.1664,gpt2
decl_universal_design_001,universal design,declarative,cloze,Universal design is,4,6.4139,5.3589,7.298,5.3589,gpt2
decl_decorative_image_001,decorative image,declarative,cloze,A decorative image is,5,6.0018,4.5655,7.9503,2.8374,gpt2
decl_informative_image_001,informative image,declarative,cloze,An informative image is,5,5.8417,4.8998,7.0626,4.672,gpt2
decl_responsive_design_001,responsive design,declarative,cloze,Responsive design is,6,4.5081,4.6048,7.6583,1.111,gpt2
eval_alt_text_001,alt text,evaluative,code_review,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,2.987,3.8497,8.5532,0.0139,gpt2
eval_div_onclick_001,semantic HTML,evaluative,code_review,A <div> with onclick is not accessible because,12,5.4845,3.4756,7.9503,1.8462,gpt2
eval_empty_link_001,empty link,evaluative,code_review,The accessibility problem with <a href='#'></a> is,15,3.9479,4.46,8.5532,0.013,gpt2
eval_unlabeled_input_001,form label,evaluative,code_review,<input type='text'> needs a,9,3.7948,6.8906,7.0106,0.0717,gpt2
eval_click_here_001,link text,evaluative,code_review,A button that only says 'Click here' is bad because,13,4.9435,2.9451,7.9503,1.9071,gpt2
comp_alt_text_few_shot_001,alt text,completion,few_shot,"<img src=""icons/home.png"" alt=""Home""><img src=""icons/mail.png"" alt=""Inbox""><img src=""photo.jpg""",36,1.6786,0.1057,7.4302,0.006,gpt2
comp_alt_text_bare_001,alt text,completion,bare,"<img src=""photo.jpg""",9,2.7311,0.2412,7.0106,0.2412,gpt2
comp_captions_few_shot_001,captions,completion,few_shot,"<video src=""intro.mp4""><track kind=""captions"" src=""intro.vtt""></video><video src=""demo.mp4""><track kind=""captions"" src=""demo.vtt""></video><video src=""lecture.mp4"">",61,1.7972,6.9662,7.0106,0.0063,gpt2
comp_captions_bare_001,captions,completion,bare,"<video src=""lecture.mp4"">",11,3.5947,5.8733,7.0106,0.6514,gpt2
comp_page_title_few_shot_001,page title,completion,few_shot,<html><head><title>About Us</title></head><html><head><title>Contact</title></head><html><head>,31,1.7084,6.6879,7.4283,0.0071,gpt2
comp_page_title_bare_001,page title,completion,bare,"<html><head><meta charset=""utf-8"">",14,1.8739,4.8274,7.0106,0.0019,gpt2
comp_script_bare_001,script,completion,bare,<script,3,4.9466,2.1788,7.0106,2.1788,gpt2
comp_script_few_shot_001,script,completion,few_shot,"<script src=""utils.js""></script><script src=""main.js""></script><script src=""",23,1.9444,6.3185,7.0106,0.0028,gpt2
hypo_alt_text_direct_001,alt text,hypothesis,direct_question,Look at this HTML: <img src='portrait.jpg'>. What specific attribute is missing to make it accessible?,26,3.3754,5.2433,7.0106,0.6427,gpt2
hypo_alt_text_correction_001,alt text,hypothesis,error_correction,Correct the following inaccessible code: <img src='logo.png'>,16,4.1139,5.3893,7.0106,0.8763,gpt2
hypo_alt_text_socratic_001,alt text,hypothesis,socratic,A screen reader is software that reads text aloud. Why would a screen reader fail to describe this tag: <img src='chart.svg'>?,32,3.5508,3.1928,7.9503,0.0689,gpt2
valid_alt_text_direct_001,alt text,validation,direct_question,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,2.987,3.8497,8.5532,0.0139,gpt2
valid_alt_text_instruction_001,alt text,validation,instruction,What accessibility attribute is missing from this HTML: <img src='photo.jpg'>?,19,3.669,1.6045,7.0106,0.8549,gpt2
valid_screen_reader_socratic_001,screen reader,validation,socratic,A screen reader is software that reads text aloud. Why would it fail to describe <img src='chart.svg'>?,27,3.5705,3.8814,7.9503,0.0641,gpt2
valid_aria_confab_001,ARIA,validation,cloze,ARIA stands for,5,5.3818,5.8346,7.0106,2.6792,gpt2
valid_html_confab_001,HTML,validation,cloze,HTML stands for,4,4.3144,5.0751,7.0106,0.3539,gpt2
