model,prompt,source,rank,token,logit
gpt2-xl,skip_link,mlp_final,0,advance,11.202
gpt2-xl,skip_link,mlp_final,1,assessed,10.661
gpt2-xl,skip_link,mlp_final,2,subtitle,10.483
gpt2-xl,skip_link,mlp_final,3,engaging,10.461
gpt2-xl,skip_link,mlp_final,4,tit,10.414
gpt2-xl,skip_link,mlp_final,5,sever,10.265
gpt2-xl,skip_link,mlp_final,6,view,10.121
gpt2-xl,skip_link,mlp_final,7,resource,9.986
gpt2-xl,skip_link,mlp_final,8,consum,9.931
gpt2-xl,skip_link,mlp_final,9,marvel,9.923
gpt2-xl,skip_link,mlp_final,10,epis,9.918
gpt2-xl,skip_link,mlp_final,11,rem,9.893
gpt2-xl,skip_link,mlp_final,12,flashlight,9.865
gpt2-xl,skip_link,mlp_final,13,replay,9.806
gpt2-xl,skip_link,mlp_final,14,special,9.786
gpt2-xl,skip_link,mlp_final,15,rel,9.586
gpt2-xl,skip_link,mlp_final,16,pledge,9.58
gpt2-xl,skip_link,mlp_final,17,retrospect,9.534
gpt2-xl,skip_link,mlp_final,18,MSG,9.516
gpt2-xl,skip_link,mlp_final,19,participated,9.483
gpt2-xl,skip_link,full_model,0,a,16.091
gpt2-xl,skip_link,full_model,1,an,14.346
gpt2-xl,skip_link,full_model,2,the,13.191
gpt2-xl,skip_link,full_model,3,used,13.12
gpt2-xl,skip_link,full_model,4,one,12.667
gpt2-xl,skip_link,full_model,5,just,12.515
gpt2-xl,skip_link,full_model,6,any,12.358
gpt2-xl,skip_link,full_model,7,simply,12.325
gpt2-xl,skip_link,full_model,8,basically,12.093
gpt2-xl,skip_link,full_model,9,when,12.085
gpt2-xl,skip_link,full_model,10,something,11.974
gpt2-xl,skip_link,full_model,11,essentially,11.678
gpt2-xl,skip_link,full_model,12,defined,11.612
gpt2-xl,skip_link,full_model,13,like,11.596
gpt2-xl,skip_link,full_model,14,created,11.457
gpt2-xl,skip_link,full_model,15,not,11.391
gpt2-xl,skip_link,full_model,16,similar,11.224
gpt2-xl,skip_link,full_model,17,usually,11.223
gpt2-xl,skip_link,full_model,18,often,11.223
gpt2-xl,skip_link,full_model,19,where,11.176
gpt2-xl,color_contrast,mlp_final,0,,16.077
gpt2-xl,color_contrast,mlp_final,1,stub,12.64
gpt2-xl,color_contrast,mlp_final,2,of,12.519
gpt2-xl,color_contrast,mlp_final,3,manual,12.51
gpt2-xl,color_contrast,mlp_final,4,pain,12.495
gpt2-xl,color_contrast,mlp_final,5,rib,12.484
gpt2-xl,color_contrast,mlp_final,6,soc,12.471
gpt2-xl,color_contrast,mlp_final,7,",",12.449
gpt2-xl,color_contrast,mlp_final,8,meat,12.366
gpt2-xl,color_contrast,mlp_final,9,disgust,11.809
gpt2-xl,color_contrast,mlp_final,10,vomit,11.697
gpt2-xl,color_contrast,mlp_final,11,banter,11.625
gpt2-xl,color_contrast,mlp_final,12,nursing,11.598
gpt2-xl,color_contrast,mlp_final,13,language,11.546
gpt2-xl,color_contrast,mlp_final,14,sexual,11.448
gpt2-xl,color_contrast,mlp_final,15,medical,11.407
gpt2-xl,color_contrast,mlp_final,16,meats,11.402
gpt2-xl,color_contrast,mlp_final,17,-,11.371
gpt2-xl,color_contrast,mlp_final,18,standard,11.363
gpt2-xl,color_contrast,mlp_final,19,hygiene,11.287
gpt2-xl,color_contrast,full_model,0,it,15.134
gpt2-xl,color_contrast,full_model,1,color,13.19
gpt2-xl,color_contrast,full_model,2,the,12.807
gpt2-xl,color_contrast,full_model,3,colors,12.77
gpt2-xl,color_contrast,full_model,4,we,12.718
gpt2-xl,color_contrast,full_model,5,humans,12.312
gpt2-xl,color_contrast,full_model,6,of,12.253
gpt2-xl,color_contrast,full_model,7,our,12.156
gpt2-xl,color_contrast,full_model,8,people,12.102
gpt2-xl,color_contrast,full_model,9,your,11.963
gpt2-xl,color_contrast,full_model,10,you,11.938
gpt2-xl,color_contrast,full_model,11,light,11.776
gpt2-xl,color_contrast,full_model,12,different,11.727
gpt2-xl,color_contrast,full_model,13,",",11.701
gpt2-xl,color_contrast,full_model,14,most,11.506
gpt2-xl,color_contrast,full_model,15,when,11.495
gpt2-xl,color_contrast,full_model,16,if,11.4
gpt2-xl,color_contrast,full_model,17,red,11.191
gpt2-xl,color_contrast,full_model,18,a,11.163
gpt2-xl,color_contrast,full_model,19,many,11.121
