domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,5.3612,1.9704,7.8946,1.9704,pythia-410m
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,5.1675,5.9128,7.3268,1.6041,pythia-410m
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.8015,4.007,7.8946,4.007,pythia-410m
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.7263,1.3053,7.7377,0.1061,pythia-410m
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,5.4072,5.6661,7.3268,2.1445,pythia-410m
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.8649,2.6337,7.8946,2.1752,pythia-410m
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.8483,2.1097,7.3268,2.1097,pythia-410m
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,4.4391,3.4272,7.3268,1.8025,pythia-410m
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,5.1407,3.6435,7.3268,2.8701,pythia-410m
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,7,4.8909,6.2564,7.3268,2.2699,pythia-410m
accessibility,decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,5.5272,3.5452,7.8946,3.5452,pythia-410m
accessibility,decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,5.6002,4.527,7.8946,3.7524,pythia-410m
accessibility,decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,5.8168,5.239,7.8946,4.0088,pythia-410m
accessibility,decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,4.8468,4.1714,7.3268,1.7036,pythia-410m
accessibility,decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,4.247,4.0035,7.3268,1.2856,pythia-410m
accessibility,decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,5,5.1532,5.77,7.3268,1.0359,pythia-410m
accessibility,decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,5,5.2083,3.445,7.3268,3.445,pythia-410m
accessibility,decl_target_size_001,target size,declarative,cloze,A target size is,5,5.7097,3.5234,7.8946,3.5234,pythia-410m
accessibility,decl_touch_target_001,touch target,declarative,cloze,A touch target is,5,5.2666,2.927,7.8946,2.927,pythia-410m
accessibility,decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,5,5.8441,3.3392,7.8946,3.3392,pythia-410m
accessibility,decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,5,5.2385,3.5235,7.8946,2.1752,pythia-410m
accessibility,decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,5,5.2072,4.6816,7.3268,3.3037,pythia-410m
accessibility,decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,5,6.359,4.6925,7.8946,4.2549,pythia-410m
accessibility,decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,5,5.3851,3.9291,7.649,3.9291,pythia-410m
accessibility,decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,4,5.1091,5.0348,7.3268,3.8734,pythia-410m
accessibility,decl_status_message_001,status message,declarative,cloze,A status message is,5,5.2292,3.7504,7.8946,2.7902,pythia-410m
accessibility,decl_error_identification_001,error identification,declarative,cloze,Error identification is,4,4.4916,3.0646,7.3268,2.4151,pythia-410m
accessibility,decl_pointer_cancellation_001,pointer cancellation,declarative,cloze,Pointer cancellation is,4,5.6257,3.5586,7.3644,3.5586,pythia-410m
accessibility,decl_character_key_001,character key,declarative,cloze,A character key is,5,5.5874,2.3439,7.8946,2.3439,pythia-410m
accessibility,decl_accessibility_tree_001,accessibility tree,declarative,cloze,An accessibility tree is,5,5.1509,1.7302,7.3268,1.7302,pythia-410m
accessibility,decl_accessible_name_001,accessible name,declarative,cloze,An accessible name is,5,5.6632,3.7726,7.3268,3.7726,pythia-410m
accessibility,decl_accessible_description_001,accessible description,declarative,cloze,An accessible description is,5,5.4821,4.8516,7.3268,1.7907,pythia-410m
accessibility,decl_live_region_001,live region,declarative,cloze,A live region is,5,5.9325,3.9296,7.8946,3.9296,pythia-410m
accessibility,decl_tab_panel_001,tab panel,declarative,cloze,A tab panel is,5,5.4898,2.9481,7.8946,2.9481,pythia-410m
accessibility,decl_radio_group_001,radio group,declarative,cloze,A radio group is,5,6.1982,5.7515,7.8946,4.8478,pythia-410m
accessibility,decl_tree_grid_001,tree grid,declarative,cloze,A tree grid is,5,5.533,2.0195,7.8946,2.0195,pythia-410m
accessibility,decl_menu_bar_001,menu bar,declarative,cloze,A menu bar is,5,5.6274,3.5378,7.8946,3.5378,pythia-410m
accessibility,decl_tool_tip_001,tool tip,declarative,cloze,A tool tip is,5,5.124,2.7283,7.8946,2.7283,pythia-410m
accessibility,decl_combo_box_001,combo box,declarative,cloze,A combo box is,5,5.6158,2.4558,7.8946,2.4558,pythia-410m
