prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a keystroke that is sent to the computer by a user. The keyboard interaction is usually a keystroke that is sent to the computer by the user.

The keyboard interaction is usually a keystroke that is sent to the computer by the user.

The keyboard interaction is usually a keystroke that is sent to the computer by the user.

The keyboard interaction is usually a keystroke that is sent to the computer by the user.

The keyboard interaction is usually a key",100,gpt2-large
decl_section_heading_001,section heading,declarative,cloze,A section heading is,"a section of text that is used to identify a section of a document.

A section heading is a section of text that is used to identify a section of a document.

A section heading is a section of text that is used to identify a section of a document.

A section heading is a section of text that is used to identify a section of a document.

A section heading is a section of text that is used to identify a section of a document.",100,gpt2-large
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,"a text that is not a complete sentence. It is a text that is not a complete sentence, but is a part of a sentence.

A text alternative is a text that is not a complete sentence, but is a part of a sentence.

A text alternative is a text that is not a complete sentence, but is a part of a sentence.

A text alternative is a text that is not a complete sentence, but is a part of a sentence.

A",100,gpt2-large
decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a recording of a conversation between two or more people. It is a recording of a conversation that is intended to be listened to in its entirety.

An audio description is a recording of a conversation that is intended to be listened to in its entirety.

An audio description is a recording of a conversation that is intended to be listened to in its entirety.

An audio description is a recording of a conversation that is intended to be listened to in its entirety.

An audio description",100,gpt2-large
decl_sign_language_001,sign language,declarative,cloze,Sign language is,"a language that is used to communicate with people who are deaf or hard of hearing. It is a language that is used to communicate with people who are deaf or hard of hearing.

Sign language is a language that is used to communicate with people who are deaf or hard of hearing. It is a language that is used to communicate with people who are deaf or hard of hearing.

Sign language is a language that is used to communicate with people who are deaf or hard of hearing. It",100,gpt2-large
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"the most important determinants of the quality of life of people with autism spectrum disorder (ASD). The sensory system is a complex system that includes the brain, the spinal cord, and the peripheral nervous system. The sensory system is involved in the perception of touch, sound, smell, taste, and vision. The sensory system is also involved in the processing of information from the environment. The sensory system is also involved in the regulation of body temperature, heart rate, and blood pressure.

The",100,gpt2-large
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,"a function that takes an input and returns a value.

The input purpose is a function that takes an input and returns a value.

The input purpose is a function that takes an input and returns a value.

The input purpose is a function that takes an input and returns a value.

The input purpose is a function that takes an input and returns a value.

The input purpose is a function that takes an input and returns a value.

The input",100,gpt2-large
decl_target_size_001,target size,declarative,cloze,A target size is,"a number of pixels that is used to determine the size of the target. The target size is usually specified in pixels, but can also be specified in pixels per inch (ppi).

The target size is usually specified in pixels, but can also be specified in pixels per inch (ppi). The target size is usually specified in pixels, but can also be specified in pixels per inch (ppi). The target size is usually specified in pixels, but can also be specified in pixels per",100,gpt2-large
decl_touch_target_001,touch target,declarative,cloze,A touch target is,"a target that is touched by a spell or effect. Touch targets are not affected by the spell or effect. Touch targets are not affected by the spell or effect.

A touch target is a target that is touched by a spell or effect. Touch targets are not affected by the spell or effect. Touch targets are not affected by the spell or effect.

A touch target is a target that is touched by a spell or effect. Touch targets are not affected by the spell or effect.",100,gpt2-large
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,"a movement that is not based on the traditional drag queen aesthetic. It is a movement that is not based on the traditional drag queen aesthetic.

A drag movement is a movement that is not based on the traditional drag queen aesthetic. It is a movement that is not based on the traditional drag queen aesthetic.

A drag movement is a movement that is not based on the traditional drag queen aesthetic. It is a movement that is not based on the traditional drag queen aesthetic.

A drag",100,gpt2-large
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,"a special appearance in which a character is shown to be focused on something, usually a specific subject.

Contents show]

Overview Edit

A focus appearance is a special appearance in which a character is shown to be focused on something, usually a specific subject.

The focus appearance is usually a special appearance in which the character is shown to be focused on something, usually a specific subject.

The focus appearance is usually a special appearance in which the character is shown to be",100,gpt2-large
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,"a must for any newbie.

I've been playing for a few months now and I've been having a lot of trouble with my first few games. I've been playing a lot of games and I've been playing a lot of games. I've been playing a lot of games and I've been playing a lot of games. I've been playing a lot of games and I've been playing a lot of games. I've been playing a lot of games and I've been playing",100,gpt2-large
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,"a term used to describe a redundant entry in a database. A redundant entry is a database entry that is not needed because it is already in the database.

A redundant entry is a database entry that is not needed because it is already in the database.

A redundant entry is a database entry that is not needed because it is already in the database.

A redundant entry is a database entry that is not needed because it is already in the database.

A redundant entry is",100,gpt2-large
decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,"a key component of the security of your application. It is a way to ensure that only authorized users can access your application.

In this article, we will look at how to implement an accessible authentication system in your application.

Accessible Authentication

Accessible authentication is a way to ensure that only authorized users can access your application.

In this article, we will look at how to implement an accessible authentication system in your application.

Accessible Authentication in ASP.NET",100,gpt2-large
decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,a very important aspect of the design of a website. It is a very important aspect of the design of a website. It is a very important aspect of the design of a website. It is a very important aspect of the design of a website. It is a very important aspect of the design of a website. It is a very important aspect of the design of a website. It is a very important aspect of the design of a website. It is a very important aspect of the design of a,100,gpt2-large
decl_status_message_001,status message,declarative,cloze,A status message is,"a message that is sent to the user when the user is in a certain state.

A status message is sent to the user when the user is in a certain state.

A status message is sent to the user when the user is in a certain state.

A status message is sent to the user when the user is in a certain state.

A status message is sent to the user when the user is in a certain state.

A status message is sent",100,gpt2-large
decl_error_identification_001,error identification,declarative,cloze,Error identification is,"a critical part of the debugging process. It is a critical part of the debugging process because it allows you to identify the cause of an error. It is a critical part of the debugging process because it allows you to identify the cause of an error.

Error identification is a critical part of the debugging process because it allows you to identify the cause of an error. It is a critical part of the debugging process because it allows you to identify the cause of an error.

Error identification is",100,gpt2-large
decl_pointer_cancellation_001,pointer cancellation,declarative,cloze,Pointer cancellation is,"a common problem in the Linux kernel. It is caused by the fact that the kernel does not properly handle the pointer to the next instruction. This is a problem that is not limited to the Linux kernel.

The problem is caused by the fact that the kernel does not properly handle the pointer to the next instruction. This is a problem that is not limited to the Linux kernel. The problem is caused by the fact that the kernel does not properly handle the pointer to the next instruction. The problem",100,gpt2-large
decl_character_key_001,character key,declarative,cloze,A character key is,"a key that is used to identify a character in a text file.

The character key is a string of characters that is used to identify a character in a text file.

The character key is a string of characters that is used to identify a character in a text file.

The character key is a string of characters that is used to identify a character in a text file.

The character key is a string of characters that is used to identify a character in a text",100,gpt2-large
decl_accessibility_tree_001,accessibility tree,declarative,cloze,An accessibility tree is,"a tree that represents the accessibility of a given element.

The accessibility tree is a tree that represents the accessibility of a given element.

The accessibility tree is a tree that represents the accessibility of a given element.

The accessibility tree is a tree that represents the accessibility of a given element.

The accessibility tree is a tree that represents the accessibility of a given element.

The accessibility tree is a tree that represents the accessibility of a given element.

The accessibility",100,gpt2-large
decl_accessible_name_001,accessible name,declarative,cloze,An accessible name is,"a name that is easy to pronounce and pronounceable.

An accessible name is a name that is easy to pronounce and pronounceable.

An accessible name is a name that is easy to pronounce and pronounceable.

An accessible name is a name that is easy to pronounce and pronounceable.

An accessible name is a name that is easy to pronounce and pronounceable.

An accessible name is a name that is easy to pronounce and pronounceable.

An accessible",100,gpt2-large
decl_accessible_description_001,accessible description,declarative,cloze,An accessible description is,"available here.

The following is a list of the most common types of errors that can occur when using the command line.

Error Description

The command line is not recognized as a valid command.

The command line is not recognized as a valid command. The command line is not recognized as a valid command. The command line is not recognized as a valid command. The command line is not recognized as a valid command. The command line is not recognized as a valid command.",100,gpt2-large
decl_live_region_001,live region,declarative,cloze,A live region is,"a region that is not yet loaded. It is a region that is not yet loaded and is not yet used.

Live regions are used to store and load data.

Live regions are used to store and load data.

Live regions are used to store and load data.

Live regions are used to store and load data.

Live regions are used to store and load data.

Live regions are used to store and load data.

Live regions are",100,gpt2-large
