prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,5.2506,3.4505,7.9502,2.3852,gpt2
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,5.4025,7.0062,7.0106,1.0956,gpt2
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.8965,4.4569,7.9502,4.4569,gpt2
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,4.0548,1.4314,8.5531,0.1754,gpt2
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,5.3817,5.8345,7.0106,2.6791,gpt2
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,5.0708,3.9396,7.9502,1.8279,gpt2
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,5.2263,2.8549,7.0106,2.8549,gpt2
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,5.1011,4.3142,7.0106,2.7579,gpt2
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,5.4012,4.0066,7.4756,3.0199,gpt2
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,8,4.9503,7.3986,7.3986,0.5853,gpt2
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,6.061,4.4731,7.9502,4.4731,gpt2
decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,5.3616,5.2378,7.9502,1.5442,gpt2
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,5.3604,4.9029,7.9502,2.4537,gpt2
decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,4.5769,3.6099,7.0625,1.221,gpt2
decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,5.1045,4.9862,7.0106,2.6296,gpt2
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,6,5.2804,6.1071,7.0106,2.7065,gpt2
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,5,5.6866,3.9363,7.0625,3.9363,gpt2
decl_target_size_001,target size,declarative,cloze,A target size is,5,5.4837,3.8576,7.9502,3.2088,gpt2
decl_touch_target_001,touch target,declarative,cloze,A touch target is,5,5.8109,4.1935,7.9502,4.1106,gpt2
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,5,5.7085,4.4193,7.9502,3.9943,gpt2
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,5,5.127,4.3896,7.9502,1.8279,gpt2
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,5,4.4373,4.5706,7.0106,2.9949,gpt2
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,5,6.4337,5.057,7.9502,4.2869,gpt2
