model,prompt,source,rank,token,logit
pythia-6.9b,skip_link,mlp_final,0,$[]$,51.729
pythia-6.9b,skip_link,mlp_final,1,,48.818
pythia-6.9b,skip_link,mlp_final,2,,48.498
pythia-6.9b,skip_link,mlp_final,3,medsc,47.352
pythia-6.9b,skip_link,mlp_final,4,BytePtrFromString,45.965
pythia-6.9b,skip_link,mlp_final,5,teasp,44.671
pythia-6.9b,skip_link,mlp_final,6,glimp,41.447
pythia-6.9b,skip_link,mlp_final,7,resemb,40.112
pythia-6.9b,skip_link,mlp_final,8,tradem,40.067
pythia-6.9b,skip_link,mlp_final,9,cryptocur,40.058
pythia-6.9b,skip_link,mlp_final,10,earthqu,40.041
pythia-6.9b,skip_link,mlp_final,11,practition,39.468
pythia-6.9b,skip_link,mlp_final,12,careg,39.438
pythia-6.9b,skip_link,mlp_final,13,counc,39.299
pythia-6.9b,skip_link,mlp_final,14,ÃÂ,39.007
pythia-6.9b,skip_link,mlp_final,15,affidav,38.442
pythia-6.9b,skip_link,mlp_final,16,researc,38.405
pythia-6.9b,skip_link,mlp_final,17,CHANTABILITY,35.57
pythia-6.9b,skip_link,mlp_final,18,entreprene,35.54
pythia-6.9b,skip_link,mlp_final,19,ortunately,35.34
pythia-6.9b,skip_link,full_model,0,a,17.894
pythia-6.9b,skip_link,full_model,1,an,16.043
pythia-6.9b,skip_link,full_model,2,used,15.831
pythia-6.9b,skip_link,full_model,3,typically,14.915
pythia-6.9b,skip_link,full_model,4,generally,14.827
pythia-6.9b,skip_link,full_model,5,one,14.488
pythia-6.9b,skip_link,full_model,6,commonly,14.426
pythia-6.9b,skip_link,full_model,7,known,14.229
pythia-6.9b,skip_link,full_model,8,often,13.828
pythia-6.9b,skip_link,full_model,9,the,13.819
pythia-6.9b,skip_link,full_model,10,defined,13.669
pythia-6.9b,skip_link,full_model,11,usually,13.544
pythia-6.9b,skip_link,full_model,12,provided,13.471
pythia-6.9b,skip_link,full_model,13,basically,13.282
pythia-6.9b,skip_link,full_model,14,utilized,13.195
pythia-6.9b,skip_link,full_model,15,part,13.168
pythia-6.9b,skip_link,full_model,16,essentially,13.148
pythia-6.9b,skip_link,full_model,17,employed,13.136
pythia-6.9b,skip_link,full_model,18,conventionally,12.915
pythia-6.9b,skip_link,full_model,19,well,12.892
pythia-6.9b,color_contrast,mlp_final,0,$[]$,65.849
pythia-6.9b,color_contrast,mlp_final,1,,60.964
pythia-6.9b,color_contrast,mlp_final,2,,60.505
pythia-6.9b,color_contrast,mlp_final,3,teasp,58.645
pythia-6.9b,color_contrast,mlp_final,4,medsc,58.199
pythia-6.9b,color_contrast,mlp_final,5,resemb,53.191
pythia-6.9b,color_contrast,mlp_final,6,BytePtrFromString,52.993
pythia-6.9b,color_contrast,mlp_final,7,ÃÂ,52.264
pythia-6.9b,color_contrast,mlp_final,8,researc,52.105
pythia-6.9b,color_contrast,mlp_final,9,cryptocur,51.577
pythia-6.9b,color_contrast,mlp_final,10,glimp,51.196
pythia-6.9b,color_contrast,mlp_final,11,practition,50.487
pythia-6.9b,color_contrast,mlp_final,12,careg,49.504
pythia-6.9b,color_contrast,mlp_final,13,counc,49.477
pythia-6.9b,color_contrast,mlp_final,14,tradem,48.232
pythia-6.9b,color_contrast,mlp_final,15,,47.942
pythia-6.9b,color_contrast,mlp_final,16,affidav,47.69
pythia-6.9b,color_contrast,mlp_final,17,earthqu,46.915
pythia-6.9b,color_contrast,mlp_final,18,Leban,45.905
pythia-6.9b,color_contrast,mlp_final,19,questionna,45.884
pythia-6.9b,color_contrast,full_model,0,it,16.177
pythia-6.9b,color_contrast,full_model,1,the,14.166
pythia-6.9b,color_contrast,full_model,2,of,13.57
pythia-6.9b,color_contrast,full_model,3,color,13.565
pythia-6.9b,color_contrast,full_model,4,we,13.224
pythia-6.9b,color_contrast,full_model,5,people,12.879
pythia-6.9b,color_contrast,full_model,6,humans,12.786
pythia-6.9b,color_contrast,full_model,7,our,12.785
pythia-6.9b,color_contrast,full_model,8,",",12.624
pythia-6.9b,color_contrast,full_model,9,a,12.44
pythia-6.9b,color_contrast,full_model,10,colors,12.414
pythia-6.9b,color_contrast,full_model,11,contrast,12.329
pythia-6.9b,color_contrast,full_model,12,you,12.303
pythia-6.9b,color_contrast,full_model,13,different,12.28
pythia-6.9b,color_contrast,full_model,14,human,12.195
pythia-6.9b,color_contrast,full_model,15,most,12.179
pythia-6.9b,color_contrast,full_model,16,your,12.164
pythia-6.9b,color_contrast,full_model,17,many,12.045
pythia-6.9b,color_contrast,full_model,18,when,12.032
pythia-6.9b,color_contrast,full_model,19,visual,11.787
