model,prompt,layer,rank,token,logit
pythia-1b,skip_link,0,0,nt,5.416
pythia-1b,skip_link,0,1,omers,4.83
pythia-1b,skip_link,0,2,omer,4.307
pythia-1b,skip_link,0,3,'#,4.141
pythia-1b,skip_link,0,4,bia,4.067
pythia-1b,skip_link,1,0,nt,5.838
pythia-1b,skip_link,1,1,not,4.495
pythia-1b,skip_link,1,2,omers,4.378
pythia-1b,skip_link,1,3,theoret,4.377
pythia-1b,skip_link,1,4,believed,4.102
pythia-1b,skip_link,2,0,nt,5.893
pythia-1b,skip_link,2,1,NU,5.591
pythia-1b,skip_link,2,2,omers,5.375
pythia-1b,skip_link,2,3,given,5.225
pythia-1b,skip_link,2,4,ref,5.045
pythia-1b,skip_link,3,0,nt,6.855
pythia-1b,skip_link,3,1,always,6.07
pythia-1b,skip_link,3,2,pta,5.769
pythia-1b,skip_link,3,3,only,5.542
pythia-1b,skip_link,3,4,au,5.265
pythia-1b,skip_link,4,0,always,7.164
pythia-1b,skip_link,4,1,hereby,6.787
pythia-1b,skip_link,4,2,often,6.525
pythia-1b,skip_link,4,3,nt,6.451
pythia-1b,skip_link,4,4,au,6.294
pythia-1b,skip_link,5,0,always,8.206
pythia-1b,skip_link,5,1,nt,7.032
pythia-1b,skip_link,5,2,often,6.972
pythia-1b,skip_link,5,3,hereby,6.727
pythia-1b,skip_link,5,4,au,6.482
pythia-1b,skip_link,6,0,always,10.083
pythia-1b,skip_link,6,1,often,9.381
pythia-1b,skip_link,6,2,basically,9.275
pythia-1b,skip_link,6,3,essentially,9.079
pythia-1b,skip_link,6,4,typically,9.04
pythia-1b,skip_link,7,0,often,10.754
pythia-1b,skip_link,7,1,essentially,10.707
pythia-1b,skip_link,7,2,basically,10.637
pythia-1b,skip_link,7,3,typically,10.618
pythia-1b,skip_link,7,4,fundamentally,9.999
pythia-1b,skip_link,8,0,basically,11.806
pythia-1b,skip_link,8,1,typically,11.702
pythia-1b,skip_link,8,2,often,11.39
pythia-1b,skip_link,8,3,generally,11.016
pythia-1b,skip_link,8,4,essentially,10.963
pythia-1b,skip_link,9,0,typically,14.235
pythia-1b,skip_link,9,1,basically,14.142
pythia-1b,skip_link,9,2,usually,13.668
pythia-1b,skip_link,9,3,a,12.917
pythia-1b,skip_link,9,4,generally,12.904
pythia-1b,skip_link,10,0,a,17.232
pythia-1b,skip_link,10,1,generally,15.539
pythia-1b,skip_link,10,2,typically,15.296
pythia-1b,skip_link,10,3,basically,15.081
pythia-1b,skip_link,10,4,an,14.791
pythia-1b,skip_link,11,0,a,27.734
pythia-1b,skip_link,11,1,an,26.419
pythia-1b,skip_link,11,2,typically,25.983
pythia-1b,skip_link,11,3,usually,25.034
pythia-1b,skip_link,11,4,often,23.686
pythia-1b,skip_link,12,0,a,37.377
pythia-1b,skip_link,12,1,an,36.092
pythia-1b,skip_link,12,2,one,26.881
pythia-1b,skip_link,12,3,typically,26.631
pythia-1b,skip_link,12,4,another,26.001
pythia-1b,skip_link,13,0,a,46.842
pythia-1b,skip_link,13,1,an,41.244
pythia-1b,skip_link,13,2,one,35.077
pythia-1b,skip_link,13,3,used,32.742
pythia-1b,skip_link,13,4,typically,32.169
pythia-1b,skip_link,14,0,a,58.728
pythia-1b,skip_link,14,1,an,54.495
pythia-1b,skip_link,14,2,one,47.803
pythia-1b,skip_link,14,3,used,41.862
pythia-1b,skip_link,14,4,generally,39.238
pythia-1b,skip_link,15,0,a,51.684
pythia-1b,skip_link,15,1,an,47.627
pythia-1b,skip_link,15,2,used,45.71
pythia-1b,skip_link,15,3,typically,43.873
pythia-1b,skip_link,15,4,one,42.101
pythia-1b,color_contrast,0,0,we,4.729
pythia-1b,color_contrast,0,1,ije,4.521
pythia-1b,color_contrast,0,2,ientes,4.327
pythia-1b,color_contrast,0,3,of,4.306
pythia-1b,color_contrast,0,4,everyone,4.29
pythia-1b,color_contrast,1,0,rz,5.057
pythia-1b,color_contrast,1,1,of,5.026
pythia-1b,color_contrast,1,2,nc,4.594
pythia-1b,color_contrast,1,3,tti,4.522
pythia-1b,color_contrast,1,4,most,4.427
pythia-1b,color_contrast,2,0,of,6.176
pythia-1b,color_contrast,2,1,fit,5.818
pythia-1b,color_contrast,2,2,they,5.733
pythia-1b,color_contrast,2,3,it,5.522
pythia-1b,color_contrast,2,4,both,5.427
pythia-1b,color_contrast,3,0,both,7.556
pythia-1b,color_contrast,3,1,remember,6.529
pythia-1b,color_contrast,3,2,ifer,6.474
pythia-1b,color_contrast,3,3,ord,6.143
pythia-1b,color_contrast,3,4,CUR,6.138
pythia-1b,color_contrast,4,0,both,7.378
pythia-1b,color_contrast,4,1,ifer,6.429
pythia-1b,color_contrast,4,2,they,6.42
pythia-1b,color_contrast,4,3,many,6.189
pythia-1b,color_contrast,4,4,of,6.167
pythia-1b,color_contrast,5,0,both,9.445
pythia-1b,color_contrast,5,1,it,9.409
pythia-1b,color_contrast,5,2,they,8.813
pythia-1b,color_contrast,5,3,we,8.61
pythia-1b,color_contrast,5,4,if,8.211
pythia-1b,color_contrast,6,0,they,9.373
pythia-1b,color_contrast,6,1,it,8.89
pythia-1b,color_contrast,6,2,both,8.216
pythia-1b,color_contrast,6,3,often,8.003
pythia-1b,color_contrast,6,4,we,7.981
pythia-1b,color_contrast,7,0,it,9.321
pythia-1b,color_contrast,7,1,often,9.063
pythia-1b,color_contrast,7,2,they,8.971
pythia-1b,color_contrast,7,3,we,8.828
pythia-1b,color_contrast,7,4,many,8.508
pythia-1b,color_contrast,8,0,it,10.452
pythia-1b,color_contrast,8,1,they,9.978
pythia-1b,color_contrast,8,2,many,8.985
pythia-1b,color_contrast,8,3,we,8.869
pythia-1b,color_contrast,8,4,both,8.677
pythia-1b,color_contrast,9,0,it,13.998
pythia-1b,color_contrast,9,1,there,13.408
pythia-1b,color_contrast,9,2,they,13.386
pythia-1b,color_contrast,9,3,we,12.348
pythia-1b,color_contrast,9,4,many,12.298
pythia-1b,color_contrast,10,0,it,17.037
pythia-1b,color_contrast,10,1,they,16.236
pythia-1b,color_contrast,10,2,many,16.229
pythia-1b,color_contrast,10,3,there,15.286
pythia-1b,color_contrast,10,4,we,14.965
pythia-1b,color_contrast,11,0,color,28.271
pythia-1b,color_contrast,11,1,it,27.668
pythia-1b,color_contrast,11,2,colors,24.696
pythia-1b,color_contrast,11,3,Color,23.481
pythia-1b,color_contrast,11,4,there,22.461
pythia-1b,color_contrast,12,0,it,31.491
pythia-1b,color_contrast,12,1,color,27.65
pythia-1b,color_contrast,12,2,many,25.874
pythia-1b,color_contrast,12,3,they,25.645
pythia-1b,color_contrast,12,4,of,24.633
pythia-1b,color_contrast,13,0,color,39.366
pythia-1b,color_contrast,13,1,it,36.067
pythia-1b,color_contrast,13,2,colors,33.613
pythia-1b,color_contrast,13,3,of,30.78
pythia-1b,color_contrast,13,4,white,30.418
pythia-1b,color_contrast,14,0,it,58.727
pythia-1b,color_contrast,14,1,color,55.55
pythia-1b,color_contrast,14,2,colors,46.04
pythia-1b,color_contrast,14,3,the,45.328
pythia-1b,color_contrast,14,4,light,43.947
pythia-1b,color_contrast,15,0,it,49.758
pythia-1b,color_contrast,15,1,color,46.477
pythia-1b,color_contrast,15,2,the,43.866
pythia-1b,color_contrast,15,3,humans,42.138
pythia-1b,color_contrast,15,4,colors,42.04
