prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,4.6818,2.2262,7.7341,2.2262,gpt2-xl
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,3.6972,2.3525,6.7633,0.1035,gpt2-xl
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.2349,2.0913,7.7341,2.0913,gpt2-xl
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.4492,1.3124,8.4116,0.1853,gpt2-xl
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.6388,4.7697,7.0066,0.1394,gpt2-xl
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.4491,1.6629,7.7341,1.6253,gpt2-xl
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.9472,2.2834,6.7633,2.2834,gpt2-xl
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,4.4625,3.3629,6.7633,2.3781,gpt2-xl
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,5.0921,3.3411,6.7978,3.2046,gpt2-xl
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,8,4.1994,5.3158,6.7633,0.0848,gpt2-xl
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,5.8488,4.0733,7.7341,4.0733,gpt2-xl
decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,4.5745,3.815,7.7341,0.5806,gpt2-xl
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,4.6877,1.7823,7.7341,1.7823,gpt2-xl
decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,4.5983,2.4768,6.9793,2.4768,gpt2-xl
decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,4.2495,3.8493,6.7633,2.105,gpt2-xl
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,6,5.1902,5.5937,6.9672,2.1497,gpt2-xl
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,5,5.3816,3.109,6.9793,3.109,gpt2-xl
decl_target_size_001,target size,declarative,cloze,A target size is,5,5.0404,2.6419,7.7341,2.6336,gpt2-xl
decl_touch_target_001,touch target,declarative,cloze,A touch target is,5,5.017,2.2062,7.7341,2.2062,gpt2-xl
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,5,5.3012,4.1682,7.7341,3.0079,gpt2-xl
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,5,4.4519,3.2107,7.7341,1.6253,gpt2-xl
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,5,4.5996,4.4303,6.7633,3.2059,gpt2-xl
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,5,5.9042,2.8076,8.0057,2.8076,gpt2-xl
decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,5,5.2292,3.3944,7.227,3.3944,gpt2-xl
decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,4,4.7951,3.8244,6.7633,3.8244,gpt2-xl
decl_status_message_001,status message,declarative,cloze,A status message is,5,5.316,3.024,7.7341,3.024,gpt2-xl
decl_error_identification_001,error identification,declarative,cloze,Error identification is,4,4.5354,3.7954,6.7633,3.704,gpt2-xl
decl_pointer_cancellation_001,pointer cancellation,declarative,cloze,Pointer cancellation is,5,5.3388,3.5869,7.3117,3.5869,gpt2-xl
decl_character_key_001,character key,declarative,cloze,A character key is,5,5.2661,1.9503,7.7341,1.9503,gpt2-xl
decl_accessibility_tree_001,accessibility tree,declarative,cloze,An accessibility tree is,5,5.0459,1.8124,6.9793,1.8124,gpt2-xl
decl_accessible_name_001,accessible name,declarative,cloze,An accessible name is,5,5.6143,3.859,6.9793,3.859,gpt2-xl
decl_accessible_description_001,accessible description,declarative,cloze,An accessible description is,5,5.0124,4.5016,6.9793,0.7248,gpt2-xl
decl_live_region_001,live region,declarative,cloze,A live region is,5,5.539,3.3036,7.7341,3.3036,gpt2-xl
decl_tab_panel_001,tab panel,declarative,cloze,A tab panel is,5,4.8963,2.1006,7.7341,2.1006,gpt2-xl
decl_radio_group_001,radio group,declarative,cloze,A radio group is,5,5.8943,5.7802,7.7341,4.2244,gpt2-xl
decl_tree_grid_001,tree grid,declarative,cloze,A tree grid is,5,5.3017,2.3654,7.7341,2.3654,gpt2-xl
decl_menu_bar_001,menu bar,declarative,cloze,A menu bar is,5,5.2503,2.5643,7.7341,2.5643,gpt2-xl
decl_tool_tip_001,tool tip,declarative,cloze,A tool tip is,5,4.8929,2.2677,7.7341,2.2677,gpt2-xl
decl_combo_box_001,combo box,declarative,cloze,A combo box is,5,4.6776,1.835,7.7341,1.835,gpt2-xl
decl_semantic_markup_001,semantic markup,declarative,cloze,Semantic markup is,5,4.9322,3.6568,6.7978,3.2046,gpt2-xl
