model,prompt,layer,rank,token,logit
pythia-6.9b,skip_link,0,0,maha,7.489
pythia-6.9b,skip_link,0,1,$[]$,5.744
pythia-6.9b,skip_link,0,2,cryptocur,5.717
pythia-6.9b,skip_link,0,3,practition,5.348
pythia-6.9b,skip_link,0,4,also,4.923
pythia-6.9b,skip_link,1,0,maha,7.797
pythia-6.9b,skip_link,1,1,$[]$,6.981
pythia-6.9b,skip_link,1,2,cryptocur,6.273
pythia-6.9b,skip_link,1,3,practition,5.709
pythia-6.9b,skip_link,1,4,supernat,5.387
pythia-6.9b,skip_link,2,0,$[]$,8.133
pythia-6.9b,skip_link,2,1,maha,8.103
pythia-6.9b,skip_link,2,2,cryptocur,7.08
pythia-6.9b,skip_link,2,3,practition,6.523
pythia-6.9b,skip_link,2,4,researc,6.361
pythia-6.9b,skip_link,3,0,maha,8.289
pythia-6.9b,skip_link,3,1,$[]$,8.188
pythia-6.9b,skip_link,3,2,cryptocur,7.871
pythia-6.9b,skip_link,3,3,also,6.367
pythia-6.9b,skip_link,3,4,practition,6.361
pythia-6.9b,skip_link,4,0,$[]$,8.743
pythia-6.9b,skip_link,4,1,cryptocur,8.294
pythia-6.9b,skip_link,4,2,maha,7.833
pythia-6.9b,skip_link,4,3,nt,7.55
pythia-6.9b,skip_link,4,4,rá,7.077
pythia-6.9b,skip_link,5,0,cryptocur,8.805
pythia-6.9b,skip_link,5,1,maha,8.503
pythia-6.9b,skip_link,5,2,$[]$,7.945
pythia-6.9b,skip_link,5,3,nt,7.427
pythia-6.9b,skip_link,5,4,also,7.181
pythia-6.9b,skip_link,6,0,maha,9.152
pythia-6.9b,skip_link,6,1,nt,8.865
pythia-6.9b,skip_link,6,2,defined,8.575
pythia-6.9b,skip_link,6,3,cryptocur,8.466
pythia-6.9b,skip_link,6,4,usually,8.3
pythia-6.9b,skip_link,7,0,generally,10.675
pythia-6.9b,skip_link,7,1,also,10.487
pythia-6.9b,skip_link,7,2,usually,10.444
pythia-6.9b,skip_link,7,3,typically,10.063
pythia-6.9b,skip_link,7,4,often,10.063
pythia-6.9b,skip_link,8,0,generally,13.262
pythia-6.9b,skip_link,8,1,defined,13.025
pythia-6.9b,skip_link,8,2,usually,12.882
pythia-6.9b,skip_link,8,3,often,12.606
pythia-6.9b,skip_link,8,4,also,12.577
pythia-6.9b,skip_link,9,0,defined,16.388
pythia-6.9b,skip_link,9,1,usually,16.164
pythia-6.9b,skip_link,9,2,typically,16.073
pythia-6.9b,skip_link,9,3,often,15.426
pythia-6.9b,skip_link,9,4,generally,15.34
pythia-6.9b,skip_link,10,0,defined,19.965
pythia-6.9b,skip_link,10,1,generally,19.403
pythia-6.9b,skip_link,10,2,typically,19.222
pythia-6.9b,skip_link,10,3,used,17.902
pythia-6.9b,skip_link,10,4,usually,17.742
pythia-6.9b,skip_link,11,0,generally,22.27
pythia-6.9b,skip_link,11,1,defined,20.911
pythia-6.9b,skip_link,11,2,typically,20.527
pythia-6.9b,skip_link,11,3,a,20.036
pythia-6.9b,skip_link,11,4,used,19.256
pythia-6.9b,skip_link,12,0,a,23.878
pythia-6.9b,skip_link,12,1,generally,23.616
pythia-6.9b,skip_link,12,2,defined,22.491
pythia-6.9b,skip_link,12,3,an,22.486
pythia-6.9b,skip_link,12,4,used,22.138
pythia-6.9b,skip_link,13,0,a,26.081
pythia-6.9b,skip_link,13,1,generally,25.943
pythia-6.9b,skip_link,13,2,an,25.787
pythia-6.9b,skip_link,13,3,used,25.076
pythia-6.9b,skip_link,13,4,typically,24.58
pythia-6.9b,skip_link,14,0,a,30.847
pythia-6.9b,skip_link,14,1,an,29.86
pythia-6.9b,skip_link,14,2,generally,29.332
pythia-6.9b,skip_link,14,3,used,28.932
pythia-6.9b,skip_link,14,4,typically,28.455
pythia-6.9b,skip_link,15,0,a,38.335
pythia-6.9b,skip_link,15,1,an,36.236
pythia-6.9b,skip_link,15,2,the,32.88
pythia-6.9b,skip_link,15,3,generally,32.64
pythia-6.9b,skip_link,15,4,used,32.163
pythia-6.9b,skip_link,16,0,a,46.43
pythia-6.9b,skip_link,16,1,an,43.742
pythia-6.9b,skip_link,16,2,the,38.448
pythia-6.9b,skip_link,16,3,used,37.292
pythia-6.9b,skip_link,16,4,one,36.954
pythia-6.9b,skip_link,17,0,a,58.165
pythia-6.9b,skip_link,17,1,an,53.384
pythia-6.9b,skip_link,17,2,the,48.447
pythia-6.9b,skip_link,17,3,one,46.006
pythia-6.9b,skip_link,17,4,in,44.724
pythia-6.9b,skip_link,18,0,a,63.136
pythia-6.9b,skip_link,18,1,an,59.324
pythia-6.9b,skip_link,18,2,the,52.068
pythia-6.9b,skip_link,18,3,used,50.645
pythia-6.9b,skip_link,18,4,one,49.119
pythia-6.9b,skip_link,19,0,a,73.995
pythia-6.9b,skip_link,19,1,an,69.882
pythia-6.9b,skip_link,19,2,the,59.216
pythia-6.9b,skip_link,19,3,used,57.332
pythia-6.9b,skip_link,19,4,one,56.981
pythia-6.9b,skip_link,20,0,a,85.638
pythia-6.9b,skip_link,20,1,an,81.286
pythia-6.9b,skip_link,20,2,the,66.9
pythia-6.9b,skip_link,20,3,used,66.492
pythia-6.9b,skip_link,20,4,one,66.345
pythia-6.9b,skip_link,21,0,a,94.768
pythia-6.9b,skip_link,21,1,an,89.698
pythia-6.9b,skip_link,21,2,used,74.371
pythia-6.9b,skip_link,21,3,the,73.114
pythia-6.9b,skip_link,21,4,one,71.552
pythia-6.9b,skip_link,22,0,a,103.352
pythia-6.9b,skip_link,22,1,an,97.442
pythia-6.9b,skip_link,22,2,used,80.579
pythia-6.9b,skip_link,22,3,the,77.914
pythia-6.9b,skip_link,22,4,one,76.035
pythia-6.9b,skip_link,23,0,a,104.873
pythia-6.9b,skip_link,23,1,an,99.498
pythia-6.9b,skip_link,23,2,used,82.166
pythia-6.9b,skip_link,23,3,one,78.74
pythia-6.9b,skip_link,23,4,the,77.972
pythia-6.9b,skip_link,24,0,a,110.645
pythia-6.9b,skip_link,24,1,an,104.505
pythia-6.9b,skip_link,24,2,used,84.964
pythia-6.9b,skip_link,24,3,one,82.142
pythia-6.9b,skip_link,24,4,the,80.05
pythia-6.9b,skip_link,25,0,a,118.289
pythia-6.9b,skip_link,25,1,an,108.83
pythia-6.9b,skip_link,25,2,used,91.508
pythia-6.9b,skip_link,25,3,one,87.6
pythia-6.9b,skip_link,25,4,generally,84.019
pythia-6.9b,skip_link,26,0,a,124.24
pythia-6.9b,skip_link,26,1,an,113.802
pythia-6.9b,skip_link,26,2,used,98.069
pythia-6.9b,skip_link,26,3,one,93.83
pythia-6.9b,skip_link,26,4,generally,88.656
pythia-6.9b,skip_link,27,0,a,130.345
pythia-6.9b,skip_link,27,1,an,119.787
pythia-6.9b,skip_link,27,2,used,99.368
pythia-6.9b,skip_link,27,3,one,95.549
pythia-6.9b,skip_link,27,4,known,88.948
pythia-6.9b,skip_link,28,0,a,128.539
pythia-6.9b,skip_link,28,1,an,117.553
pythia-6.9b,skip_link,28,2,used,101.497
pythia-6.9b,skip_link,28,3,one,98.673
pythia-6.9b,skip_link,28,4,known,91.63
pythia-6.9b,skip_link,29,0,a,127.197
pythia-6.9b,skip_link,29,1,an,114.625
pythia-6.9b,skip_link,29,2,used,100.411
pythia-6.9b,skip_link,29,3,one,97.4
pythia-6.9b,skip_link,29,4,the,90.39
pythia-6.9b,skip_link,30,0,a,109.227
pythia-6.9b,skip_link,30,1,an,100.674
pythia-6.9b,skip_link,30,2,used,93.528
pythia-6.9b,skip_link,30,3,one,88.398
pythia-6.9b,skip_link,30,4,generally,86.505
pythia-6.9b,skip_link,31,0,a,97.946
pythia-6.9b,skip_link,31,1,an,87.816
pythia-6.9b,skip_link,31,2,used,86.652
pythia-6.9b,skip_link,31,3,typically,81.639
pythia-6.9b,skip_link,31,4,generally,81.157
pythia-6.9b,color_contrast,0,0,maha,6.66
pythia-6.9b,color_contrast,0,1,cryptocur,5.475
pythia-6.9b,color_contrast,0,2,$[]$,5.36
pythia-6.9b,color_contrast,0,3,supernat,4.783
pythia-6.9b,color_contrast,0,4,microorganisms,4.66
pythia-6.9b,color_contrast,1,0,maha,7.066
pythia-6.9b,color_contrast,1,1,$[]$,6.803
pythia-6.9b,color_contrast,1,2,supernat,5.766
pythia-6.9b,color_contrast,1,3,practition,5.196
pythia-6.9b,color_contrast,1,4,cryptocur,5.124
pythia-6.9b,color_contrast,2,0,$[]$,7.623
pythia-6.9b,color_contrast,2,1,maha,7.327
pythia-6.9b,color_contrast,2,2,supernat,6.873
pythia-6.9b,color_contrast,2,3,cryptocur,6.482
pythia-6.9b,color_contrast,2,4,practition,6.251
pythia-6.9b,color_contrast,3,0,$[]$,7.98
pythia-6.9b,color_contrast,3,1,supernat,7.541
pythia-6.9b,color_contrast,3,2,cryptocur,7.391
pythia-6.9b,color_contrast,3,3,maha,6.618
pythia-6.9b,color_contrast,3,4,practition,6.133
pythia-6.9b,color_contrast,4,0,$[]$,9.041
pythia-6.9b,color_contrast,4,1,supernat,8.749
pythia-6.9b,color_contrast,4,2,cryptocur,7.812
pythia-6.9b,color_contrast,4,3,of,7.332
pythia-6.9b,color_contrast,4,4,vnd,7.086
pythia-6.9b,color_contrast,5,0,they,8.149
pythia-6.9b,color_contrast,5,1,supernat,8.118
pythia-6.9b,color_contrast,5,2,it,8.116
pythia-6.9b,color_contrast,5,3,of,7.94
pythia-6.9b,color_contrast,5,4,$[]$,7.761
pythia-6.9b,color_contrast,6,0,of,9.726
pythia-6.9b,color_contrast,6,1,it,8.312
pythia-6.9b,color_contrast,6,2,they,8.249
pythia-6.9b,color_contrast,6,3,yses,8.01
pythia-6.9b,color_contrast,6,4,you,7.945
pythia-6.9b,color_contrast,7,0,of,9.847
pythia-6.9b,color_contrast,7,1,they,9.472
pythia-6.9b,color_contrast,7,2,you,9.207
pythia-6.9b,color_contrast,7,3,it,9.014
pythia-6.9b,color_contrast,7,4,:,8.753
pythia-6.9b,color_contrast,8,0,of,12.428
pythia-6.9b,color_contrast,8,1,it,11.566
pythia-6.9b,color_contrast,8,2,:,10.774
pythia-6.9b,color_contrast,8,3,they,9.965
pythia-6.9b,color_contrast,8,4,there,9.822
pythia-6.9b,color_contrast,9,0,of,15.825
pythia-6.9b,color_contrast,9,1,it,15.487
pythia-6.9b,color_contrast,9,2,:,12.72
pythia-6.9b,color_contrast,9,3,they,11.316
pythia-6.9b,color_contrast,9,4,W,11.276
pythia-6.9b,color_contrast,10,0,it,17.654
pythia-6.9b,color_contrast,10,1,of,16.415
pythia-6.9b,color_contrast,10,2,:,15.01
pythia-6.9b,color_contrast,10,3,there,13.704
pythia-6.9b,color_contrast,10,4,they,12.88
pythia-6.9b,color_contrast,11,0,it,19.948
pythia-6.9b,color_contrast,11,1,of,19.371
pythia-6.9b,color_contrast,11,2,:,17.817
pythia-6.9b,color_contrast,11,3,many,15.63
pythia-6.9b,color_contrast,11,4,there,15.582
pythia-6.9b,color_contrast,12,0,of,23.092
pythia-6.9b,color_contrast,12,1,it,23.02
pythia-6.9b,color_contrast,12,2,they,19.64
pythia-6.9b,color_contrast,12,3,otherwise,18.418
pythia-6.9b,color_contrast,12,4,:,18.404
pythia-6.9b,color_contrast,13,0,it,25.69
pythia-6.9b,color_contrast,13,1,of,24.04
pythia-6.9b,color_contrast,13,2,they,21.496
pythia-6.9b,color_contrast,13,3,there,20.287
pythia-6.9b,color_contrast,13,4,otherwise,20.201
pythia-6.9b,color_contrast,14,0,it,27.767
pythia-6.9b,color_contrast,14,1,of,26.525
pythia-6.9b,color_contrast,14,2,otherwise,23.673
pythia-6.9b,color_contrast,14,3,they,22.641
pythia-6.9b,color_contrast,14,4,we,22.023
pythia-6.9b,color_contrast,15,0,it,34.895
pythia-6.9b,color_contrast,15,1,of,31.101
pythia-6.9b,color_contrast,15,2,we,27.909
pythia-6.9b,color_contrast,15,3,otherwise,27.774
pythia-6.9b,color_contrast,15,4,most,27.436
pythia-6.9b,color_contrast,16,0,it,39.491
pythia-6.9b,color_contrast,16,1,of,33.388
pythia-6.9b,color_contrast,16,2,we,32.896
pythia-6.9b,color_contrast,16,3,they,32.862
pythia-6.9b,color_contrast,16,4,the,31.431
pythia-6.9b,color_contrast,17,0,it,47.002
pythia-6.9b,color_contrast,17,1,they,40.916
pythia-6.9b,color_contrast,17,2,we,40.839
pythia-6.9b,color_contrast,17,3,of,39.71
pythia-6.9b,color_contrast,17,4,most,37.966
pythia-6.9b,color_contrast,18,0,it,52.966
pythia-6.9b,color_contrast,18,1,we,44.961
pythia-6.9b,color_contrast,18,2,they,44.173
pythia-6.9b,color_contrast,18,3,of,43.469
pythia-6.9b,color_contrast,18,4,many,42.843
pythia-6.9b,color_contrast,19,0,it,61.898
pythia-6.9b,color_contrast,19,1,of,51.25
pythia-6.9b,color_contrast,19,2,we,50.851
pythia-6.9b,color_contrast,19,3,they,49.977
pythia-6.9b,color_contrast,19,4,many,49.951
pythia-6.9b,color_contrast,20,0,it,73.721
pythia-6.9b,color_contrast,20,1,color,59.961
pythia-6.9b,color_contrast,20,2,we,59.406
pythia-6.9b,color_contrast,20,3,the,58.629
pythia-6.9b,color_contrast,20,4,of,58.317
pythia-6.9b,color_contrast,21,0,it,84.914
pythia-6.9b,color_contrast,21,1,color,73.02
pythia-6.9b,color_contrast,21,2,many,65.851
pythia-6.9b,color_contrast,21,3,the,65.806
pythia-6.9b,color_contrast,21,4,a,64.846
pythia-6.9b,color_contrast,22,0,it,99.604
pythia-6.9b,color_contrast,22,1,color,83.732
pythia-6.9b,color_contrast,22,2,we,74.878
pythia-6.9b,color_contrast,22,3,the,74.534
pythia-6.9b,color_contrast,22,4,most,74.054
pythia-6.9b,color_contrast,23,0,it,104.345
pythia-6.9b,color_contrast,23,1,color,90.442
pythia-6.9b,color_contrast,23,2,the,80.459
pythia-6.9b,color_contrast,23,3,most,79.811
pythia-6.9b,color_contrast,23,4,of,79.674
pythia-6.9b,color_contrast,24,0,it,110.898
pythia-6.9b,color_contrast,24,1,color,89.671
pythia-6.9b,color_contrast,24,2,the,88.883
pythia-6.9b,color_contrast,24,3,a,86.456
pythia-6.9b,color_contrast,24,4,we,86.283
pythia-6.9b,color_contrast,25,0,it,115.724
pythia-6.9b,color_contrast,25,1,the,92.684
pythia-6.9b,color_contrast,25,2,a,90.198
