model,prompt,source,rank,token,logit
pythia-12b,skip_link,mlp_final,0,medsc,77.848
pythia-12b,skip_link,mlp_final,1,BytePtrFromString,56.103
pythia-12b,skip_link,mlp_final,2,teasp,54.827
pythia-12b,skip_link,mlp_final,3,ÃÂ,54.084
pythia-12b,skip_link,mlp_final,4,,53.213
pythia-12b,skip_link,mlp_final,5,[]$,51.985
pythia-12b,skip_link,mlp_final,6,��,51.591
pythia-12b,skip_link,mlp_final,7,$[]$,50.361
pythia-12b,skip_link,mlp_final,8,ortunately,49.035
pythia-12b,skip_link,mlp_final,9,,48.818
pythia-12b,skip_link,mlp_final,10,questionna,47.631
pythia-12b,skip_link,mlp_final,11,,44.802
pythia-12b,skip_link,mlp_final,12,glimp,44.444
pythia-12b,skip_link,mlp_final,13,cryptocur,43.849
pythia-12b,skip_link,mlp_final,14,NdEx,42.697
pythia-12b,skip_link,mlp_final,15,�,42.476
pythia-12b,skip_link,mlp_final,16,ORAND,41.457
pythia-12b,skip_link,mlp_final,17,affidav,41.051
pythia-12b,skip_link,mlp_final,18,resemb,40.855
pythia-12b,skip_link,mlp_final,19,practition,39.984
pythia-12b,skip_link,full_model,0,a,17.144
pythia-12b,skip_link,full_model,1,an,15.025
pythia-12b,skip_link,full_model,2,used,14.421
pythia-12b,skip_link,full_model,3,generally,14.364
pythia-12b,skip_link,full_model,4,typically,14.005
pythia-12b,skip_link,full_model,5,defined,13.401
pythia-12b,skip_link,full_model,6,often,13.35
pythia-12b,skip_link,full_model,7,provided,13.345
pythia-12b,skip_link,full_model,8,the,13.267
pythia-12b,skip_link,full_model,9,one,13.25
pythia-12b,skip_link,full_model,10,commonly,13.245
pythia-12b,skip_link,full_model,11,known,12.999
pythia-12b,skip_link,full_model,12,basically,12.982
pythia-12b,skip_link,full_model,13,usually,12.819
pythia-12b,skip_link,full_model,14,conventionally,12.757
pythia-12b,skip_link,full_model,15,also,12.379
pythia-12b,skip_link,full_model,16,formed,12.268
pythia-12b,skip_link,full_model,17,widely,12.187
pythia-12b,skip_link,full_model,18,essentially,12.165
pythia-12b,skip_link,full_model,19,any,12.136
pythia-12b,color_contrast,mlp_final,0,medsc,102.972
pythia-12b,color_contrast,mlp_final,1,BytePtrFromString,72.133
pythia-12b,color_contrast,mlp_final,2,teasp,71.374
pythia-12b,color_contrast,mlp_final,3,ÃÂ,70.39
pythia-12b,color_contrast,mlp_final,4,,69.548
pythia-12b,color_contrast,mlp_final,5,[]$,68.518
pythia-12b,color_contrast,mlp_final,6,,68.346
pythia-12b,color_contrast,mlp_final,7,$[]$,66.13
pythia-12b,color_contrast,mlp_final,8,��,62.384
pythia-12b,color_contrast,mlp_final,9,ortunately,61.089
pythia-12b,color_contrast,mlp_final,10,questionna,60.777
pythia-12b,color_contrast,mlp_final,11,,60.292
pythia-12b,color_contrast,mlp_final,12,glimp,56.557
pythia-12b,color_contrast,mlp_final,13,cryptocur,56.093
pythia-12b,color_contrast,mlp_final,14,NdEx,55.379
pythia-12b,color_contrast,mlp_final,15,resemb,53.081
pythia-12b,color_contrast,mlp_final,16,�,53.05
pythia-12b,color_contrast,mlp_final,17,ORAND,52.463
pythia-12b,color_contrast,mlp_final,18,researc,52.25
pythia-12b,color_contrast,mlp_final,19,counc,51.525
pythia-12b,color_contrast,full_model,0,it,16.258
pythia-12b,color_contrast,full_model,1,color,14.41
pythia-12b,color_contrast,full_model,2,colors,13.677
pythia-12b,color_contrast,full_model,3,the,13.524
pythia-12b,color_contrast,full_model,4,we,13.227
pythia-12b,color_contrast,full_model,5,people,13.056
pythia-12b,color_contrast,full_model,6,of,12.805
pythia-12b,color_contrast,full_model,7,many,12.623
pythia-12b,color_contrast,full_model,8,most,12.514
pythia-12b,color_contrast,full_model,9,our,12.499
pythia-12b,color_contrast,full_model,10,you,12.287
pythia-12b,color_contrast,full_model,11,",",12.17
pythia-12b,color_contrast,full_model,12,a,12.06
pythia-12b,color_contrast,full_model,13,humans,12.056
pythia-12b,color_contrast,full_model,14,visual,12.049
pythia-12b,color_contrast,full_model,15,your,12.017
pythia-12b,color_contrast,full_model,16,different,11.981
pythia-12b,color_contrast,full_model,17,if,11.813
pythia-12b,color_contrast,full_model,18,when,11.7
pythia-12b,color_contrast,full_model,19,some,11.629
