model,prompt,source,rank,token,logit
pythia-2.8b,skip_link,mlp_final,0,researc,36.145
pythia-2.8b,skip_link,mlp_final,1,teasp,35.96
pythia-2.8b,skip_link,mlp_final,2,$[]$,35.772
pythia-2.8b,skip_link,mlp_final,3,BytePtrFromString,35.476
pythia-2.8b,skip_link,mlp_final,4,NdEx,35.212
pythia-2.8b,skip_link,mlp_final,5,,35.204
pythia-2.8b,skip_link,mlp_final,6,��,34.835
pythia-2.8b,skip_link,mlp_final,7,tradem,34.605
pythia-2.8b,skip_link,mlp_final,8,,34.467
pythia-2.8b,skip_link,mlp_final,9,CHANTABILITY,34.451
pythia-2.8b,skip_link,mlp_final,10,cryptocur,33.856
pythia-2.8b,skip_link,mlp_final,11,earthqu,33.341
pythia-2.8b,skip_link,mlp_final,12,ÃÂ,32.657
pythia-2.8b,skip_link,mlp_final,13,practition,32.586
pythia-2.8b,skip_link,mlp_final,14,affidav,32.334
pythia-2.8b,skip_link,mlp_final,15,careg,32.236
pythia-2.8b,skip_link,mlp_final,16,glimp,32.209
pythia-2.8b,skip_link,mlp_final,17,[]$,31.934
pythia-2.8b,skip_link,mlp_final,18,specim,31.727
pythia-2.8b,skip_link,mlp_final,19,questionna,31.579
pythia-2.8b,skip_link,full_model,0,a,16.729
pythia-2.8b,skip_link,full_model,1,an,15.374
pythia-2.8b,skip_link,full_model,2,used,14.568
pythia-2.8b,skip_link,full_model,3,typically,13.869
pythia-2.8b,skip_link,full_model,4,generally,13.42
pythia-2.8b,skip_link,full_model,5,one,13.267
pythia-2.8b,skip_link,full_model,6,provided,13.222
pythia-2.8b,skip_link,full_model,7,the,13.143
pythia-2.8b,skip_link,full_model,8,defined,12.994
pythia-2.8b,skip_link,full_model,9,usually,12.722
pythia-2.8b,skip_link,full_model,10,often,12.672
pythia-2.8b,skip_link,full_model,11,formed,12.377
pythia-2.8b,skip_link,full_model,12,inserted,12.328
pythia-2.8b,skip_link,full_model,13,known,12.274
pythia-2.8b,skip_link,full_model,14,not,12.064
pythia-2.8b,skip_link,full_model,15,commonly,12.054
pythia-2.8b,skip_link,full_model,16,any,11.97
pythia-2.8b,skip_link,full_model,17,included,11.959
pythia-2.8b,skip_link,full_model,18,basically,11.919
pythia-2.8b,skip_link,full_model,19,added,11.85
pythia-2.8b,color_contrast,mlp_final,0,$[]$,44.641
pythia-2.8b,color_contrast,mlp_final,1,teasp,42.37
pythia-2.8b,color_contrast,mlp_final,2,researc,41.99
pythia-2.8b,color_contrast,mlp_final,3,cryptocur,41.028
pythia-2.8b,color_contrast,mlp_final,4,tradem,40.016
pythia-2.8b,color_contrast,mlp_final,5,,39.594
pythia-2.8b,color_contrast,mlp_final,6,,38.323
pythia-2.8b,color_contrast,mlp_final,7,practition,38.312
pythia-2.8b,color_contrast,mlp_final,8,BytePtrFromString,37.435
pythia-2.8b,color_contrast,mlp_final,9,counc,37.405
pythia-2.8b,color_contrast,mlp_final,10,CHANTABILITY,37.322
pythia-2.8b,color_contrast,mlp_final,11,NdEx,37.301
pythia-2.8b,color_contrast,mlp_final,12,earthqu,37.258
pythia-2.8b,color_contrast,mlp_final,13,ÃÂ,36.629
pythia-2.8b,color_contrast,mlp_final,14,biomark,36.498
pythia-2.8b,color_contrast,mlp_final,15,��,36.065
pythia-2.8b,color_contrast,mlp_final,16,careg,36.047
pythia-2.8b,color_contrast,mlp_final,17,specim,35.976
pythia-2.8b,color_contrast,mlp_final,18,[]$,35.791
pythia-2.8b,color_contrast,mlp_final,19,,35.515
pythia-2.8b,color_contrast,full_model,0,it,15.871
pythia-2.8b,color_contrast,full_model,1,color,14.343
pythia-2.8b,color_contrast,full_model,2,of,13.694
pythia-2.8b,color_contrast,full_model,3,the,13.614
pythia-2.8b,color_contrast,full_model,4,colors,13.24
pythia-2.8b,color_contrast,full_model,5,people,12.916
pythia-2.8b,color_contrast,full_model,6,many,12.667
pythia-2.8b,color_contrast,full_model,7,we,12.525
pythia-2.8b,color_contrast,full_model,8,a,12.441
pythia-2.8b,color_contrast,full_model,9,different,12.379
pythia-2.8b,color_contrast,full_model,10,",",12.227
pythia-2.8b,color_contrast,full_model,11,most,12.044
pythia-2.8b,color_contrast,full_model,12,humans,11.835
pythia-2.8b,color_contrast,full_model,13,visual,11.8
pythia-2.8b,color_contrast,full_model,14,when,11.642
pythia-2.8b,color_contrast,full_model,15,there,11.635
pythia-2.8b,color_contrast,full_model,16,you,11.532
pythia-2.8b,color_contrast,full_model,17,human,11.453
pythia-2.8b,color_contrast,full_model,18,our,11.328
pythia-2.8b,color_contrast,full_model,19,contrast,11.325
