model,prompt,source,rank,token,logit
pythia-160m,skip_link,mlp_final,0,).),59.34
pythia-160m,skip_link,mlp_final,1,.),58.086
pythia-160m,skip_link,mlp_final,2,.],57.883
pythia-160m,skip_link,mlp_final,3,:`,57.682
pythia-160m,skip_link,mlp_final,4,?),57.104
pythia-160m,skip_link,mlp_final,5,".),",56.853
pythia-160m,skip_link,mlp_final,6,ning,56.458
pythia-160m,skip_link,mlp_final,7,expires,56.229
pythia-160m,skip_link,mlp_final,8,.’,55.731
pythia-160m,skip_link,mlp_final,9,.”,55.687
pythia-160m,skip_link,mlp_final,10,ago,55.342
pythia-160m,skip_link,mlp_final,11,",)",55.24
pythia-160m,skip_link,mlp_final,12,.).,55.176
pythia-160m,skip_link,mlp_final,13,.’”,55.012
pythia-160m,skip_link,mlp_final,14,".'""",54.91
pythia-160m,skip_link,mlp_final,15,].),54.725
pythia-160m,skip_link,mlp_final,16,respectively,54.58
pythia-160m,skip_link,mlp_final,17,".,",54.522
pythia-160m,skip_link,mlp_final,18,*),54.497
pythia-160m,skip_link,mlp_final,19,heet,54.489
pythia-160m,skip_link,full_model,0,a,21.272
pythia-160m,skip_link,full_model,1,an,20.623
pythia-160m,skip_link,full_model,2,used,18.826
pythia-160m,skip_link,full_model,3,the,18.651
pythia-160m,skip_link,full_model,4,required,18.518
pythia-160m,skip_link,full_model,5,defined,18.328
pythia-160m,skip_link,full_model,6,not,18.308
pythia-160m,skip_link,full_model,7,needed,18.295
pythia-160m,skip_link,full_model,8,provided,18.168
pythia-160m,skip_link,full_model,9,one,18.127
pythia-160m,skip_link,full_model,10,meant,18.012
pythia-160m,skip_link,full_model,11,another,17.96
pythia-160m,skip_link,full_model,12,designed,17.886
pythia-160m,skip_link,full_model,13,made,17.691
pythia-160m,skip_link,full_model,14,available,17.593
pythia-160m,skip_link,full_model,15,what,17.529
pythia-160m,skip_link,full_model,16,often,17.497
pythia-160m,skip_link,full_model,17,simply,17.474
pythia-160m,skip_link,full_model,18,necessary,17.47
pythia-160m,skip_link,full_model,19,also,17.449
pythia-160m,color_contrast,mlp_final,0,of,72.64
pythia-160m,color_contrast,mlp_final,1,Kindle,71.869
pythia-160m,color_contrast,mlp_final,2,humans,71.747
pythia-160m,color_contrast,mlp_final,3,against,71.46
pythia-160m,color_contrast,mlp_final,4,Microsoft,71.41
pythia-160m,color_contrast,mlp_final,5,until,71.062
pythia-160m,color_contrast,mlp_final,6,pandas,71.015
pythia-160m,color_contrast,mlp_final,7,beside,71.013
pythia-160m,color_contrast,mlp_final,8,innings,70.987
pythia-160m,color_contrast,mlp_final,9,aloud,70.866
pythia-160m,color_contrast,mlp_final,10,tablets,70.761
pythia-160m,color_contrast,mlp_final,11,developers,70.714
pythia-160m,color_contrast,mlp_final,12,headphones,70.662
pythia-160m,color_contrast,mlp_final,13,to,70.453
pythia-160m,color_contrast,mlp_final,14,flic,70.438
pythia-160m,color_contrast,mlp_final,15,you,70.344
pythia-160m,color_contrast,mlp_final,16,than,69.951
pythia-160m,color_contrast,mlp_final,17,Samsung,69.759
pythia-160m,color_contrast,mlp_final,18,about,69.607
pythia-160m,color_contrast,mlp_final,19,alumni,69.561
pythia-160m,color_contrast,full_model,0,it,25.319
pythia-160m,color_contrast,full_model,1,color,23.325
pythia-160m,color_contrast,full_model,2,the,23.074
pythia-160m,color_contrast,full_model,3,colors,22.932
pythia-160m,color_contrast,full_model,4,of,22.818
pythia-160m,color_contrast,full_model,5,many,21.934
pythia-160m,color_contrast,full_model,6,its,21.678
pythia-160m,color_contrast,full_model,7,we,21.629
pythia-160m,color_contrast,full_model,8,there,21.605
pythia-160m,color_contrast,full_model,9,a,21.592
pythia-160m,color_contrast,full_model,10,you,21.519
pythia-160m,color_contrast,full_model,11,different,21.457
pythia-160m,color_contrast,full_model,12,images,21.438
pythia-160m,color_contrast,full_model,13,when,21.17
pythia-160m,color_contrast,full_model,14,people,21.089
pythia-160m,color_contrast,full_model,15,most,21.054
pythia-160m,color_contrast,full_model,16,some,21.043
pythia-160m,color_contrast,full_model,17,light,21.023
pythia-160m,color_contrast,full_model,18,contrast,20.98
pythia-160m,color_contrast,full_model,19,your,20.897
