model,prompt,source,rank,token,logit
pythia-410m,skip_link,mlp_final,0,BytePtrFromString,9.759
pythia-410m,skip_link,mlp_final,1,errnoErr,8.732
pythia-410m,skip_link,mlp_final,2,javase,8.542
pythia-410m,skip_link,mlp_final,3,)|$(,8.434
pythia-410m,skip_link,mlp_final,4,CHANTABILITY,7.972
pythia-410m,skip_link,mlp_final,5,omitempty,7.951
pythia-410m,skip_link,mlp_final,6,tradem,7.814
pythia-410m,skip_link,mlp_final,7,":"",",7.673
pythia-410m,skip_link,mlp_final,8,"/"">",7.666
pythia-410m,skip_link,mlp_final,9,ETHOD,7.509
pythia-410m,skip_link,mlp_final,10,medscimonit,7.491
pythia-410m,skip_link,mlp_final,11,""":",7.446
pythia-410m,skip_link,mlp_final,12,cryptocur,7.394
pythia-410m,skip_link,mlp_final,13,rewritten,7.393
pythia-410m,skip_link,mlp_final,14,?’,7.351
pythia-410m,skip_link,mlp_final,15,endl,7.319
pythia-410m,skip_link,mlp_final,16,dAtA,7.296
pythia-410m,skip_link,mlp_final,17,")"">",7.258
pythia-410m,skip_link,mlp_final,18,algorith,7.206
pythia-410m,skip_link,mlp_final,19,)^[@,6.999
pythia-410m,skip_link,full_model,0,a,15.258
pythia-410m,skip_link,full_model,1,an,13.955
pythia-410m,skip_link,full_model,2,provided,13.578
pythia-410m,skip_link,full_model,3,included,13.196
pythia-410m,skip_link,full_model,4,available,13.186
pythia-410m,skip_link,full_model,5,used,13.042
pythia-410m,skip_link,full_model,6,added,12.888
pythia-410m,skip_link,full_model,7,shown,12.848
pythia-410m,skip_link,full_model,8,displayed,12.795
pythia-410m,skip_link,full_model,9,often,12.646
pythia-410m,skip_link,full_model,10,the,12.61
pythia-410m,skip_link,full_model,11,one,12.593
pythia-410m,skip_link,full_model,12,automatically,12.567
pythia-410m,skip_link,full_model,13,embedded,12.368
pythia-410m,skip_link,full_model,14,required,12.1
pythia-410m,skip_link,full_model,15,not,12.035
pythia-410m,skip_link,full_model,16,another,11.987
pythia-410m,skip_link,full_model,17,attached,11.968
pythia-410m,skip_link,full_model,18,located,11.858
pythia-410m,skip_link,full_model,19,created,11.824
pythia-410m,color_contrast,mlp_final,0,CHANTABILITY,12.467
pythia-410m,color_contrast,mlp_final,1,BytePtrFromString,11.609
pythia-410m,color_contrast,mlp_final,2,omitempty,10.192
pythia-410m,color_contrast,mlp_final,3,dAtA,10.004
pythia-410m,color_contrast,mlp_final,4,promin,9.631
pythia-410m,color_contrast,mlp_final,5,tradem,9.558
pythia-410m,color_contrast,mlp_final,6,MERCHANTABILITY,9.19
pythia-410m,color_contrast,mlp_final,7,)|$(,8.932
pythia-410m,color_contrast,mlp_final,8,javase,8.839
pythia-410m,color_contrast,mlp_final,9,�,8.559
pythia-410m,color_contrast,mlp_final,10,,8.219
pythia-410m,color_contrast,mlp_final,11,combust,8.136
pythia-410m,color_contrast,mlp_final,12,,8.095
pythia-410m,color_contrast,mlp_final,13,astolic,8.044
pythia-410m,color_contrast,mlp_final,14,psychiat,8.018
pythia-410m,color_contrast,mlp_final,15,cryptocur,8.003
pythia-410m,color_contrast,mlp_final,16,ferment,7.967
pythia-410m,color_contrast,mlp_final,17,errnoErr,7.906
pythia-410m,color_contrast,mlp_final,18,antican,7.855
pythia-410m,color_contrast,mlp_final,19,PTSD,7.81
pythia-410m,color_contrast,full_model,0,it,15.451
pythia-410m,color_contrast,full_model,1,of,13.549
pythia-410m,color_contrast,full_model,2,the,13.436
pythia-410m,color_contrast,full_model,3,colors,12.519
pythia-410m,color_contrast,full_model,4,color,12.43
pythia-410m,color_contrast,full_model,5,a,12.389
pythia-410m,color_contrast,full_model,6,people,12.109
pythia-410m,color_contrast,full_model,7,different,12.058
pythia-410m,color_contrast,full_model,8,many,11.998
pythia-410m,color_contrast,full_model,9,when,11.932
pythia-410m,color_contrast,full_model,10,light,11.88
pythia-410m,color_contrast,full_model,11,contrast,11.793
pythia-410m,color_contrast,full_model,12,",",11.746
pythia-410m,color_contrast,full_model,13,we,11.671
pythia-410m,color_contrast,full_model,14,humans,11.592
pythia-410m,color_contrast,full_model,15,there,11.401
pythia-410m,color_contrast,full_model,16,you,11.204
pythia-410m,color_contrast,full_model,17,most,11.161
pythia-410m,color_contrast,full_model,18,its,10.916
pythia-410m,color_contrast,full_model,19,each,10.914
