model,prompt,layer,rank,token,logit
pythia-410m,skip_link,0,0,",&",4.631
pythia-410m,skip_link,0,1,omer,4.391
pythia-410m,skip_link,0,2,uckles,4.347
pythia-410m,skip_link,0,3,magn,4.15
pythia-410m,skip_link,0,4,INT,4.0
pythia-410m,skip_link,1,0,osin,4.993
pythia-410m,skip_link,1,1,atur,4.861
pythia-410m,skip_link,1,2,mong,4.357
pythia-410m,skip_link,1,3,eries,4.079
pythia-410m,skip_link,1,4,play,4.066
pythia-410m,skip_link,2,0,osin,5.831
pythia-410m,skip_link,2,1,mong,5.577
pythia-410m,skip_link,2,2,atur,5.553
pythia-410m,skip_link,2,3,PI,5.15
pythia-410m,skip_link,2,4,hypers,5.075
pythia-410m,skip_link,3,0,orth,5.579
pythia-410m,skip_link,3,1,hypers,5.54
pythia-410m,skip_link,3,2,PI,5.509
pythia-410m,skip_link,3,3,gos,5.37
pythia-410m,skip_link,3,4,manuel,5.354
pythia-410m,skip_link,4,0,manuel,5.748
pythia-410m,skip_link,4,1,orth,5.606
pythia-410m,skip_link,4,2,|{\,5.593
pythia-410m,skip_link,4,3,either,5.581
pythia-410m,skip_link,4,4,;|,5.542
pythia-410m,skip_link,5,0,odia,6.204
pythia-410m,skip_link,5,1,either,6.032
pythia-410m,skip_link,5,2,called,5.965
pythia-410m,skip_link,5,3,hereby,5.633
pythia-410m,skip_link,5,4,./,5.457
pythia-410m,skip_link,6,0,odia,7.15
pythia-410m,skip_link,6,1,either,6.043
pythia-410m,skip_link,6,2,not,6.033
pythia-410m,skip_link,6,3,ometric,5.998
pythia-410m,skip_link,6,4,hereby,5.997
pythia-410m,skip_link,7,0,ometric,6.092
pythia-410m,skip_link,7,1,not,5.827
pythia-410m,skip_link,7,2,also,5.812
pythia-410m,skip_link,7,3,odia,5.794
pythia-410m,skip_link,7,4,hereby,5.75
pythia-410m,skip_link,8,0,not,6.376
pythia-410m,skip_link,8,1,nyder,6.028
pythia-410m,skip_link,8,2,only,5.778
pythia-410m,skip_link,8,3,available,5.675
pythia-410m,skip_link,8,4,hereby,5.592
pythia-410m,skip_link,9,0,always,5.87
pythia-410m,skip_link,9,1,available,5.839
pythia-410m,skip_link,9,2,not,5.697
pythia-410m,skip_link,9,3,only,5.56
pythia-410m,skip_link,9,4,nad,5.295
pythia-410m,skip_link,10,0,available,6.458
pythia-410m,skip_link,10,1,available,5.772
pythia-410m,skip_link,10,2,tr,5.688
pythia-410m,skip_link,10,3,tern,5.625
pythia-410m,skip_link,10,4,nt,5.587
pythia-410m,skip_link,11,0,available,6.729
pythia-410m,skip_link,11,1,not,6.619
pythia-410m,skip_link,11,2,an,6.276
pythia-410m,skip_link,11,3,only,6.203
pythia-410m,skip_link,11,4,what,5.992
pythia-410m,skip_link,12,0,available,7.321
pythia-410m,skip_link,12,1,only,6.401
pythia-410m,skip_link,12,2,not,6.399
pythia-410m,skip_link,12,3,required,6.375
pythia-410m,skip_link,12,4,what,6.223
pythia-410m,skip_link,13,0,not,9.176
pythia-410m,skip_link,13,1,available,8.515
pythia-410m,skip_link,13,2,usually,8.232
pythia-410m,skip_link,13,3,an,8.21
pythia-410m,skip_link,13,4,nt,8.207
pythia-410m,skip_link,14,0,usually,8.163
pythia-410m,skip_link,14,1,not,7.943
pythia-410m,skip_link,14,2,typically,7.889
pythia-410m,skip_link,14,3,nt,7.469
pythia-410m,skip_link,14,4,available,7.461
pythia-410m,skip_link,15,0,an,9.977
pythia-410m,skip_link,15,1,usually,9.457
pythia-410m,skip_link,15,2,a,9.342
pythia-410m,skip_link,15,3,typically,9.314
pythia-410m,skip_link,15,4,available,9.243
pythia-410m,skip_link,16,0,a,17.596
pythia-410m,skip_link,16,1,an,16.183
pythia-410m,skip_link,16,2,not,13.921
pythia-410m,skip_link,16,3,the,13.617
pythia-410m,skip_link,16,4,usually,13.353
pythia-410m,skip_link,17,0,a,19.797
pythia-410m,skip_link,17,1,an,18.239
pythia-410m,skip_link,17,2,available,16.804
pythia-410m,skip_link,17,3,one,16.37
pythia-410m,skip_link,17,4,not,15.554
pythia-410m,skip_link,18,0,a,26.952
pythia-410m,skip_link,18,1,an,24.193
pythia-410m,skip_link,18,2,available,21.246
pythia-410m,skip_link,18,3,one,21.209
pythia-410m,skip_link,18,4,the,20.545
pythia-410m,skip_link,19,0,a,28.429
pythia-410m,skip_link,19,1,an,25.561
pythia-410m,skip_link,19,2,available,23.607
pythia-410m,skip_link,19,3,one,23.529
pythia-410m,skip_link,19,4,the,22.126
pythia-410m,skip_link,20,0,a,28.829
pythia-410m,skip_link,20,1,an,25.887
pythia-410m,skip_link,20,2,one,24.676
pythia-410m,skip_link,20,3,available,23.938
pythia-410m,skip_link,20,4,the,22.718
pythia-410m,skip_link,21,0,a,28.252
pythia-410m,skip_link,21,1,an,25.85
pythia-410m,skip_link,21,2,one,25.162
pythia-410m,skip_link,21,3,available,23.631
pythia-410m,skip_link,21,4,the,22.92
pythia-410m,skip_link,22,0,a,25.202
pythia-410m,skip_link,22,1,an,24.157
pythia-410m,skip_link,22,2,available,21.439
pythia-410m,skip_link,22,3,provided,21.279
pythia-410m,skip_link,22,4,one,20.674
pythia-410m,skip_link,23,0,a,24.158
pythia-410m,skip_link,23,1,an,22.096
pythia-410m,skip_link,23,2,provided,21.499
pythia-410m,skip_link,23,3,included,20.894
pythia-410m,skip_link,23,4,available,20.877
