model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
pythia-410m,skip_link,0,5.032091,10.639056,2.1142,12.813113,0.0
pythia-410m,skip_link,1,4.121728,3.923796,0.952,13.409625,0.0435
pythia-410m,skip_link,2,3.374528,5.578644,1.6532,17.11442,0.087
pythia-410m,skip_link,3,5.637723,5.079663,0.901,17.874424,0.1304
pythia-410m,skip_link,4,4.913114,5.890337,1.1989,18.641624,0.1739
pythia-410m,skip_link,5,8.711093,8.139994,0.9344,17.397442,0.2174
pythia-410m,skip_link,6,6.205064,7.244792,1.1676,19.304642,0.2609
pythia-410m,skip_link,7,4.252757,6.972656,1.6396,18.604698,0.3043
pythia-410m,skip_link,8,4.042109,8.066773,1.9957,17.464615,0.3478
pythia-410m,skip_link,9,4.525393,6.633634,1.4659,18.342699,0.3913
pythia-410m,skip_link,10,5.313482,6.734668,1.2675,18.893225,0.4348
pythia-410m,skip_link,11,3.302016,7.369306,2.2318,18.499903,0.4783
pythia-410m,skip_link,12,3.334878,6.909286,2.0718,19.150578,0.5217
pythia-410m,skip_link,13,3.738731,7.825699,2.0931,21.004488,0.5652
pythia-410m,skip_link,14,2.59756,7.498826,2.8869,20.743561,0.6087
pythia-410m,skip_link,15,3.261757,7.944536,2.4357,23.035887,0.6522
pythia-410m,skip_link,16,7.366364,13.150184,1.7852,29.068106,0.6957
pythia-410m,skip_link,17,4.758852,11.323136,2.3794,35.014576,0.7391
pythia-410m,skip_link,18,1.918981,13.895214,7.2409,40.639122,0.7826
pythia-410m,skip_link,19,4.127494,12.242694,2.9661,45.697742,0.8261
pythia-410m,skip_link,20,3.262217,12.022199,3.6853,50.713509,0.8696
pythia-410m,skip_link,21,6.789037,16.181776,2.3835,53.204739,0.913
pythia-410m,skip_link,22,3.095562,16.056721,5.187,53.352669,0.9565
pythia-410m,skip_link,23,8.391121,42.326725,5.0442,50.66658,1.0
pythia-410m,color_contrast,0,4.810462,10.687911,2.2218,12.52396,0.0
pythia-410m,color_contrast,1,4.212926,4.202669,0.9976,13.634936,0.0435
pythia-410m,color_contrast,2,3.528174,5.658866,1.6039,16.930941,0.087
pythia-410m,color_contrast,3,5.887147,5.831147,0.9905,18.215349,0.1304
pythia-410m,color_contrast,4,5.608502,7.280836,1.2982,21.556932,0.1739
pythia-410m,color_contrast,5,9.32955,9.768968,1.0471,19.297873,0.2174
pythia-410m,color_contrast,6,5.155964,8.185308,1.5875,21.045427,0.2609
pythia-410m,color_contrast,7,4.466802,8.078481,1.8086,19.854202,0.3043
pythia-410m,color_contrast,8,5.219906,8.048708,1.5419,19.397606,0.3478
pythia-410m,color_contrast,9,4.294523,7.981664,1.8586,19.092058,0.3913
pythia-410m,color_contrast,10,5.946691,8.536724,1.4355,21.066036,0.4348
pythia-410m,color_contrast,11,4.597219,8.207098,1.7852,19.626835,0.4783
pythia-410m,color_contrast,12,3.727059,7.486576,2.0087,19.986237,0.5217
pythia-410m,color_contrast,13,3.107893,8.183262,2.6331,21.533564,0.5652
pythia-410m,color_contrast,14,3.844128,6.685641,1.7392,22.493258,0.6087
pythia-410m,color_contrast,15,4.201481,8.333707,1.9835,24.069672,0.6522
pythia-410m,color_contrast,16,4.992666,13.887671,2.7816,29.052998,0.6957
pythia-410m,color_contrast,17,6.272655,12.575193,2.0048,38.903656,0.7391
pythia-410m,color_contrast,18,3.610839,15.863159,4.3932,45.701134,0.7826
pythia-410m,color_contrast,19,6.823024,12.892791,1.8896,51.580456,0.8261
pythia-410m,color_contrast,20,3.675132,17.767128,4.8344,57.899616,0.8696
pythia-410m,color_contrast,21,4.011361,15.414878,3.8428,61.452293,0.913
pythia-410m,color_contrast,22,4.328858,21.991165,5.0801,58.028545,0.9565
pythia-410m,color_contrast,23,7.73523,51.346779,6.638,54.730392,1.0
