model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
pythia-2.8b,skip_link,0,13.181741,29.699905,2.2531,37.319756,0.0
pythia-2.8b,skip_link,1,11.139232,8.513212,0.7643,36.036156,0.0323
pythia-2.8b,skip_link,2,7.330173,10.68178,1.4572,41.030144,0.0645
pythia-2.8b,skip_link,3,9.111525,10.30877,1.1314,47.151703,0.0968
pythia-2.8b,skip_link,4,11.847115,12.420119,1.0484,50.676727,0.129
pythia-2.8b,skip_link,5,11.509545,14.727886,1.2796,49.186115,0.1613
pythia-2.8b,skip_link,6,7.953455,17.274086,2.1719,49.928116,0.1935
pythia-2.8b,skip_link,7,10.395909,15.59833,1.5004,55.994247,0.2258
pythia-2.8b,skip_link,8,13.033648,18.942308,1.4533,61.91127,0.2581
pythia-2.8b,skip_link,9,9.541951,18.26519,1.9142,66.730484,0.2903
pythia-2.8b,skip_link,10,16.54491,17.03388,1.0296,70.346748,0.3226
pythia-2.8b,skip_link,11,7.694141,17.054443,2.2165,69.626282,0.3548
pythia-2.8b,skip_link,12,9.044427,16.187456,1.7898,72.005043,0.3871
pythia-2.8b,skip_link,13,10.28818,17.272596,1.6789,76.170792,0.4194
pythia-2.8b,skip_link,14,9.684341,16.379711,1.6914,78.243286,0.4516
pythia-2.8b,skip_link,15,8.883986,17.697147,1.992,83.8909,0.4839
pythia-2.8b,skip_link,16,14.102852,18.548296,1.3152,92.926834,0.5161
pythia-2.8b,skip_link,17,15.090817,23.281145,1.5427,103.907425,0.5484
pythia-2.8b,skip_link,18,9.267555,25.765747,2.7802,116.698669,0.5806
pythia-2.8b,skip_link,19,10.838208,27.341858,2.5227,132.167282,0.6129
pythia-2.8b,skip_link,20,15.362463,30.764492,2.0026,153.133972,0.6452
pythia-2.8b,skip_link,21,12.418597,31.44976,2.5325,173.332703,0.6774
pythia-2.8b,skip_link,22,17.920952,34.86869,1.9457,202.514725,0.7097
pythia-2.8b,skip_link,23,10.984448,25.313829,2.3045,220.311279,0.7419
pythia-2.8b,skip_link,24,9.777555,24.542374,2.5101,237.806976,0.7742
pythia-2.8b,skip_link,25,5.228594,22.643051,4.3306,248.452316,0.8065
pythia-2.8b,skip_link,26,5.472556,18.567566,3.3929,251.822388,0.8387
pythia-2.8b,skip_link,27,5.007497,18.903433,3.775,256.805023,0.871
pythia-2.8b,skip_link,28,6.257106,19.453264,3.109,257.580231,0.9032
pythia-2.8b,skip_link,29,3.418142,24.804583,7.2567,259.47345,0.9355
pythia-2.8b,skip_link,30,11.929691,51.981945,4.3574,242.956863,0.9677
pythia-2.8b,skip_link,31,15.655228,137.573959,8.7877,204.288757,1.0
pythia-2.8b,color_contrast,0,12.231046,29.129673,2.3816,35.172417,0.0
pythia-2.8b,color_contrast,1,11.450844,9.183694,0.802,35.01902,0.0323
pythia-2.8b,color_contrast,2,5.982409,10.956976,1.8315,39.254379,0.0645
pythia-2.8b,color_contrast,3,9.800123,10.630372,1.0847,44.988983,0.0968
pythia-2.8b,color_contrast,4,13.332596,13.907184,1.0431,50.54995,0.129
pythia-2.8b,color_contrast,5,17.105848,16.122202,0.9425,51.79129,0.1613
pythia-2.8b,color_contrast,6,7.351856,20.140177,2.7395,52.956413,0.1935
pythia-2.8b,color_contrast,7,6.762671,17.491583,2.5865,58.829208,0.2258
pythia-2.8b,color_contrast,8,13.044312,17.01232,1.3042,61.062553,0.2581
pythia-2.8b,color_contrast,9,8.623962,17.14241,1.9878,60.957928,0.2903
pythia-2.8b,color_contrast,10,16.311804,16.351488,1.0024,66.569321,0.3226
pythia-2.8b,color_contrast,11,8.432966,17.223831,2.0424,66.006683,0.3548
pythia-2.8b,color_contrast,12,11.427154,17.152304,1.501,69.177437,0.3871
pythia-2.8b,color_contrast,13,13.209459,19.015663,1.4395,75.769157,0.4194
pythia-2.8b,color_contrast,14,15.147655,18.331491,1.2102,78.170952,0.4516
pythia-2.8b,color_contrast,15,9.629597,20.720425,2.1517,86.944717,0.4839
pythia-2.8b,color_contrast,16,17.216953,20.322952,1.1804,99.483467,0.5161
pythia-2.8b,color_contrast,17,14.122725,23.55868,1.6681,111.559242,0.5484
pythia-2.8b,color_contrast,18,16.246767,23.792181,1.4644,127.127808,0.5806
pythia-2.8b,color_contrast,19,10.296115,26.298126,2.5542,143.307816,0.6129
pythia-2.8b,color_contrast,20,17.677637,30.741459,1.739,166.686752,0.6452
pythia-2.8b,color_contrast,21,12.291496,37.082642,3.0169,192.020187,0.6774
pythia-2.8b,color_contrast,22,22.943739,36.40131,1.5865,225.727814,0.7097
pythia-2.8b,color_contrast,23,10.317323,29.522331,2.8614,246.29451,0.7419
pythia-2.8b,color_contrast,24,8.970528,25.293512,2.8196,264.024292,0.7742
pythia-2.8b,color_contrast,25,6.43186,23.980547,3.7284,275.908966,0.8065
pythia-2.8b,color_contrast,26,8.608855,21.357647,2.4809,280.700623,0.8387
pythia-2.8b,color_contrast,27,6.167919,19.546963,3.1691,285.188416,0.871
pythia-2.8b,color_contrast,28,5.710045,22.70574,3.9765,283.307281,0.9032
pythia-2.8b,color_contrast,29,4.626172,26.555939,5.7404,282.949432,0.9355
pythia-2.8b,color_contrast,30,14.282504,60.137352,4.2106,254.138763,0.9677
pythia-2.8b,color_contrast,31,20.429554,159.257004,7.7954,210.431351,1.0
