domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
medical,oxygen_saturation,oxygen saturation,declarative,cloze,Oxygen saturation refers to,"the amount of oxygen that is carried in the blood. It is measured as a percentage of the total amount of oxygen that could be carried. Oxygen saturation is usually measured with a pulse oximeter, a small device that is placed on the finger. It is a non-invasive test that is painless and takes only a few seconds to perform.

The normal range for oxygen saturation is between 95% and 100%. If the oxygen saturation is less than 90%, it is considered low. Low",100,OLMo-2-1124-13B
medical,body_temperature,body temperature,declarative,cloze,Body temperature is,"a key indicator of health. It is a measure of the body’s ability to generate and conserve heat. The body’s core temperature is normally 37°C (98.6°F). A fever is a temporary increase in this temperature. A fever is a symptom, not a disease. It is the body’s normal response to infection and other conditions. Fever is one of the body’s protective mechanisms. Fever helps the body fight infections by making conditions unfavorable for bacteria, viruses, and parasites. Fever also",100,OLMo-2-1124-13B
medical,platelet_count,platelet count,declarative,cloze,Platelet count measures,"the number of platelets in a blood sample. Platelets are small, colorless blood cells that help blood to clot. Platelet count is usually measured as part of a complete blood count (CBC) test.

Why It Is Done

A platelet count is usually done as part of a complete blood count (CBC) test. A CBC test is done to:

  • Find the cause of symptoms such as fatigue, weakness, or bruising.
  • Diagnose a blood disorder or",100,OLMo-2-1124-13B
medical,metabolic_panel,metabolic panel,declarative,cloze,A metabolic panel is,"a blood test that measures the levels of certain substances in the blood. It is used to evaluate how well the kidneys, liver, and other organs are working. It also helps to determine if there are any problems with the body's metabolism.

A metabolic panel is a group of blood tests that measure the levels of certain substances in the blood. These tests can help to diagnose and monitor a variety of conditions, including diabetes, kidney disease, and liver disease.

A metabolic panel typically includes tests for blood glucose",100,OLMo-2-1124-13B
medical,bacterial_infection,bacterial infection,declarative,cloze,A bacterial infection is caused by,"bacteria. Bacteria are microscopic organisms that can infect any part of the body. Bacterial infections are common and can affect people of all ages. They can be mild, moderate or severe. Some bacterial infections can be life-threatening. Bacterial infections can be treated with antibiotics. Antibiotics are medicines that kill bacteria. They are only effective against bacteria. They do not work against viruses. Bacterial infections can be spread from person to person. They can also be spread by animals and insects. Some bacterial",100,OLMo-2-1124-13B
medical,magnetic_resonance,magnetic resonance,declarative,cloze,Magnetic resonance imaging is,"a medical imaging technique that uses a magnetic field and radio waves to create images of the body. The images produced are very detailed and can be used to diagnose a wide range of conditions. MRI is a safe and non-invasive procedure that does not involve the use of radiation.

How does MRI work?

MRI uses a strong magnetic field to align the hydrogen protons in the body. Radio waves are then used to excite the protons, causing them to spin. The protons then emit a signal",100,OLMo-2-1124-13B
medical,multiple_sclerosis,multiple sclerosis,declarative,cloze,Multiple sclerosis is,"a chronic, progressive disease that affects the central nervous system. It is an autoimmune disease that affects the brain and spinal cord. The immune system attacks the myelin sheath, which is the protective covering of the nerve cells. This causes the nerves to become damaged and scarred. The damage to the myelin sheath causes the nerve impulses to slow down or stop. This can cause a variety of symptoms, including vision problems, muscle weakness, and difficulty with coordination and balance. There is no cure",100,OLMo-2-1124-13B
medical,complete_remission,complete remission,declarative,cloze,Complete remission means,"that all signs and symptoms of cancer have disappeared after treatment. This does not necessarily mean that the cancer has been cured. Cancer may return because some cancer cells may remain in the body. These cells may increase in number over time. The cancer may then become detectable again. This is called a recurrence.

Complete remission is also called complete response.",100,OLMo-2-1124-13B
medical,bowel_resection,bowel resection,declarative,cloze,A bowel resection is,"a surgical procedure to remove a diseased section of the bowel. The diseased section is removed and the remaining healthy ends of the bowel are reconnected. Bowel resection is used to treat a variety of conditions, including cancer, inflammatory bowel disease, and blockages.

The bowel is made up of the small intestine and the large intestine. The small intestine is made up of three parts: the duodenum, the jejunum, and the ileum. The large intestine is made up",100,OLMo-2-1124-13B
medical,organ_transplant,organ transplant,declarative,cloze,An organ transplant is,"a surgical procedure that replaces a diseased organ with a healthy one from another person. The organ may come from a living donor or from someone who has recently died. The most commonly transplanted organs are the kidneys, liver, heart, lungs, pancreas and intestines. Tissues such as the cornea, heart valves, veins, arteries and bones are also commonly transplanted.

The success of organ transplantation is largely due to the development of drugs that suppress the immune system and prevent it",100,OLMo-2-1124-13B
medical,therapeutic_dosage,therapeutic dosage,declarative,cloze,A therapeutic dosage is,the amount of a drug that is effective in treating a disease. The dosage is usually expressed in milligrams (mg) or micrograms (mcg) per kilogram (kg) of body weight. The dosage is usually expressed in milligrams (mg) or micrograms (mcg) per kilogram (kg) of body weight. The dosage is usually expressed in milligrams (mg) or micrograms (mcg) per kilogram (kg) of body weight. The dosage is,100,OLMo-2-1124-13B
