compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
keyboard_navigation,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",7e-06,7e-06,0.0,False,False,8050,8.993551586299981
focus_indicator,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",3e-06,4e-06,-9.999999999999997e-07,False,False,1261,7.140453043101158
section_heading,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",5.7e-05,1.2e-05,4.5e-05,False,False,6949,8.846496938558838
text_alternative,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",3e-06,7e-06,-4e-06,False,False,1852,7.52456122628536
sensory_characteristics,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",3e-05,2.6e-05,4.000000000000002e-06,False,False,11206,9.324293862052027
target_size,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",5e-06,5e-06,0.0,False,False,21981,9.997979215628845
drag_movement,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",5e-06,9e-06,-4e-06,False,False,328,5.796057750765372
focus_appearance,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",1.2e-05,1.3e-05,-9.99999999999999e-07,False,False,102,4.634728988229636
consistent_help,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",3e-06,1.7e-05,-1.4e-05,False,False,504,6.224558429275359
redundant_entry,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",1e-06,3e-06,-2.0000000000000003e-06,False,False,205,5.327876168789581
accessible_authentication,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",1.4e-05,9e-06,4.9999999999999996e-06,False,False,3,1.3862943611198906
error_identification,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",9e-06,8e-06,1.0000000000000006e-06,False,False,1566,7.356918242356021
character_key,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",2e-06,4e-06,-2e-06,False,False,1974,7.588323677335222
accessibility_tree,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",2e-06,4e-06,-2e-06,False,False,1307,7.176254532017143
accessible_name,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",4e-06,1e-05,-6.000000000000001e-06,False,False,1619,7.3901814282264295
accessible_description,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",4e-06,6e-06,-2.0000000000000003e-06,False,False,716,6.57507584059962
radio_group,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",4e-06,4e-06,0.0,False,False,6694,8.809116258125272
tree_grid,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",1e-06,5e-06,-4.000000000000001e-06,False,False,865,6.763884908562435
menu_bar,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",0.000363,1.3e-05,0.00035,False,False,106878,11.579452632439276
combo_box,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",1e-06,2e-06,-1e-06,False,False,50410,10.82796468421378
semantic_markup,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",6e-06,3e-06,3e-06,False,False,4776,8.471568013389962
text_formatting,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",1.7e-05,9e-06,8e-06,False,False,28514,10.258185543590638
cognitive_disabilities,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",7e-06,9e-06,-2.0000000000000003e-06,False,False,10189,9.229162126216771
decorative_image,pythia-6.9b,uniform,"[(22, 2), (25, 19), (22, 14), (25, 25), (26, 31)]","[(22, 12), (25, 2), (22, 16), (25, 26), (26, 5)]",4e-06,1e-05,-6.000000000000001e-06,False,False,749,6.620073206530356
