suite,compound,trajectory,stable
pythia,ARIA,never_emerges,True
pythia,WCAG,monotonic_climb,False
pythia,accessibility_tree,never_emerges,False
pythia,accessible_authentication,mixed,False
pythia,accessible_description,never_emerges,False
pythia,accessible_name,peak_regress,False
pythia,alt_text,monotonic_climb,False
pythia,audio_description,mixed,False
pythia,character_key,never_emerges,True
pythia,closed_captions,never_emerges,False
pythia,cognitive_disabilities,mixed,False
pythia,color_contrast,mixed,False
pythia,combo_box,peak_regress,False
pythia,consistent_help,never_emerges,False
pythia,decorative_image,mixed,False
pythia,drag_movement,never_emerges,False
pythia,error_identification,never_emerges,True
pythia,focus_appearance,never_emerges,False
pythia,focus_indicator,never_emerges,False
pythia,focus_management,mixed,False
pythia,form_field,monotonic_climb,False
pythia,informative_image,never_emerges,True
pythia,input_purpose,never_emerges,False
pythia,keyboard_interaction,never_emerges,False
pythia,keyboard_navigation,peak_regress,True
pythia,landmark_region,peak_regress,False
pythia,live_region,never_emerges,False
pythia,low_vision,monotonic_climb,False
pythia,menu_bar,monotonic_climb,False
pythia,pointer_cancellation,never_emerges,True
pythia,radio_group,never_emerges,False
pythia,reading_order,peak_regress,False
pythia,redundant_entry,never_emerges,True
pythia,responsive_design,monotonic_climb,False
pythia,screen_reader,monotonic_climb,False
pythia,section_heading,monotonic_climb,False
pythia,semantic_html,never_emerges,False
pythia,semantic_markup,mixed,False
pythia,sensory_characteristics,never_emerges,False
pythia,sign_language,monotonic_climb,False
pythia,skip_link,peak_regress,True
pythia,status_message,peak_regress,False
pythia,tab_panel,monotonic_climb,False
pythia,target_size,never_emerges,False
pythia,text_alternative,never_emerges,False
pythia,text_formatting,mixed,False
pythia,text_spacing,never_emerges,False
pythia,tool_tip,mixed,False
pythia,touch_target,mixed,False
pythia,tree_grid,never_emerges,False
pythia,universal_design,never_emerges,False
gpt2,ARIA,never_emerges,True
gpt2,WCAG,monotonic_climb,False
gpt2,accessibility_tree,never_emerges,False
gpt2,accessible_authentication,never_emerges,False
gpt2,accessible_description,monotonic_climb,False
gpt2,accessible_name,peak_regress,False
gpt2,alt_text,monotonic_climb,False
gpt2,audio_description,never_emerges,True
gpt2,character_key,never_emerges,True
gpt2,closed_captions,never_emerges,False
gpt2,cognitive_disabilities,monotonic_climb,False
gpt2,color_contrast,monotonic_climb,False
gpt2,combo_box,never_emerges,False
gpt2,consistent_help,never_emerges,False
gpt2,decorative_image,peak_regress,False
gpt2,drag_movement,never_emerges,False
gpt2,error_identification,monotonic_climb,False
gpt2,focus_appearance,never_emerges,True
gpt2,focus_indicator,peak_regress,True
gpt2,focus_management,never_emerges,False
gpt2,form_field,monotonic_climb,False
gpt2,informative_image,never_emerges,True
gpt2,input_purpose,never_emerges,True
gpt2,keyboard_interaction,never_emerges,False
gpt2,keyboard_navigation,mixed,False
gpt2,landmark_region,never_emerges,True
gpt2,live_region,never_emerges,False
gpt2,low_vision,monotonic_climb,False
gpt2,menu_bar,monotonic_climb,False
gpt2,pointer_cancellation,never_emerges,False
gpt2,radio_group,never_emerges,False
gpt2,reading_order,mixed,False
gpt2,redundant_entry,never_emerges,True
gpt2,responsive_design,monotonic_climb,False
gpt2,screen_reader,monotonic_climb,False
gpt2,section_heading,monotonic_climb,False
gpt2,semantic_html,never_emerges,False
gpt2,semantic_markup,peak_regress,False
gpt2,sensory_characteristics,never_emerges,False
gpt2,sign_language,monotonic_climb,False
gpt2,skip_link,never_emerges,False
gpt2,status_message,monotonic_climb,False
gpt2,tab_panel,never_emerges,False
gpt2,target_size,never_emerges,False
gpt2,text_alternative,never_emerges,False
gpt2,text_formatting,never_emerges,False
gpt2,text_spacing,never_emerges,False
gpt2,tool_tip,never_emerges,True
gpt2,touch_target,monotonic_climb,False
gpt2,tree_grid,never_emerges,True
gpt2,universal_design,never_emerges,True
