concept,pythia_emergence,gpt2_emergence,olmo_emergence
accessibility_tree,never,never,7B
accessible_authentication,12B,never,never
accessible_description,never,1.5B,never
accessible_name,1B,124M,13B
alt_text,2.8B,1.5B,1B
aria,never,never,7B
audio_description,12B,never,1B
bicycle,never,never,never
character_key,never,never,never
closed_captions,2.8B,1.5B,7B
cognitive_disabilities,160M,124M,1B
color_contrast,410M,355M,never
combo_box,1B,never,7B
consistent_help,never,never,never
decorative_image,410M,124M,1B
drag_movement,never,never,never
empty_link,never,never,never
error_identification,never,1.5B,13B
focus_appearance,never,never,never
focus_indicator,never,124M,1B
focus_management,12B,never,never
form_field,160M,124M,1B
form_label,never,never,never
html,never,never,never
informative_image,never,never,never
input_purpose,never,never,never
keyboard_interaction,never,never,7B
keyboard_navigation,410M,355M,7B
landmark_region,410M,never,never
link_text,never,never,never
live_region,never,never,never
low_vision,12B,1.5B,1B
menu_bar,160M,124M,1B
page_title,never,never,never
pointer_cancellation,never,never,never
radio_group,never,never,never
reading_order,2.8B,355M,never
redundant_entry,never,never,never
responsive_design,2.8B,774M,1B
screen_reader,1B,774M,1B
script,never,never,never
section_heading,160M,355M,1B
semantic_html,never,never,7B
semantic_markup,160M,124M,1B
sensory_characteristics,never,never,never
sign_language,160M,355M,1B
skip_link,2.8B,never,7B
status_message,6.9B,774M,13B
tab_panel,6.9B,never,1B
target_size,never,never,never
text_alternative,never,never,7B
text_formatting,2.8B,never,1B
text_spacing,never,never,7B
tool_tip,2.8B,never,1B
touch_target,160M,1.5B,7B
tree_grid,never,never,never
universal_design,never,never,never
wcag,6.9B,1.5B,1B
