freq_compound,n_incorrect_markers,pred_class
keyboard_interaction,4,
section_heading,3,
text_alternative,3,
audio_description,4,
sign_language,3,monotonic_climb
sensory_characteristics,3,never_emerges
input_purpose,4,
target_size,3,
touch_target,3,
drag_movement,3,
focus_appearance,3,
consistent_help,3,
redundant_entry,4,never_emerges
accessible_authentication,4,
text_spacing,4,
status_message,6,never_emerges
error_identification,4,never_emerges
pointer_cancellation,4,never_emerges
character_key,5,
accessibility_tree,5,
accessible_name,4,
accessible_description,5,
live_region,4,
tab_panel,3,
radio_group,4,
tree_grid,4,never_emerges
menu_bar,3,
tool_tip,4,
combo_box,4,
landmark_region,4,never_emerges
semantic_markup,5,
focus_management,4,never_emerges
reading_order,4,
text_formatting,4,monotonic_climb
form_field,4,monotonic_climb
low_vision,4,
cognitive_disabilities,3,
universal_design,3,
decorative_image,4,
informative_image,4,
responsive_design,3,monotonic_climb
