model,model_key,suite,scale,is_pilot,confirmatory,concept,pair_id,violation_accuracy,conformant_accuracy,violation_correct,conformant_correct,evaluative_pass,strict_item_mean,weighted_item_mean,concept_key,declarative_accuracy,declarative_pass,gap_cell,cell_state
gpt2,gpt2,gpt2,124M,False,True,alt text,alt_text_primary,incorrect,correct,False,True,False,0.5,0.5,alt_text,partial,False,False,declarative_and_evaluative_fail
gpt2,gpt2,gpt2,124M,False,True,closed captions,captions_primary,incorrect,partial,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
gpt2,gpt2,gpt2,124M,False,True,color contrast,color_contrast_primary,partial,incorrect,False,False,False,0.0,0.25,color_contrast,partial,False,False,declarative_and_evaluative_fail
gpt2,gpt2,gpt2,124M,False,True,focus indicator,focus_indicator_primary,incorrect,partial,False,False,False,0.0,0.25,focus_indicator,correct,True,True,declarative_pass_evaluative_fail
gpt2,gpt2,gpt2,124M,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,partial,False,False,False,0.0,0.25,keyboard_navigation,partial,False,False,declarative_and_evaluative_fail
gpt2,gpt2,gpt2,124M,False,True,semantic HTML,semantic_html_primary,incorrect,partial,False,False,False,0.0,0.25,semantic_html,partial,False,False,declarative_and_evaluative_fail
gpt2,gpt2,gpt2,124M,False,True,skip link,skip_link_primary,incorrect,correct,False,True,False,0.5,0.5,skip_link,incorrect,False,False,declarative_and_evaluative_fail
gpt2,gpt2,gpt2,124M,False,True,screen reader,screen_reader_primary,incorrect,partial,False,False,False,0.0,0.25,screen_reader,partial,False,False,declarative_and_evaluative_fail
gpt2-large,gpt2-large,gpt2,774M,False,True,alt text,alt_text_primary,partial,incorrect,False,False,False,0.0,0.25,alt_text,partial,False,False,declarative_and_evaluative_fail
gpt2-large,gpt2-large,gpt2,774M,False,True,closed captions,captions_primary,partial,incorrect,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
gpt2-large,gpt2-large,gpt2,774M,False,True,color contrast,color_contrast_primary,incorrect,partial,False,False,False,0.0,0.25,color_contrast,correct,True,True,declarative_pass_evaluative_fail
gpt2-large,gpt2-large,gpt2,774M,False,True,focus indicator,focus_indicator_primary,partial,incorrect,False,False,False,0.0,0.25,focus_indicator,correct,True,True,declarative_pass_evaluative_fail
gpt2-large,gpt2-large,gpt2,774M,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,incorrect,False,False,False,0.0,0.0,keyboard_navigation,partial,False,False,declarative_and_evaluative_fail
gpt2-large,gpt2-large,gpt2,774M,False,True,semantic HTML,semantic_html_primary,incorrect,partial,False,False,False,0.0,0.25,semantic_html,partial,False,False,declarative_and_evaluative_fail
gpt2-large,gpt2-large,gpt2,774M,False,True,skip link,skip_link_primary,incorrect,correct,False,True,False,0.5,0.5,skip_link,partial,False,False,declarative_and_evaluative_fail
gpt2-large,gpt2-large,gpt2,774M,False,True,screen reader,screen_reader_primary,partial,incorrect,False,False,False,0.0,0.25,screen_reader,correct,True,True,declarative_pass_evaluative_fail
gpt2-medium,gpt2-medium,gpt2,355M,False,True,alt text,alt_text_primary,incorrect,partial,False,False,False,0.0,0.25,alt_text,partial,False,False,declarative_and_evaluative_fail
gpt2-medium,gpt2-medium,gpt2,355M,False,True,closed captions,captions_primary,partial,incorrect,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
gpt2-medium,gpt2-medium,gpt2,355M,False,True,color contrast,color_contrast_primary,incorrect,partial,False,False,False,0.0,0.25,color_contrast,correct,True,True,declarative_pass_evaluative_fail
gpt2-medium,gpt2-medium,gpt2,355M,False,True,focus indicator,focus_indicator_primary,partial,partial,False,False,False,0.0,0.5,focus_indicator,partial,False,False,declarative_and_evaluative_fail
gpt2-medium,gpt2-medium,gpt2,355M,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,partial,False,False,False,0.0,0.25,keyboard_navigation,correct,True,True,declarative_pass_evaluative_fail
gpt2-medium,gpt2-medium,gpt2,355M,False,True,semantic HTML,semantic_html_primary,partial,partial,False,False,False,0.0,0.5,semantic_html,partial,False,False,declarative_and_evaluative_fail
gpt2-medium,gpt2-medium,gpt2,355M,False,True,skip link,skip_link_primary,incorrect,correct,False,True,False,0.5,0.5,skip_link,partial,False,False,declarative_and_evaluative_fail
gpt2-medium,gpt2-medium,gpt2,355M,False,True,screen reader,screen_reader_primary,partial,partial,False,False,False,0.0,0.5,screen_reader,partial,False,False,declarative_and_evaluative_fail
gpt2-xl,gpt2-xl,gpt2,1.5B,False,True,alt text,alt_text_primary,incorrect,partial,False,False,False,0.0,0.25,alt_text,correct,True,True,declarative_pass_evaluative_fail
gpt2-xl,gpt2-xl,gpt2,1.5B,False,True,closed captions,captions_primary,incorrect,partial,False,False,False,0.0,0.25,closed_captions,correct,True,True,declarative_pass_evaluative_fail
gpt2-xl,gpt2-xl,gpt2,1.5B,False,True,color contrast,color_contrast_primary,incorrect,partial,False,False,False,0.0,0.25,color_contrast,correct,True,True,declarative_pass_evaluative_fail
gpt2-xl,gpt2-xl,gpt2,1.5B,False,True,focus indicator,focus_indicator_primary,partial,incorrect,False,False,False,0.0,0.25,focus_indicator,incorrect,False,False,declarative_and_evaluative_fail
gpt2-xl,gpt2-xl,gpt2,1.5B,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,partial,False,False,False,0.0,0.25,keyboard_navigation,correct,True,True,declarative_pass_evaluative_fail
gpt2-xl,gpt2-xl,gpt2,1.5B,False,True,semantic HTML,semantic_html_primary,incorrect,partial,False,False,False,0.0,0.25,semantic_html,partial,False,False,declarative_and_evaluative_fail
gpt2-xl,gpt2-xl,gpt2,1.5B,False,True,skip link,skip_link_primary,correct,incorrect,True,False,False,0.5,0.5,skip_link,incorrect,False,False,declarative_and_evaluative_fail
gpt2-xl,gpt2-xl,gpt2,1.5B,False,True,screen reader,screen_reader_primary,incorrect,partial,False,False,False,0.0,0.25,screen_reader,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-0425-1B,OLMo-2-0425-1B,olmo,1B,False,True,alt text,alt_text_primary,incorrect,partial,False,False,False,0.0,0.25,alt_text,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-0425-1B,OLMo-2-0425-1B,olmo,1B,False,True,closed captions,captions_primary,partial,incorrect,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
OLMo-2-0425-1B,OLMo-2-0425-1B,olmo,1B,False,True,color contrast,color_contrast_primary,incorrect,partial,False,False,False,0.0,0.25,color_contrast,incorrect,False,False,declarative_and_evaluative_fail
OLMo-2-0425-1B,OLMo-2-0425-1B,olmo,1B,False,True,focus indicator,focus_indicator_primary,incorrect,correct,False,True,False,0.5,0.5,focus_indicator,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-0425-1B,OLMo-2-0425-1B,olmo,1B,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,incorrect,False,False,False,0.0,0.0,keyboard_navigation,partial,False,False,declarative_and_evaluative_fail
OLMo-2-0425-1B,OLMo-2-0425-1B,olmo,1B,False,True,semantic HTML,semantic_html_primary,partial,incorrect,False,False,False,0.0,0.25,semantic_html,partial,False,False,declarative_and_evaluative_fail
OLMo-2-0425-1B,OLMo-2-0425-1B,olmo,1B,False,True,skip link,skip_link_primary,incorrect,incorrect,False,False,False,0.0,0.0,skip_link,incorrect,False,False,declarative_and_evaluative_fail
OLMo-2-0425-1B,OLMo-2-0425-1B,olmo,1B,False,True,screen reader,screen_reader_primary,incorrect,partial,False,False,False,0.0,0.25,screen_reader,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-13B,OLMo-2-1124-13B,olmo,13B,False,True,alt text,alt_text_primary,partial,incorrect,False,False,False,0.0,0.25,alt_text,partial,False,False,declarative_and_evaluative_fail
OLMo-2-1124-13B,OLMo-2-1124-13B,olmo,13B,False,True,closed captions,captions_primary,partial,incorrect,False,False,False,0.0,0.25,closed_captions,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-13B,OLMo-2-1124-13B,olmo,13B,False,True,color contrast,color_contrast_primary,partial,incorrect,False,False,False,0.0,0.25,color_contrast,partial,False,False,declarative_and_evaluative_fail
OLMo-2-1124-13B,OLMo-2-1124-13B,olmo,13B,False,True,focus indicator,focus_indicator_primary,partial,incorrect,False,False,False,0.0,0.25,focus_indicator,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-13B,OLMo-2-1124-13B,olmo,13B,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,partial,False,False,False,0.0,0.25,keyboard_navigation,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-13B,OLMo-2-1124-13B,olmo,13B,False,True,semantic HTML,semantic_html_primary,partial,incorrect,False,False,False,0.0,0.25,semantic_html,partial,False,False,declarative_and_evaluative_fail
OLMo-2-1124-13B,OLMo-2-1124-13B,olmo,13B,False,True,skip link,skip_link_primary,partial,partial,False,False,False,0.0,0.5,skip_link,incorrect,False,False,declarative_and_evaluative_fail
OLMo-2-1124-13B,OLMo-2-1124-13B,olmo,13B,False,True,screen reader,screen_reader_primary,incorrect,incorrect,False,False,False,0.0,0.0,screen_reader,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-7B,OLMo-2-1124-7B,olmo,7B,False,True,alt text,alt_text_primary,partial,incorrect,False,False,False,0.0,0.25,alt_text,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-7B,OLMo-2-1124-7B,olmo,7B,False,True,closed captions,captions_primary,partial,incorrect,False,False,False,0.0,0.25,closed_captions,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-7B,OLMo-2-1124-7B,olmo,7B,False,True,color contrast,color_contrast_primary,incorrect,partial,False,False,False,0.0,0.25,color_contrast,incorrect,False,False,declarative_and_evaluative_fail
OLMo-2-1124-7B,OLMo-2-1124-7B,olmo,7B,False,True,focus indicator,focus_indicator_primary,partial,incorrect,False,False,False,0.0,0.25,focus_indicator,incorrect,False,False,declarative_and_evaluative_fail
OLMo-2-1124-7B,OLMo-2-1124-7B,olmo,7B,False,True,keyboard navigation,keyboard_navigation_primary,partial,partial,False,False,False,0.0,0.5,keyboard_navigation,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-7B,OLMo-2-1124-7B,olmo,7B,False,True,semantic HTML,semantic_html_primary,incorrect,correct,False,True,False,0.5,0.5,semantic_html,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-7B,OLMo-2-1124-7B,olmo,7B,False,True,skip link,skip_link_primary,partial,partial,False,False,False,0.0,0.5,skip_link,correct,True,True,declarative_pass_evaluative_fail
OLMo-2-1124-7B,OLMo-2-1124-7B,olmo,7B,False,True,screen reader,screen_reader_primary,incorrect,incorrect,False,False,False,0.0,0.0,screen_reader,partial,False,False,declarative_and_evaluative_fail
