suite,scale,model,prompt_id,prompt_type,template_type,prompt,output,max_tokens,pair_id,concept,polarity,paired_with,expected,accuracy,strict_score,weighted_score,model_key,is_pilot,confirmatory
gpt2,124M,gpt2,evalp_alt_text_primary_violation,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," being 'high-quality' and not 'high-quality'.</p><p>This is a high-quality soap, but it's not high-quality. It's not high-quality. It's not high-quality. It's not high-quality. It's not high-quality. It's not high-quality. It's not high-quality. It's not high-quality. It's not high-quality. It's not high-quality. It's not",100,alt_text_primary,alt text,violation,decl_alt_text_001,inaccessible because the image is missing an alt attribute or text alternative,incorrect,0,0.0,gpt2,False,True
gpt2,124M,gpt2,evalp_alt_text_primary_conformant,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as", being 'accessible' and not 'accessible'.</p><p>This is a great way to get rid of the clutter of your home.</p><p>This is a great way to get rid of the clutter of your home.</p><p>This is a great way to get rid of the clutter of your home.</p><p>This is a great way to get rid of the clutter of your home.</p><p>This is a great way to get rid of the,100,alt_text_primary,alt text,conformant,decl_alt_text_001,accessible with respect to the image; does not invent a missing-alt problem,correct,1,1.0,gpt2,False,True
gpt2,124M,gpt2,evalp_captions_primary_violation,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a ""must-read"" for all users.</p> <p>This is a simple example of how to use the Cell Division API to create a cell. The Cell Division API is a simple API that allows you to create a cell with a single call to the Cell Division API. The Cell Division API is a simple API that allows you to create a cell with a single call to the Cell Division API. The Cell Division API is a simple API that allows you to create a cell with a",100,captions_primary,closed captions,violation,decl_captions_001,inaccessible because the video has no captions or equivalent text alternative,incorrect,0,0.0,gpt2,False,True
gpt2,124M,gpt2,evalp_captions_primary_conformant,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as", a 'feature' and not a 'feature' in the code. The code is not to be used for any other purpose.</p> <p>The code is not to be used for any other purpose.</p> <p>The code is not to be used for any other purpose.</p> <p>The code is not to be used for any other purpose.</p> <p>The code is not to be used for any other purpose.</p> <p>The,100,captions_primary,closed captions,conformant,decl_captions_001,accessible with respect to captions; does not claim captions are missing,partial,0,0.5,gpt2,False,True
gpt2,124M,gpt2,evalp_contrast_primary_violation,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as", being in violation of the Code of Conduct.</p><p>This code is not intended to be used for any other purpose.</p><p>This code is not intended to be used for any other purpose.</p><p>This code is not intended to be used for any other purpose.</p><p>This code is not intended to be used for any other purpose.</p><p>This code is not intended to be used for any other purpose.</p><p>This code,100,color_contrast_primary,color contrast,violation,decl_color_contrast_001,inaccessible because the text contrast is insufficient,partial,0,0.5,gpt2,False,True
gpt2,124M,gpt2,evalp_contrast_primary_conformant,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as", being in violation of the Code of Conduct.</p><p>This code is not intended to be used for any other purpose.</p><p>This code is not intended to be used for any other purpose.</p><p>This code is not intended to be used for any other purpose.</p><p>This code is not intended to be used for any other purpose.</p><p>This code is not intended to be used for any other purpose.</p><p>This code,100,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,accessible with respect to text contrast; does not claim the contrast is insufficient,incorrect,0,0.0,gpt2,False,True
gpt2,124M,gpt2,evalp_focus_indicator_primary_violation,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as", being in the public domain. </p> <p>This is a work in progress. Please let me know if you have any questions.</p> <p>This is a work in progress. Please let me know if you have any questions.</p> <p>This is a work in progress. Please let me know if you have any questions.</p> <p>This is a work in progress. Please let me know if you have any questions.</p> <p>,100,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,inaccessible because keyboard focus has no visible indicator,incorrect,0,0.0,gpt2,False,True
gpt2,124M,gpt2,evalp_focus_indicator_primary_conformant,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as", a complete and complete accessibility review. </p> <p>This is a complete and complete review of the code shown in this example. </p> <p>This is a complete and complete review of the code shown in this example. </p> <p>This is a complete and complete review of the code shown in this example. </p> <p>This is a complete and complete review of the code shown in this example. </p> <p>This is a,100,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,accessible with respect to visible keyboard focus; does not claim the indicator is missing,partial,0,0.5,gpt2,False,True
gpt2,124M,gpt2,evalp_keyboard_navigation_primary_violation,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as", a complete and complete accessibility review. </p> </form><p>This is a complete and complete review. </p> </form><p>This is a complete and complete review. </p> </form><p>This is a complete and complete review. </p> </form><p>This is a complete and complete review. </p> </form><p>This is a complete and complete review. </p> </form><p>This is a complete and,100,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,inaccessible because positive tabindex values override the natural document order; interactive elements should remain in source order rather than being manually numbered,incorrect,0,0.0,gpt2,False,True
gpt2,124M,gpt2,evalp_keyboard_navigation_primary_conformant,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," being in the public domain.</p>

<form><label>Last name <input name='last'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as being in the public domain.</p>

<form><label>Last name <input name='last'></label><label>Last name <input name",100,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,"accessible with respect to tab order; native interactive elements need no tabindex and follow First name, Last name, then Submit in document order",partial,0,0.5,gpt2,False,True
