family,model,compound,max_attention,max_weighted,max_relative,p95_relative,mean_top5_relative,bigram_count,log_frequency
gpt2,gpt2,accessibility_tree,0.5643728375434875,130.80726623535156,0.5623138546943665,0.04273703526705497,0.15965050756931304,1307,7.176254532017144
gpt2,gpt2,accessible_authentication,0.5243659615516663,114.33287048339844,0.4523381888866424,0.05963342767208809,0.1438893675804138,3,1.3862943611198906
gpt2,gpt2,accessible_description,0.5161425471305847,118.48975372314452,0.4991804659366607,0.06592940408736458,0.17755728662014003,716,6.57507584059962
gpt2,gpt2,accessible_name,0.5669445991516113,89.38227081298828,0.3738033175468445,0.070096668601036,0.13802073746919627,1619,7.3901814282264295
gpt2,gpt2,alt_text,0.3719412088394165,85.33863830566406,0.3462356328964233,0.03177847666665906,0.10121028423309322,23306,10.056509023618531
gpt2,gpt2,audio_description,0.7079010009765625,171.7172088623047,0.7357051372528076,0.045580819994211125,0.22402457669377326,4691,8.453614209773367
gpt2,gpt2,character_key,0.5346083641052246,129.29425048828125,0.5217562913894653,0.02779477760195726,0.15373333431780334,1974,7.5883236773352225
gpt2,gpt2,closed_captions,0.5248335599899292,111.31553649902344,0.4647551774978637,0.08682065829634662,0.1588827200233936,7942,8.980046316633132
gpt2,gpt2,cognitive_disabilities,0.5128709077835083,133.4857177734375,0.5873414278030396,0.05205645821988572,0.1730394903570413,10189,9.229162126216771
gpt2,gpt2,color_contrast,0.4315333664417267,96.05200958251952,0.3839375078678131,0.026142254564911104,0.14466475527733563,20112,9.909121651153221
gpt2,gpt2,combo_box,0.4670504927635193,108.10281372070312,0.4247332811355591,0.032600740715861276,0.13663136437535284,50410,10.827964684213782
gpt2,gpt2,consistent_help,0.4465914070606231,111.75839233398438,0.463188886642456,0.06201139930635683,0.1499087795615196,504,6.22455842927536
gpt2,gpt2,decorative_image,0.5041399598121643,109.65279388427734,0.4581398963928222,0.06188066713511942,0.15995600074529642,749,6.620073206530356
gpt2,gpt2,drag_movement,0.3655396997928619,77.59578704833984,0.3143743276596069,0.03007223336026065,0.0915668204426765,328,5.796057750765372
gpt2,gpt2,error_identification,0.2915686964988708,74.5602035522461,0.3235092759132385,0.030884203221648924,0.10308100692927835,1566,7.356918242356021
gpt2,gpt2,focus_appearance,0.5198451280593872,124.11029052734376,0.5036885738372803,0.023623781464993943,0.13961441963911053,102,4.634728988229636
gpt2,gpt2,focus_indicator,0.5317944288253784,126.96311950683594,0.5110151767730713,0.019643072783946933,0.13964103665202854,1261,7.140453043101158
gpt2,gpt2,focus_management,0.391815036535263,93.54377746582033,0.3686138093471527,0.019971760548651157,0.11164558492600914,989,6.897704943128636
gpt2,gpt2,form_field,0.4786698520183563,109.74356079101562,0.4577266275882721,0.035848517157137334,0.13829411119222637,51864,10.856399467865929
gpt2,gpt2,informative_image,0.5800496339797974,143.5672607421875,0.6050296425819397,0.05401436537504188,0.18433869630098337,520,6.255750041753367
gpt2,gpt2,input_purpose,0.6156839728355408,144.01344299316406,0.6211296916007996,0.05981092732399696,0.20859348215162754,53,3.9889840465642745
gpt2,gpt2,keyboard_interaction,0.4659033715724945,108.84874725341795,0.4528336524963379,0.03305765921249979,0.14293397814035413,1073,6.97914527506881
gpt2,gpt2,keyboard_navigation,0.4778794646263122,111.64671325683594,0.4709818959236145,0.04378802813589566,0.15771240144968032,8050,8.993551586299981
gpt2,gpt2,landmark_region,0.6330841183662415,150.3313446044922,0.6649118065834045,0.07015154920518395,0.2102005042135715,128,4.859812404361672
gpt2,gpt2,live_region,0.6152563691139221,127.65830993652344,0.5725170373916626,0.08323870524764054,0.17646755725145338,1112,7.014814351275545
gpt2,gpt2,low_vision,0.4167491197586059,107.37206268310548,0.5059501528739929,0.020258244033902823,0.13635231889784333,36811,10.513579157958748
gpt2,gpt2,menu_bar,0.6509248614311218,160.46115112304688,0.6473249197006226,0.03724816851317877,0.1812535881996154,106878,11.579452632439278
gpt2,gpt2,pointer_cancellation,0.5456840395927429,122.11324310302734,0.4956624507904053,0.028592402767389974,0.1420871589332819,2,1.0986122886681098
gpt2,gpt2,radio_group,0.4153472781181335,94.99170684814452,0.3821260035037994,0.049706090800464085,0.13970051370561118,6694,8.809116258125274
gpt2,gpt2,reading_order,0.4909429252147674,116.9116668701172,0.5053507685661316,0.0326966083608567,0.163497507199645,9225,9.129780864117766
gpt2,gpt2,redundant_entry,0.634526789188385,109.08824920654295,0.4451618492603302,0.06184992380440231,0.1501830257475376,205,5.327876168789581
gpt2,gpt2,responsive_design,0.4199875891208648,67.42257690429688,0.2707885503768921,0.05445354711264364,0.11891783401370044,35628,10.4809151919697
gpt2,gpt2,screen_reader,0.4441255629062652,101.79803466796876,0.449062705039978,0.04064381327480076,0.13692851103842257,32100,10.376642461280849
gpt2,gpt2,section_heading,0.6304507255554199,144.6168670654297,0.6352253556251526,0.04582936195656652,0.20732954256236552,6949,8.846496938558838
gpt2,gpt2,semantic_html,0.5637003779411316,132.79559326171875,0.5557087063789368,0.051764230988919684,0.1679661005735397,2595,7.86172707782398
gpt2,gpt2,semantic_markup,0.5471825003623962,128.9043426513672,0.5653291940689087,0.027783782035112312,0.15227386057376854,4776,8.471568013389962
gpt2,gpt2,sensory_characteristics,0.6050882935523987,149.67430114746094,0.6334882378578186,0.04591101389378301,0.18078656792640682,11206,9.324293862052029
