domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
legal,due_process,due process,declarative,cloze,Due process is,"a fundamental principle of the American legal system. It is a concept that is deeply rooted in the Constitution and the Bill of Rights. It is a concept that is often misunderstood and misused. Due process is a concept that is often used to justify the actions of the government, but it is also a concept that can be used to protect the rights of individuals.

Due process is a concept that is often used to justify the actions of the government. It is a concept that is often used to justify the",100,OLMo-2-1124-7B
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,"the principle that all people should be treated equally under the law. The Fourteenth Amendment to the U.S. Constitution states that no state shall “deny to any person within its jurisdiction the equal protection of the laws.” The Fourteenth Amendment was adopted after the Civil War to protect the rights of African Americans. The Equal Protection Clause of the Fourteenth Amendment has been used to overturn state laws that discriminate against women, homosexuals, and other groups.

The Equal Protection Clause of the Fourteenth Amendment has been used",100,OLMo-2-1124-7B
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,"a provision of the United States Constitution that gives Congress the power to regulate interstate and foreign commerce. The commerce clause is one of the most important provisions of the Constitution, and has been the source of much debate and litigation. The commerce clause has been used to justify a wide range of federal laws, including the Civil Rights Act of 1964, the National Labor Relations Act, and the Americans with Disabilities Act. However, the commerce clause has also been used to strike down federal laws, such as the",100,OLMo-2-1124-7B
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,that no person shall be “compelled in any criminal case to be a witness against himself.”  This is known as the “right against self-incrimination.”  The right against self-incrimination is a fundamental right that is protected by the Fifth Amendment to the United States Constitution.  The right against self-incrimination is also protected by the New York State Constitution.  The right against self-incrimination is a right that is designed to protect individuals from being forced to testify against themselves,100,OLMo-2-1124-7B
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,"is protected by the First Amendment to the United States Constitution. It is the right to express one’s opinion without fear of censorship or punishment. The First Amendment states that “Congress shall make no law…abridging the freedom of speech, or of the press.” This means that the government cannot pass laws that limit what people can say or write. However, there are some exceptions to this rule. For example, the government can limit speech that is considered to be “fighting words” or “",100,OLMo-2-1124-7B
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,"that a person is liable for an act even if he or she did not intend to cause harm. The doctrine is used in the law of torts, and in criminal law. In torts, the doctrine is used to impose liability for an act even if the actor did not intend to cause harm. In criminal law, the doctrine is used to impose liability for an act even if the actor did not intend to commit the crime.

In torts, the doctrine is used to impose liability for an",100,OLMo-2-1124-7B
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,punish the defendant for his or her actions. They are not awarded to compensate the plaintiff for his or her injuries. Punitive damages are awarded to deter the defendant and others from engaging in similar conduct in the future. Punitive damages are awarded in addition to compensatory damages. The amount of punitive damages is based on the defendant’s ability to pay. The amount of punitive damages is not limited to the amount of compensatory damages. The amount of punitive damages is not limited to the amount of compensatory,100,OLMo-2-1124-7B
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,a legal doctrine that protects the government from being sued without its consent. The doctrine is based on the idea that the government should not be sued without its consent because it is the government that makes the laws and should not be subject to them. The doctrine is also based on the idea that the government should not be sued without its consent because it is the government that makes the laws and should not be subject to them. The doctrine is also based on the idea that the government should not be sued without its,100,OLMo-2-1124-7B
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,a document that is filed by the government against a person or a group of people. It is a formal document that is filed by the government against a person or a group of people. It is a document that is filed by the government against a person or a group of people. It is a document that is filed by the government against a person or a group of people. It is a document that is filed by the government against a person or a group of people. It is a document that is,100,OLMo-2-1124-7B
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,"a defendant admits to committing a crime. In exchange for the defendant’s admission of guilt, the prosecutor may agree to drop some of the charges or recommend a lighter sentence. The defendant may also plead guilty to a lesser charge than the original charge. For example, a defendant may plead guilty to a misdemeanor charge instead of a felony charge.

A guilty plea is a binding admission of guilt. The defendant must admit to all of the elements of the crime. The defendant must also admit that he or she is",100,OLMo-2-1124-7B
