domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,"a beautiful sight, but it can also be a dangerous one. The sky is blue because of the way light scatters in the atmosphere. When the sun is high in the sky, the light scatters in all directions, making the sky look blue. But when the sun is low on the horizon, the light scatters more toward the ground, making the sky look red or orange. This is called “sunset glow.” It’s a beautiful sight, but it can also be dangerous. When",100,OLMo-2-1124-7B
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,"a high density and a low temperature. Cold water is used in many industrial processes, such as cooling, heating, and cleaning. Cold water is also used in the production of food and beverages. Cold water is also used in the production of pharmaceuticals and cosmetics.

Cold water is a natural resource that is essential for life. It is used in many different ways, including drinking, cooking, and cleaning. Cold water is also used in the production of food and beverages. Cold water is also used in",100,OLMo-2-1124-7B
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,"dairy products, such as milk and cream, and often combined with fruits or other ingredients and flavors. It is usually sweetened with sugar or honey. Most varieties contain dairy products, such as milk and cream, and some are made entirely from dairy products. Some are made from soy milk or other non-dairy substitutes. Most ice cream is sweetened with sugar or honey. Some are flavored with fruit or chocolate. Some are made with fruit or chocolate. Some are made with nuts or other ingredients.",100,OLMo-2-1124-7B
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,keep a person afloat in the water. It is a personal flotation device (PFD) that is designed to be worn by a person in the water. It is designed to keep a person’s head above water and to prevent drowning. A life jacket is a piece of equipment that is used to keep a person afloat in the water. It is a type of personal flotation device (PFD) that is designed to be worn by a person in the water. A life jacket is a piece,100,OLMo-2-1124-7B
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,"drinking tea. It is usually made of ceramic, porcelain, or bone china. The tea cup is usually smaller than a teacup, and is often used for drinking tea with milk and sugar. Tea cups are often decorated with flowers, leaves, or other designs.

What is a tea cup?

A tea cup is a small cup used for drinking tea. It is usually made of porcelain or bone china, and has a handle on the side. Tea cups are often decorated with flowers, leaves,",100,OLMo-2-1124-7B
control,living_room,living room,declarative,cloze,A living room is,a place where you can relax and enjoy your time with your family. It is a place where you can spend time with your family and friends. It is also a place where you can entertain guests. A living room is a place where you can relax and enjoy your time with your family. It is a place where you can spend time with your family and friends. It is also a place where you can entertain guests. A living room is a place where you can relax and enjoy your time with your,100,OLMo-2-1124-7B
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,is designed to move along a track that is shaped like a roller coaster track. The roller coaster is a type of amusement ride that is designed to move along a track that is shaped like a roller coaster track. The roller coaster is a type of amusement ride that is designed to move along a track that is shaped like a roller coaster track. The roller coaster is a type of amusement ride that is designed to move along a track that is shaped like a roller coaster track. The roller coaster is a type,100,OLMo-2-1124-7B
control,school_bus,school bus,declarative,cloze,A school bus is used to,"transport students to and from school. It is a large vehicle that is designed to carry a large number of students. It is usually equipped with seats, windows, and a roof. School buses are often used to transport students to and from school, as well as to other events such as field trips and sporting events.

School buses are a common sight on the roads, and they are an important part of the transportation system. They are used to transport students to and from school, as well as to other",100,OLMo-2-1124-7B
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,"two slices of bread, two slices of cheese, and a slice of meat. The sandwich is then grilled. The sandwich is then cut into four pieces. The sandwich is then eaten. The sandwich is then thrown away. The sandwich is then forgotten. The sandwich is then eaten again. The sandwich is then thrown away again. The sandwich is then forgotten again. The sandwich is then eaten again again. The sandwich is then thrown away again again again. The sandwich is then forgotten again again again again.",100,OLMo-2-1124-7B
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,"ground peanuts, and it is a popular spread for sandwiches and snacks. It is also used in baking and cooking. Peanut butter is a good source of protein, and it is also a good source of vitamin E. Peanut butter is a healthy food that can be enjoyed by people of all ages.

What is peanut butter?

Peanut butter is a spread made from ground peanuts. It is a popular food in many countries, and it is often used as a sandwich spread or as a dip for vegetables",100,OLMo-2-1124-7B
