domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a software program that allows blind and visually impaired people to use a computer. It works by converting text into speech. It also allows users to navigate the computer using a keyboard. Screen readers are available for all major operating systems, including Windows, Mac, and Linux.

There are many different screen readers available, but some of the most popular include JAWS, NVDA, and VoiceOver. Each screen reader has its own strengths and weaknesses, so it is important to try out a few different ones before",100,OLMo-2-1124-7B
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,Web Content Accessibility Guidelines. It is a set of guidelines that are used to make web content more accessible to people with disabilities. WCAG is a set of guidelines that are used to make web content more accessible to people with disabilities. WCAG is a set of guidelines that are used to make web content more accessible to people with disabilities. WCAG is a set of guidelines that are used to make web content more accessible to people with disabilities. WCAG is a set of guidelines that are used to make,100,OLMo-2-1124-7B
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that jumps over a heading or list of links. It is used to provide a way for users to skip over content that they may not need to read. For example, a skip link might be used to skip over a list of links to the main content of a page.

Skip links are usually placed at the top of a page, but they can also be placed in other locations, such as at the bottom of a page.

Skip links are usually hidden from view, but they can be",100,OLMo-2-1124-7B
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a text alternative to non-text content in web pages. It is used by screen readers to describe the content of images, videos, and other non-text content. Alt text is also used by search engines to understand the content of images and videos. Alt text is important for accessibility and SEO.

Alt text is also known as “alternative text” or “alt description.”

What is alt text?

Alt text is a short description of an image, video, or other non-text content. It is",100,OLMo-2-1124-7B
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"Accessible Rich Internet Applications. It is a specification that defines how to make web content more accessible to people with disabilities. It is a set of attributes that can be added to HTML elements to make them more accessible. ARIA is not a replacement for HTML, but rather a way to make HTML more accessible.

ARIA is supported by all major browsers and is used by many popular websites and web applications, including Facebook, Twitter, and Google Maps. ARIA can be used to make web content more",100,OLMo-2-1124-7B
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a small light that indicates when a button is being pressed. It is usually located on the left side of the button. It is also called a ""press indicator"" or ""press light"".

history | show excerpt | excerpt history",100,OLMo-2-1124-7B
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the website using the keyboard. This is useful for people who have difficulty using a mouse or who prefer to use the keyboard. To use keyboard navigation, press the Tab key to move between links, buttons, and other elements on the page. Press the Enter key to select an item.",100,OLMo-2-1124-7B
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it helps people with low vision to distinguish between different elements on a page. It also helps people with normal vision to scan a page and quickly understand what it is about. The contrast ratio is the difference between the lightness of the background and the lightness of the text. The higher the contrast ratio, the easier it is to read the text. The contrast ratio should be at least 4.5:1 for normal text and 3:1 for large text.

There are a few things",100,OLMo-2-1124-7B
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you to create a more accessible website. It also helps you to create a website that is more easily understood by search engines. This means that your website will rank higher in search results. Semantic HTML is also easier to maintain and update. It is also more likely to be compatible with different browsers and devices.

Semantic HTML is a type of HTML that uses tags to describe the meaning of the content on a web page. This makes it easier for search engines to understand what your website is about. It also",100,OLMo-2-1124-7B
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,people who are deaf or hard of hearing. They are also used for people who are learning English as a second language. Closed captions are displayed on the screen and can be turned on or off. They are usually displayed in white letters on a black background. They are also displayed in a box at the bottom of the screen. Closed captions are not the same as subtitles. Subtitles are used for people who are deaf or hard of hearing. They are displayed in the same language as the audio. Closed,100,OLMo-2-1124-7B
accessibility,decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a sequence of key presses and key releases. The key presses and key releases are called key events. The key events are sent to the operating system, which then sends them to the application. The application can then process the key events.

The following figure shows the keyboard interaction process.

Keyboard interaction process

Keyboard interaction process

The following table describes the key events that are sent to the application.

Key event Description
KeyDown The key is pressed.
KeyUp The key is released.
KeyUp or KeyDown The key",100,OLMo-2-1124-7B
accessibility,decl_section_heading_001,section heading,declarative,cloze,A section heading is,"a short phrase that describes the content of the section. It is usually displayed in bold and in a larger font size than the rest of the text. Section headings are used to break up the text into smaller, more manageable sections. They also help readers to quickly scan the text and find the information they are looking for.

Section headings should be concise and descriptive. They should use keywords that are relevant to the content of the section. They should also be easy to read and understand.

Section headings are important",100,OLMo-2-1124-7B
accessibility,decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,"a text equivalent of the non-text content in the content of the page. It is used to provide the same information as the non-text content to people who cannot see it, for example, people who are blind or have low vision. The text alternative must be equivalent to the non-text content and must not be redundant.",100,OLMo-2-1124-7B
accessibility,decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a narration that is added to a film or television program to describe the visual elements of the production. It is intended for people who are blind or visually impaired. Audio descriptions are usually added to the existing soundtrack, and are not intended to replace the dialogue or narration. They are intended to provide information about the visual elements of the production that are not available through the dialogue or narration. Audio descriptions are usually added to the existing soundtrack, and are not intended to replace the dialogue or narration. They are intended",100,OLMo-2-1124-7B
accessibility,decl_sign_language_001,sign language,declarative,cloze,Sign language is,"a language that uses hand gestures, facial expressions, and body language to communicate. It is used by people who are deaf or hard of hearing. It is also used by people who cannot speak. Sign language is a language that is used by people who are deaf or hard of hearing. It is a language that uses hand gestures, facial expressions, and body language to communicate. It is a language that is used by people who cannot speak. Sign language is a language that is used by people who are",100,OLMo-2-1124-7B
accessibility,decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,the most important characteristics of a wine. They are the first things that we notice when we taste a wine. They are the most important characteristics of a wine because they are the most important to the consumer. They are the most important to the consumer because they are the most important to the consumer. They are the most important to the consumer because they are the most important to the consumer. They are the most important to the consumer because they are the most important to the consumer. They are the most important,100,OLMo-2-1124-7B
accessibility,decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,a purpose that is used to receive data from the user. It is a purpose that is used to receive data from the user. It is a purpose that is used to receive data from the user. It is a purpose that is used to receive data from the user. It is a purpose that is used to receive data from the user. It is a purpose that is used to receive data from the user. It is a purpose that is used to receive data from the user. It is a purpose,100,OLMo-2-1124-7B
accessibility,decl_target_size_001,target size,declarative,cloze,A target size is,the amount of money you want to make from your investments. It is the amount of money you want to have at the end of a period of time. It is the amount of money you want to have in your bank account when you retire. It is the amount of money you want to have in your bank account when you want to buy a house. It is the amount of money you want to have in your bank account when you want to buy a car. It is the amount of money you,100,OLMo-2-1124-7B
accessibility,decl_touch_target_001,touch target,declarative,cloze,A touch target is,"a clickable area on a screen. It can be a button, a link, a menu item, or any other clickable area. The size of a touch target is measured in pixels. The larger the touch target, the easier it is to click.

Touch targets should be at least 44 pixels wide and 44 pixels tall. This is the minimum size recommended by Apple. However, larger touch targets are even better. For example, the Facebook app has touch targets that are 48 pixels wide and",100,OLMo-2-1124-7B
accessibility,decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,"a movement that is performed by a person who is wearing a costume and make-up. The person is called a drag queen. Drag queens are usually women who dress as men. They are often seen in gay bars and clubs. Drag queens are often very popular with gay men because they are seen as being very feminine and sexy.

Drag queens are often very popular with gay men because they are seen as being very feminine and sexy. They are also seen as being very entertaining and fun to watch. Drag queens",100,OLMo-2-1124-7B
accessibility,decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,"a type of appearance that is used to focus the user's attention on a specific element. It is a visual indicator that is used to highlight a specific element on a page. It can be used to highlight a button, link, or other element that the user needs to interact with. It can also be used to highlight a specific piece of text or other content that the user needs to read.

There are a few different types of focus appearances that can be used. The most common type is a border",100,OLMo-2-1124-7B
accessibility,decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,"the key to success

Consistent help is the key to success

Consistent help is the key to success

The key to success is consistency. This is a phrase that is often used in the business world, but it is also true in the world of education. Consistency is the key to success in education because it helps students to develop a routine and a sense of security. It also helps teachers to create a positive learning environment.

Consistency is the key to success in education because it helps",100,OLMo-2-1124-7B
