prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a software application that attempts to identify and interpret what is being displayed on the screen. Screen readers are a form of assistive technology (AT) potentially useful for people who are blind, visually impaired, illiterate or learning disabled. They attempt to convey to their users the content of a computer display, via non-visual means such as synthesized speech or braille. Screen readers are also useful to computer users who are temporarily abled and may not be able to use a conventional graphical user interface (GUI",100,OLMo-2-1124-13B
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"Web Content Accessibility Guidelines. It is a set of guidelines that help developers create websites that are accessible to people with disabilities. The guidelines are divided into three levels: A, AA, and AAA. Level A is the minimum level of accessibility, while level AAA is the highest level of accessibility.

The WCAG guidelines are constantly evolving, and the latest version is WCAG 2.1. This version includes new guidelines that make websites more accessible to people with disabilities.

The WCAG guidelines are important because",100,OLMo-2-1124-13B
decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that allows users to skip to the main content of a page. It is usually placed at the top of the page, and it allows users to quickly navigate to the main content without having to scroll through the entire page.

Skip links are especially useful for users who use assistive technologies, such as screen readers, to access the web. Screen readers allow users to listen to the content of a web page, and they can be very helpful for users who have difficulty seeing or reading text.

However",100,OLMo-2-1124-13B
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a text alternative for images. This is useful for people who are visually impaired, or who are using a screen reader. Alt text should be descriptive and concise, and should not include phrases like ""image of"" or ""picture of"".

What is the purpose of alt text?

Alt text is a short description of an image that is used to help people understand what the image is about. It is important to use alt text because it can help people who are visually impaired or have trouble seeing images",100,OLMo-2-1124-13B
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"the ""Association of Research Libraries"" and is a group of 122 research libraries in the United States and Canada. The group was founded in 1939 and is based in Washington, D.C. The group's mission is to ""advance the interests of the research libraries that serve the nation's leading institutions of higher education, and to promote the creation, dissemination, and preservation of the published record of human knowledge."" The group's members include the libraries of Harvard University, Yale University, the University of",100,OLMo-2-1124-13B
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a visual indicator that shows the user where the focus is. It is usually a rectangle or a dotted line that surrounds the element that has the focus. The focus indicator is important because it helps the user understand where the focus is and what element will be activated when they press the Enter key.

The focus indicator is usually a rectangle or a dotted line that surrounds the element that has the focus. The focus indicator is important because it helps the user understand where the focus is and what element will be activated when",100,OLMo-2-1124-13B
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to use the keyboard to navigate through the elements of a web page. This is useful for people who have difficulty using a mouse, or who prefer to use a keyboard.

Keyboard navigation is also useful for people who are blind or have low vision, as it allows them to use a screen reader to navigate through a web page.

There are a few things you can do to make your website more accessible to keyboard users:

  • Make sure all of the elements on your page are keyboard accessible. This",100,OLMo-2-1124-13B
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it helps people with low vision to see and understand content. It also helps people with color blindness to distinguish between colors. In addition, color contrast makes content more readable and accessible for everyone.

There are a few different ways to check color contrast. One way is to use a color contrast checker tool. These tools allow you to enter the color values of your text and background, and they will tell you whether or not the contrast is sufficient. Another way to check color contrast is to use a color wheel",100,OLMo-2-1124-13B
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,you to create a semantic structure for your web pages. It helps you to create a structure that is meaningful to both humans and machines. It helps you to create a structure that is meaningful to both humans and machines. It helps you to create a structure that is meaningful to both humans and machines. It helps you to create a structure that is meaningful to both humans and machines. It helps you to create a structure that is meaningful to both humans and machines. It helps you to create a structure that is,100,OLMo-2-1124-13B
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the deaf and hard of hearing. They are a text version of the audio portion of a video. They are usually displayed at the bottom of the screen. They can be turned on or off by the viewer.

Subtitles are used for people who do not speak the language of the video. They are a text version of the dialogue in a video. They are usually displayed at the bottom of the screen. They cannot be turned on or off by the viewer.

What is the difference between subtitles and closed",100,OLMo-2-1124-13B
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,a sequence of key presses and releases. A key press is a single event that occurs when a key is pressed down. A key release is a single event that occurs when a key is released. A key press and a key release together form a key event. A key event is a single event that occurs when a key is pressed down and then released. A key event is also called a key down event. A key event is also called a key up event. A key event is also called a,100,OLMo-2-1124-13B
decl_section_heading_001,section heading,declarative,cloze,A section heading is,"a line of text that appears in the document outline. Section headings are used to organize the document into sections and subsections. Section headings are also used to create a table of contents.

To create a section heading, select the text that you want to use as the heading and then click the “Heading” button in the toolbar. You can also use the keyboard shortcut Ctrl+H to create a section heading.

How do you make a heading in Word?

To create a heading in Word, you can",100,OLMo-2-1124-13B
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,"a textual equivalent of the content of an image. It is especially useful for people who cannot see the image, because they can get the information in the text. Text alternatives are also helpful for people who have turned off images on their mobile phones to save data, or who are using a slow Internet connection.

The alt attribute

The alt attribute is used to specify text alternatives that are meant to be read when the image cannot be seen. It must be used for every image on the page. The value",100,OLMo-2-1124-13B
decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a narration of the visual elements of a video, TV show, movie, or live performance. It is intended to make the visual elements accessible to people who are blind or have low vision. The audio description is inserted into natural pauses in the audio, so it does not interfere with the dialogue or soundtrack.

Audio descriptions are also known as video descriptions, descriptive video, descriptive video service, or DVS.

Audio descriptions are also used in museums, zoos, and other venues that offer video presentations.",100,OLMo-2-1124-13B
decl_sign_language_001,sign language,declarative,cloze,Sign language is,"a language that uses visual gestures and signs, instead of acoustically conveyed sound patterns, to convey meaning—simultaneously combining hand shapes, orientation and movement of the hands, arms or body, and facial expressions to fluidly express a speaker's thoughts. Sign languages are based on the idea that vision is the most useful tool a deaf person has to communicate and receive information. They should not be confused with body language, which is a kind of non-linguistic communication.

Wherever communities",100,OLMo-2-1124-13B
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"the most important factors in determining the acceptability of food. The sensory characteristics of food are determined by the chemical composition of the food, the physical properties of the food, and the interaction of the food with the senses. The chemical composition of food determines the flavor, aroma, and texture of the food. The physical properties of food determine the appearance, texture, and mouthfeel of the food. The interaction of the food with the senses determines the taste, smell, and touch of the food.

The",100,OLMo-2-1124-13B
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,"a string that describes the purpose of the input element. The purpose is used by user agents to convey the input purpose to users (e.g. through a label or its accessibility API mapping). The input purpose is not intended to communicate the structure of the document.

The input purpose is given by the input element's type attribute. The input element's type attribute, if not omitted, must have a value that is an ASCII case-insensitive match for one of the following strings:

The input element's type",100,OLMo-2-1124-13B
decl_target_size_001,target size,declarative,cloze,A target size is,the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit. The target size is the size of the target that you want to hit,100,OLMo-2-1124-13B
decl_touch_target_001,touch target,declarative,cloze,A touch target is,"a view that responds to touches. A touch target can be a button, a link, or any other view that can be tapped or clicked. Touch targets should be large enough to be easily tapped or clicked by a user. The recommended size for a touch target is 48 x 48 points.

A touch target should have a minimum size of 44 x 44 points. This is the minimum size recommended by Apple for iOS devices. However, it is recommended to use a larger size for touch",100,OLMo-2-1124-13B
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,"a movement that is not in the direction of the wind. For example, a left-to-right movement is a drag movement if the wind is blowing from the left. A drag movement is also called a crosswind movement.

A drag movement is a movement that is not in the direction of the wind. For example, a left-to-right movement is a drag movement if the wind is blowing from the left. A drag movement is also called a crosswind movement. A drag movement is a movement that is",100,OLMo-2-1124-13B
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,"a special type of appearance that is used to display a single object in the center of the screen. The object is displayed in a window that is the same size as the object. The window is centered on the screen, and the object is centered in the window. The window is not resizable, and it does not have a title bar or a border. The object is displayed in the window using the default appearance for the object's class.

A focus appearance is useful when you want to display a single",100,OLMo-2-1124-13B
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,"the key to success. If you are not able to provide consistent help, then you should not be a parent. If you are not able to provide consistent help, then you should not be a teacher. If you are not able to provide consistent help, then you should not be a coach. If you are not able to provide consistent help, then you should not be a leader. If you are not able to provide consistent help, then you should not be a manager. If you are not able",100,OLMo-2-1124-13B
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,"a duplicate entry. It is a record that is not needed because it is a duplicate of another record. Redundant entries can be created by users who are not familiar with the database or by users who are not following the rules of the database. Redundant entries can also be created by the database itself. For example, if a user enters a record that is already in the database, the database will create a redundant entry.

Redundant entries can cause problems in a database. They can",100,OLMo-2-1124-13B
decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,"a key component of the accessibility of a website. It is important to ensure that the authentication process is accessible to all users, including those with disabilities. There are a number of ways to make authentication more accessible, such as providing alternative methods of authentication, using accessible design principles, and ensuring that the authentication process is consistent and predictable.

What is the difference between authentication and authorization?

Authentication is the process of verifying that someone is who they say they are. Authorization is the process of granting someone access to a",100,OLMo-2-1124-13B
decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,the spacing between the letters in a word. It is also known as letter spacing. It is used to adjust the space between the letters in a word. It is used to make the text more readable. It is also used to make the text look more attractive. It is also used to make the text look more professional. It is also used to make the text look more formal. It is also used to make the text look more elegant. It is also used to make the text look more sophisticated,100,OLMo-2-1124-13B
decl_status_message_001,status message,declarative,cloze,A status message is,"a message that is sent to the server to notify it of the user's status. The server can then use this information to determine whether or not to send messages to the user. For example, if a user is marked as ""away"", the server may choose not to send any messages to that user until they return.

To send a status message, you can use the following command:

/status <message>

Where <message> is the message you want to send. For example, if you want to",100,OLMo-2-1124-13B
decl_error_identification_001,error identification,declarative,cloze,Error identification is,a key component of the process of error correction. The identification of errors is a prerequisite for the correction of errors. The identification of errors is the first step in the process of error correction. The identification of errors is the first step in the process of error correction. The identification of errors is the first step in the process of error correction. The identification of errors is the first step in the process of error correction. The identification of errors is the first step in the process of error correction. The identification,100,OLMo-2-1124-13B
decl_pointer_cancellation_001,pointer cancellation,declarative,cloze,Pointer cancellation is,"a feature of the C++ language that allows you to cancel a pointer to an object that is about to be destroyed. This is useful when you want to avoid the overhead of copying the object, but still want to be able to access it later.

To cancel a pointer, you simply need to call the cancel() function on the pointer. This will remove the pointer from the list of active pointers and prevent it from being destroyed.

Here is an example of how to use pointer cancellation:

#include <iostream",100,OLMo-2-1124-13B
decl_character_key_001,character key,declarative,cloze,A character key is,"a key that is used to enter a character. The character keys are the letters, digits, and punctuation marks on the keyboard. The character keys are also called the printable characters.

A control key is a key that is used to control the computer. The control keys are the keys that are used to move the cursor around the screen, to delete characters, and to perform other editing functions. The control keys are also called the non-printable characters.

The control keys are usually located on the left side",100,OLMo-2-1124-13B
decl_accessibility_tree_001,accessibility tree,declarative,cloze,An accessibility tree is,"a tree representation of the UI elements in an app. It is used by accessibility services to provide information about the UI elements to users with disabilities. The accessibility tree is built based on the UI elements in the view hierarchy and the semantics added to the view hierarchy using the Jetpack Compose accessibility APIs.

The following code snippet shows how to add accessibility semantics to a Button in Jetpack Compose:

Button(onClick = { /* ... */ }) {
    Text(""Click me"")

The accessibility semantics added to",100,OLMo-2-1124-13B
decl_accessible_name_001,accessible name,declarative,cloze,An accessible name is,"a string that labels a user interface element. It is short, and it describes the purpose of the UI element. It is not necessarily the same as the visible text of the UI element. For example, a button that is labeled ""Submit"" has an accessible name of ""Submit"". A checkbox that is labeled ""I accept the terms of the license agreement"" has an accessible name of ""I accept the terms of the license agreement"".

The accessible name is used by assistive technologies such as screen readers",100,OLMo-2-1124-13B
decl_accessible_description_001,accessible description,declarative,cloze,An accessible description is,a description that is easy to understand and use. It is a description that is easy to read and understand. It is a description that is easy to use. It is a description that is easy to understand and use. It is a description that is easy to use. It is a description that is easy to understand and use. It is a description that is easy to use. It is a description that is easy to understand and use. It is a description that is easy to use. It is,100,OLMo-2-1124-13B
decl_live_region_001,live region,declarative,cloze,A live region is,"a region of the page that is updated dynamically. For example, a live region might be a stock ticker that updates every few seconds. A live region is a region of the page that is updated dynamically. For example, a live region might be a stock ticker that updates every few seconds. A live region is a region of the page that is updated dynamically. For example, a live region might be a stock ticker that updates every few seconds. A live region is a region of the page that is",100,OLMo-2-1124-13B
decl_tab_panel_001,tab panel,declarative,cloze,A tab panel is,"a container that can hold multiple tabs. Each tab can contain a different view. The user can switch between the tabs to view the different views.

To create a tab panel, use the TabPanel component. The TabPanel component has a Tabs property that contains a collection of Tab objects. Each Tab object represents a tab in the tab panel. The Tab object has a Header property that specifies the text that appears on the tab. The Tab object also has a Content property that specifies the view that appears when",100,OLMo-2-1124-13B
