suite,compound,corpus_index,x_log10_bigram,y_all,y_a11y,n_a11y_rows,y_maxscale,y_weighted,n_rows,token_count,word1_count
pythia,screen_reader,v4_piletrain_llama,4.506505032404872,0.6666666666666666,0.6666666666666666,6,1,0.8333333333333334,6,2,22952059
pythia,alt_text,v4_piletrain_llama,4.367467742117974,0.5,0.6,5,1,0.6666666666666666,6,2,5902287
pythia,skip_link,v4_piletrain_llama,2.8208579894397,0.3333333333333333,,0,0,0.4166666666666667,6,2,2340742
pythia,color_contrast,v4_piletrain_llama,4.303455260341883,0.5,,0,1,0.75,6,2,25414097
pythia,keyboard_navigation,v4_piletrain_llama,3.9057958803678687,0.6666666666666666,,0,0,0.75,6,3,2791750
pythia,focus_indicator,v4_piletrain_llama,3.1007150865730817,0.0,,0,0,0.08333333333333333,6,2,20169251
pythia,semantic_html,v4_piletrain_llama,3.414137362184477,0.0,,0,0,0.4166666666666667,6,3,1358029
pythia,closed_captions,v4_piletrain_llama,3.8999298827278643,0.16666666666666666,,0,0,0.16666666666666666,6,3,16202434
pythia,keyboard_interaction,v4_piletrain_llama,3.030599721965951,0.0,,0,0,0.5,6,3,2791750
pythia,section_heading,v4_piletrain_llama,3.841922311679451,1.0,,0,1,1.0,6,2,35442214
pythia,text_alternative,v4_piletrain_llama,3.2676409823459154,0.0,,0,0,0.25,6,2,31625337
pythia,audio_description,v4_piletrain_llama,3.6712654329471586,0.16666666666666666,,0,1,0.25,6,2,5818137
pythia,sign_language,v4_piletrain_llama,5.0566609684257235,1.0,1.0,4,1,1.0,6,2,21817958
pythia,sensory_characteristics,v4_piletrain_llama,4.04945061813155,0.0,,0,0,0.3333333333333333,6,4,2319830
pythia,input_purpose,v4_piletrain_llama,1.724275869600789,0.0,,0,0,0.08333333333333333,6,2,22444667
pythia,target_size,v4_piletrain_llama,4.342047446258668,0.0,,0,0,0.5,6,2,35113978
pythia,touch_target,v4_piletrain_llama,3.04688519083771,0.3333333333333333,0.0,1,1,0.5833333333333334,6,2,15155629
pythia,drag_movement,v4_piletrain_llama,2.515873843711679,0.0,,0,0,0.5,6,3,7857834
pythia,focus_appearance,v4_piletrain_llama,2.0086001717619175,0.0,,0,0,0.08333333333333333,6,2,20169251
pythia,consistent_help,v4_piletrain_llama,2.7024305364455254,0.0,,0,0,0.08333333333333333,6,3,13743517
pythia,redundant_entry,v4_piletrain_llama,2.311753861055754,0.0,0.0,1,0,0.0,6,4,1150697
