compound,domain,word1,word2,bigram_count,word1_count,word2_count,conditional_prob,suite,concept,trajectory,traj_ordinal
screen_reader,accessibility,screen,reader,32100,22952059,6113770,0.001399,gpt2,screen reader,monotonic_climb,3
alt_text,accessibility,alt,text,23306,5902287,31625337,0.003949,gpt2,alt text,monotonic_climb,3
skip_link,accessibility,skip,link,662,2340742,18277281,0.000283,gpt2,skip link,never_emerges,0
color_contrast,accessibility,color,contrast,20112,25414097,16674541,0.000791,gpt2,color contrast,monotonic_climb,3
keyboard_navigation,accessibility,keyboard,navigation,8050,2791750,2976535,0.002883,gpt2,keyboard navigation,mixed,1
focus_indicator,accessibility,focus,indicator,1261,20169251,2923114,6.3e-05,gpt2,focus indicator,peak_regress,2
semantic_html,accessibility,semantic,HTML,2595,1358029,4327636,0.001911,gpt2,semantic HTML,never_emerges,0
closed_captions,accessibility,closed,captions,7942,16202434,214709,0.00049,gpt2,captions,never_emerges,0
keyboard_interaction,accessibility,keyboard,interaction,1073,2791750,14562066,0.000384,gpt2,keyboard interaction,never_emerges,0
section_heading,accessibility,section,heading,6949,35442214,3379568,0.000196,gpt2,section heading,monotonic_climb,3
text_alternative,accessibility,text,alternative,1852,31625337,11847032,5.9e-05,gpt2,text alternative,never_emerges,0
audio_description,accessibility,audio,description,4691,5818137,12037151,0.000806,gpt2,audio description,never_emerges,0
sign_language,accessibility,sign,language,113936,21817958,23766108,0.005222,gpt2,sign language,monotonic_climb,3
sensory_characteristics,accessibility,sensory,characteristics,11206,2319830,13255016,0.004831,gpt2,sensory characteristics,never_emerges,0
input_purpose,accessibility,input,purpose,53,22444667,18885925,2e-06,gpt2,input purpose,never_emerges,0
target_size,accessibility,target,size,21981,35113978,47331299,0.000626,gpt2,target size,never_emerges,0
touch_target,accessibility,touch,target,1114,15155629,35113978,7.4e-05,gpt2,touch target,monotonic_climb,3
drag_movement,accessibility,drag,movement,328,7857834,15091204,4.2e-05,gpt2,drag movement,never_emerges,0
focus_appearance,accessibility,focus,appearance,102,20169251,8637715,5e-06,gpt2,focus appearance,never_emerges,0
consistent_help,accessibility,consistent,help,504,13743517,64771062,3.7e-05,gpt2,consistent help,never_emerges,0
redundant_entry,accessibility,redundant,entry,205,1150697,11599106,0.000178,gpt2,redundant entry,never_emerges,0
accessible_authentication,accessibility,accessible,authentication,3,3966426,1978328,1e-06,gpt2,accessible authentication,never_emerges,0
text_spacing,accessibility,text,spacing,615,31625337,1526750,1.9e-05,gpt2,text spacing,never_emerges,0
status_message,accessibility,status,message,20367,21786604,20077187,0.000935,gpt2,status message,monotonic_climb,3
error_identification,accessibility,error,identification,1566,43907005,7369923,3.6e-05,gpt2,error identification,monotonic_climb,3
pointer_cancellation,accessibility,pointer,cancellation,2,3978237,1233873,1e-06,gpt2,pointer cancellation,never_emerges,0
character_key,accessibility,character,key,1974,33933779,37841630,5.8e-05,gpt2,character key,never_emerges,0
accessibility_tree,accessibility,accessibility,tree,1307,1107895,13630511,0.00118,gpt2,accessibility tree,never_emerges,0
accessible_name,accessibility,accessible,name,1619,3966426,80852659,0.000408,gpt2,accessible name,peak_regress,2
accessible_description,accessibility,accessible,description,716,3966426,12037151,0.000181,gpt2,accessible description,monotonic_climb,3
live_region,accessibility,live,region,1112,27609336,30168875,4e-05,gpt2,live region,never_emerges,0
tab_panel,accessibility,tab,panel,3519,5865681,13214414,0.0006,gpt2,tab panel,never_emerges,0
radio_group,accessibility,radio,group,6694,12463066,81142986,0.000537,gpt2,radio group,never_emerges,0
tree_grid,accessibility,tree,grid,865,13630511,5571544,6.3e-05,gpt2,tree grid,never_emerges,0
menu_bar,accessibility,menu,bar,106878,6410860,36980559,0.016671,gpt2,menu bar,monotonic_climb,3
tool_tip,accessibility,tool,tip,17356,14249060,5654654,0.001218,gpt2,tool tip,never_emerges,0
combo_box,accessibility,combo,box,50410,756730,17286711,0.066616,gpt2,combo box,never_emerges,0
semantic_markup,accessibility,semantic,markup,4776,1358029,543186,0.003517,gpt2,semantic markup,peak_regress,2
focus_management,accessibility,focus,management,989,20169251,17858042,4.9e-05,gpt2,focus management,never_emerges,0
reading_order,accessibility,reading,order,9225,17460665,85517931,0.000528,gpt2,reading order,mixed,1
text_formatting,accessibility,text,formatting,28514,31625337,815777,0.000902,gpt2,text formatting,never_emerges,0
form_field,accessibility,form,field,51864,70850015,49395092,0.000732,gpt2,form field,monotonic_climb,3
landmark_region,accessibility,landmark,region,128,997856,30168875,0.000128,gpt2,landmark region,never_emerges,0
low_vision,accessibility,low,vision,36811,53370536,7407330,0.00069,gpt2,low vision,monotonic_climb,3
cognitive_disabilities,accessibility,cognitive,disabilities,10189,5758086,1281905,0.00177,gpt2,cognitive disabilities,monotonic_climb,3
universal_design,accessibility,universal,design,9030,4729445,33389182,0.001909,gpt2,universal design,never_emerges,0
decorative_image,accessibility,decorative,image,749,698566,37927579,0.001072,gpt2,decorative image,peak_regress,2
informative_image,accessibility,informative,image,520,1186902,37927579,0.000438,gpt2,informative image,never_emerges,0
responsive_design,accessibility,responsive,design,35628,1827621,33389182,0.019494,gpt2,responsive design,monotonic_climb,3
