compound,domain,word1,word2,bigram_count,word1_count,word2_count,conditional_prob,mean_accuracy
screen_reader,accessibility,screen,reader,987882,339750667,123276070,0.002908,0.6666666666666666
alt_text,accessibility,alt,text,1510749,72461750,478220452,0.020849,0.6666666666666666
skip_link,accessibility,skip,link,15148,45829437,290035214,0.000331,0.3333333333333333
color_contrast,accessibility,color,contrast,402263,382541175,152514954,0.001052,0.0
keyboard_navigation,accessibility,keyboard,navigation,128716,53762449,63080643,0.002394,0.6666666666666666
focus_indicator,accessibility,focus,indicator,27185,431911058,36953422,6.3e-05,0.6666666666666666
semantic_html,accessibility,semantic,HTML,70955,16638580,62217177,0.004264,0.3333333333333333
closed_captions,accessibility,closed,captions,242540,211447960,4871878,0.001147,0.6666666666666666
keyboard_interaction,accessibility,keyboard,interaction,20053,53762449,106162866,0.000373,0.3333333333333333
section_heading,accessibility,section,heading,109764,264343794,66208813,0.000415,1.0
text_alternative,accessibility,text,alternative,78151,478220452,178483119,0.000163,0.3333333333333333
audio_description,accessibility,audio,description,219940,103708810,146821187,0.002121,0.3333333333333333
sign_language,accessibility,sign,language,3428369,359048284,511886235,0.009548,1.0
sensory_characteristics,accessibility,sensory,characteristics,65401,29449380,104455093,0.002221,0.0
input_purpose,accessibility,input,purpose,1195,177151214,304873161,7e-06,0.0
target_size,accessibility,target,size,161739,377425037,474678581,0.000429,0.0
touch_target,accessibility,touch,target,19283,295192188,377425037,6.5e-05,0.6666666666666666
drag_movement,accessibility,drag,movement,2541,172597032,305830269,1.5e-05,0.0
focus_appearance,accessibility,focus,appearance,759,431911058,131265120,2e-06,0.0
consistent_help,accessibility,consistent,help,11735,120959399,1661595640,9.7e-05,0.0
redundant_entry,accessibility,redundant,entry,2731,16448813,145695261,0.000166,0.0
accessible_authentication,accessibility,accessible,authentication,479,73358835,27464520,7e-06,0.0
text_spacing,accessibility,text,spacing,11516,478220452,12029257,2.4e-05,0.3333333333333333
status_message,accessibility,status,message,242018,226672666,328415153,0.001068,0.3333333333333333
error_identification,accessibility,error,identification,14184,236289570,50396594,6e-05,0.3333333333333333
pointer_cancellation,accessibility,pointer,cancellation,63,24766460,10496026,3e-06,0.0
character_key,accessibility,character,key,25654,560891478,529420200,4.6e-05,0.0
accessibility_tree,accessibility,accessibility,tree,27026,17244920,230945885,0.001567,0.3333333333333333
accessible_name,accessibility,accessible,name,45152,73358835,1018894452,0.000615,0.3333333333333333
accessible_description,accessibility,accessible,description,13071,73358835,146821187,0.000178,0.0
live_region,accessibility,live,region,17991,707711497,245347495,2.5e-05,0.0
tab_panel,accessibility,tab,panel,23854,78174769,91378692,0.000305,1.0
radio_group,accessibility,radio,group,47148,181573257,836004723,0.00026,0.0
tree_grid,accessibility,tree,grid,6379,230945885,67133835,2.8e-05,0.0
menu_bar,accessibility,menu,bar,1718658,98283753,522038270,0.017487,1.0
tool_tip,accessibility,tool,tip,157890,239470885,94391547,0.000659,1.0
combo_box,accessibility,combo,box,367125,19375774,299405082,0.018948,0.3333333333333333
semantic_markup,accessibility,semantic,markup,149063,16638580,9251624,0.008959,1.0
focus_management,accessibility,focus,management,21831,431911058,280729378,5.1e-05,0.0
reading_order,accessibility,reading,order,155818,445397832,965966024,0.00035,0.0
text_formatting,accessibility,text,formatting,282877,478220452,15502037,0.000592,1.0
form_field,accessibility,form,field,534535,876298065,466078029,0.00061,1.0
landmark_region,accessibility,landmark,region,1258,13147582,245347495,9.6e-05,0.0
low_vision,accessibility,low,vision,591201,679403103,178054279,0.00087,0.3333333333333333
cognitive_disabilities,accessibility,cognitive,disabilities,216716,65548078,22211587,0.003306,1.0
universal_design,accessibility,universal,design,248037,78744260,518375969,0.00315,0.0
decorative_image,accessibility,decorative,image,13806,10979614,425455995,0.001257,0.6666666666666666
informative_image,accessibility,informative,image,6612,23347468,425455995,0.000283,0.0
responsive_design,accessibility,responsive,design,681068,19871422,518375969,0.034274,1.0
