compound,domain,word1,word2,bigram_count,word1_count,word2_count,conditional_prob,suite,concept,trajectory,traj_ordinal
screen_reader,accessibility,screen,reader,32100,22952059,6113770,0.001399,pythia,screen reader,monotonic_climb,3
alt_text,accessibility,alt,text,23306,5902287,31625337,0.003949,pythia,alt text,monotonic_climb,3
skip_link,accessibility,skip,link,662,2340742,18277281,0.000283,pythia,skip link,peak_regress,2
color_contrast,accessibility,color,contrast,20112,25414097,16674541,0.000791,pythia,color contrast,mixed,1
keyboard_navigation,accessibility,keyboard,navigation,8050,2791750,2976535,0.002883,pythia,keyboard navigation,peak_regress,2
focus_indicator,accessibility,focus,indicator,1261,20169251,2923114,6.3e-05,pythia,focus indicator,never_emerges,0
semantic_html,accessibility,semantic,HTML,2595,1358029,4327636,0.001911,pythia,semantic HTML,never_emerges,0
closed_captions,accessibility,closed,captions,7942,16202434,214709,0.00049,pythia,captions,never_emerges,0
keyboard_interaction,accessibility,keyboard,interaction,1073,2791750,14562066,0.000384,pythia,keyboard interaction,never_emerges,0
section_heading,accessibility,section,heading,6949,35442214,3379568,0.000196,pythia,section heading,monotonic_climb,3
text_alternative,accessibility,text,alternative,1852,31625337,11847032,5.9e-05,pythia,text alternative,never_emerges,0
audio_description,accessibility,audio,description,4691,5818137,12037151,0.000806,pythia,audio description,mixed,1
sign_language,accessibility,sign,language,113936,21817958,23766108,0.005222,pythia,sign language,monotonic_climb,3
sensory_characteristics,accessibility,sensory,characteristics,11206,2319830,13255016,0.004831,pythia,sensory characteristics,never_emerges,0
input_purpose,accessibility,input,purpose,53,22444667,18885925,2e-06,pythia,input purpose,never_emerges,0
target_size,accessibility,target,size,21981,35113978,47331299,0.000626,pythia,target size,never_emerges,0
touch_target,accessibility,touch,target,1114,15155629,35113978,7.4e-05,pythia,touch target,mixed,1
drag_movement,accessibility,drag,movement,328,7857834,15091204,4.2e-05,pythia,drag movement,never_emerges,0
focus_appearance,accessibility,focus,appearance,102,20169251,8637715,5e-06,pythia,focus appearance,never_emerges,0
consistent_help,accessibility,consistent,help,504,13743517,64771062,3.7e-05,pythia,consistent help,never_emerges,0
redundant_entry,accessibility,redundant,entry,205,1150697,11599106,0.000178,pythia,redundant entry,never_emerges,0
accessible_authentication,accessibility,accessible,authentication,3,3966426,1978328,1e-06,pythia,accessible authentication,mixed,1
text_spacing,accessibility,text,spacing,615,31625337,1526750,1.9e-05,pythia,text spacing,never_emerges,0
status_message,accessibility,status,message,20367,21786604,20077187,0.000935,pythia,status message,peak_regress,2
error_identification,accessibility,error,identification,1566,43907005,7369923,3.6e-05,pythia,error identification,never_emerges,0
pointer_cancellation,accessibility,pointer,cancellation,2,3978237,1233873,1e-06,pythia,pointer cancellation,never_emerges,0
character_key,accessibility,character,key,1974,33933779,37841630,5.8e-05,pythia,character key,never_emerges,0
accessibility_tree,accessibility,accessibility,tree,1307,1107895,13630511,0.00118,pythia,accessibility tree,never_emerges,0
accessible_name,accessibility,accessible,name,1619,3966426,80852659,0.000408,pythia,accessible name,peak_regress,2
accessible_description,accessibility,accessible,description,716,3966426,12037151,0.000181,pythia,accessible description,never_emerges,0
live_region,accessibility,live,region,1112,27609336,30168875,4e-05,pythia,live region,never_emerges,0
tab_panel,accessibility,tab,panel,3519,5865681,13214414,0.0006,pythia,tab panel,monotonic_climb,3
radio_group,accessibility,radio,group,6694,12463066,81142986,0.000537,pythia,radio group,never_emerges,0
tree_grid,accessibility,tree,grid,865,13630511,5571544,6.3e-05,pythia,tree grid,never_emerges,0
menu_bar,accessibility,menu,bar,106878,6410860,36980559,0.016671,pythia,menu bar,monotonic_climb,3
tool_tip,accessibility,tool,tip,17356,14249060,5654654,0.001218,pythia,tool tip,mixed,1
combo_box,accessibility,combo,box,50410,756730,17286711,0.066616,pythia,combo box,peak_regress,2
semantic_markup,accessibility,semantic,markup,4776,1358029,543186,0.003517,pythia,semantic markup,mixed,1
focus_management,accessibility,focus,management,989,20169251,17858042,4.9e-05,pythia,focus management,mixed,1
reading_order,accessibility,reading,order,9225,17460665,85517931,0.000528,pythia,reading order,peak_regress,2
text_formatting,accessibility,text,formatting,28514,31625337,815777,0.000902,pythia,text formatting,mixed,1
form_field,accessibility,form,field,51864,70850015,49395092,0.000732,pythia,form field,monotonic_climb,3
landmark_region,accessibility,landmark,region,128,997856,30168875,0.000128,pythia,landmark region,peak_regress,2
low_vision,accessibility,low,vision,36811,53370536,7407330,0.00069,pythia,low vision,monotonic_climb,3
cognitive_disabilities,accessibility,cognitive,disabilities,10189,5758086,1281905,0.00177,pythia,cognitive disabilities,mixed,1
universal_design,accessibility,universal,design,9030,4729445,33389182,0.001909,pythia,universal design,never_emerges,0
decorative_image,accessibility,decorative,image,749,698566,37927579,0.001072,pythia,decorative image,mixed,1
informative_image,accessibility,informative,image,520,1186902,37927579,0.000438,pythia,informative image,never_emerges,0
responsive_design,accessibility,responsive,design,35628,1827621,33389182,0.019494,pythia,responsive design,monotonic_climb,3
