model,prompt,layer,rank,token,logit
gpt2-xl,skip_link,0,0,now,4.667
gpt2-xl,skip_link,0,1,not,4.648
gpt2-xl,skip_link,0,2,supposed,4.548
gpt2-xl,skip_link,0,3,also,4.451
gpt2-xl,skip_link,0,4,likely,4.397
gpt2-xl,skip_link,1,0,drawn,7.021
gpt2-xl,skip_link,1,1,supposed,6.929
gpt2-xl,skip_link,1,2,not,6.785
gpt2-xl,skip_link,1,3,ometric,6.688
gpt2-xl,skip_link,1,4,NOT,6.625
gpt2-xl,skip_link,2,0,drawn,8.653
gpt2-xl,skip_link,2,1,not,8.028
gpt2-xl,skip_link,2,2,ometric,7.983
gpt2-xl,skip_link,2,3,supposed,7.943
gpt2-xl,skip_link,2,4,now,7.745
gpt2-xl,skip_link,3,0,not,9.341
gpt2-xl,skip_link,3,1,drawn,9.217
gpt2-xl,skip_link,3,2,supposed,9.06
gpt2-xl,skip_link,3,3,now,8.863
gpt2-xl,skip_link,3,4,NOT,8.638
gpt2-xl,skip_link,4,0,drawn,10.154
gpt2-xl,skip_link,4,1,supposed,9.94
gpt2-xl,skip_link,4,2,not,9.651
gpt2-xl,skip_link,4,3,likely,9.525
gpt2-xl,skip_link,4,4,NOT,9.482
gpt2-xl,skip_link,5,0,NOT,10.655
gpt2-xl,skip_link,5,1,supposed,10.177
gpt2-xl,skip_link,5,2,drawn,10.121
gpt2-xl,skip_link,5,3,currently,10.084
gpt2-xl,skip_link,5,4,likely,10.036
gpt2-xl,skip_link,6,0,NOT,11.074
gpt2-xl,skip_link,6,1,currently,10.796
gpt2-xl,skip_link,6,2,nearing,10.335
gpt2-xl,skip_link,6,3,supposed,10.327
gpt2-xl,skip_link,6,4,drawn,10.209
gpt2-xl,skip_link,7,0,currently,12.287
gpt2-xl,skip_link,7,1,supposed,11.68
gpt2-xl,skip_link,7,2,NOT,11.469
gpt2-xl,skip_link,7,3,nearing,11.469
gpt2-xl,skip_link,7,4,powered,11.032
gpt2-xl,skip_link,8,0,supposed,13.399
gpt2-xl,skip_link,8,1,currently,13.093
gpt2-xl,skip_link,8,2,hidden,12.797
gpt2-xl,skip_link,8,3,rumored,12.492
gpt2-xl,skip_link,8,4,buzzing,12.327
gpt2-xl,skip_link,9,0,currently,15.007
gpt2-xl,skip_link,9,1,supposed,14.944
gpt2-xl,skip_link,9,2,fueled,13.501
gpt2-xl,skip_link,9,3,rumored,13.459
gpt2-xl,skip_link,9,4,usually,13.217
gpt2-xl,skip_link,10,0,supposed,17.838
gpt2-xl,skip_link,10,1,currently,16.323
gpt2-xl,skip_link,10,2,meant,15.372
gpt2-xl,skip_link,10,3,rumored,15.133
gpt2-xl,skip_link,10,4,located,15.04
gpt2-xl,skip_link,11,0,supposed,18.846
gpt2-xl,skip_link,11,1,currently,16.626
gpt2-xl,skip_link,11,2,rumored,15.663
gpt2-xl,skip_link,11,3,usually,15.593
gpt2-xl,skip_link,11,4,meant,15.448
gpt2-xl,skip_link,12,0,supposed,19.989
gpt2-xl,skip_link,12,1,meant,17.006
gpt2-xl,skip_link,12,2,usually,16.593
gpt2-xl,skip_link,12,3,highlighted,16.401
gpt2-xl,skip_link,12,4,currently,16.272
gpt2-xl,skip_link,13,0,supposed,20.057
gpt2-xl,skip_link,13,1,usually,18.934
gpt2-xl,skip_link,13,2,positioned,17.845
gpt2-xl,skip_link,13,3,located,17.817
gpt2-xl,skip_link,13,4,notoriously,17.532
gpt2-xl,skip_link,14,0,positioned,20.49
gpt2-xl,skip_link,14,1,usually,20.398
gpt2-xl,skip_link,14,2,located,19.636
gpt2-xl,skip_link,14,3,supposed,19.276
gpt2-xl,skip_link,14,4,normally,18.91
gpt2-xl,skip_link,15,0,usually,21.911
