model,prompt,source,rank,token,logit
gpt2,skip_link,mlp_final,0,used,49.038
gpt2,skip_link,mlp_final,1,requested,47.475
gpt2,skip_link,mlp_final,2,taken,47.173
gpt2,skip_link,mlp_final,3,displayed,46.64
gpt2,skip_link,mlp_final,4,validated,45.957
gpt2,skip_link,mlp_final,5,exercised,45.882
gpt2,skip_link,mlp_final,6,implemented,45.518
gpt2,skip_link,mlp_final,7,adopted,45.412
gpt2,skip_link,mlp_final,8,employed,45.336
gpt2,skip_link,mlp_final,9,shown,44.759
gpt2,skip_link,mlp_final,10,treated,44.512
gpt2,skip_link,mlp_final,11,fired,43.949
gpt2,skip_link,mlp_final,12,converted,43.819
gpt2,skip_link,mlp_final,13,fulfilled,43.69
gpt2,skip_link,mlp_final,14,performed,43.508
gpt2,skip_link,mlp_final,15,lost,43.452
gpt2,skip_link,mlp_final,16,maintained,43.081
gpt2,skip_link,mlp_final,17,handled,42.978
gpt2,skip_link,mlp_final,18,accepted,42.977
gpt2,skip_link,mlp_final,19,invoked,42.739
gpt2,skip_link,full_model,0,required,12.304
gpt2,skip_link,full_model,1,displayed,11.966
gpt2,skip_link,full_model,2,provided,11.888
gpt2,skip_link,full_model,3,shown,11.789
gpt2,skip_link,full_model,4,deprecated,11.357
gpt2,skip_link,full_model,5,needed,11.328
gpt2,skip_link,full_model,6,inserted,11.122
gpt2,skip_link,full_model,7,necessary,10.93
gpt2,skip_link,full_model,8,used,10.734
gpt2,skip_link,full_model,9,optional,10.284
gpt2,skip_link,full_model,10,automatically,10.278
gpt2,skip_link,full_model,11,placed,10.253
gpt2,skip_link,full_model,12,sent,10.242
gpt2,skip_link,full_model,13,available,10.229
gpt2,skip_link,full_model,14,defined,10.216
gpt2,skip_link,full_model,15,added,10.19
gpt2,skip_link,full_model,16,saved,10.179
gpt2,skip_link,full_model,17,included,10.065
gpt2,skip_link,full_model,18,generated,10.021
gpt2,skip_link,full_model,19,clicked,10.006
gpt2,color_contrast,mlp_final,0,jaws,42.737
gpt2,color_contrast,mlp_final,1,lungs,40.442
gpt2,color_contrast,mlp_final,2,handheld,38.722
gpt2,color_contrast,mlp_final,3,depth,38.468
gpt2,color_contrast,mlp_final,4,gears,37.999
gpt2,color_contrast,mlp_final,5,teeth,37.8
gpt2,color_contrast,mlp_final,6,consoles,37.623
gpt2,color_contrast,mlp_final,7,pancreat,37.435
gpt2,color_contrast,mlp_final,8,Achilles,37.413
gpt2,color_contrast,mlp_final,9,lung,37.377
gpt2,color_contrast,mlp_final,10,electrom,37.34
gpt2,color_contrast,mlp_final,11,crocod,37.322
gpt2,color_contrast,mlp_final,12,neoc,37.295
gpt2,color_contrast,mlp_final,13,mamm,37.278
gpt2,color_contrast,mlp_final,14,lions,36.986
gpt2,color_contrast,mlp_final,15,calculus,36.523
gpt2,color_contrast,mlp_final,16,whales,36.297
gpt2,color_contrast,mlp_final,17,sharks,36.162
gpt2,color_contrast,mlp_final,18,peripheral,36.095
gpt2,color_contrast,mlp_final,19,cylinders,35.974
gpt2,color_contrast,full_model,0,colors,11.743
gpt2,color_contrast,full_model,1,color,10.905
gpt2,color_contrast,full_model,2,wavelengths,10.762
gpt2,color_contrast,full_model,3,it,10.482
gpt2,color_contrast,full_model,4,RGB,10.282
gpt2,color_contrast,full_model,5,brightness,10.216
gpt2,color_contrast,full_model,6,chrom,10.013
gpt2,color_contrast,full_model,7,blacks,9.972
gpt2,color_contrast,full_model,8,LEDs,9.885
gpt2,color_contrast,full_model,9,sunlight,9.85
gpt2,color_contrast,full_model,10,colours,9.664
gpt2,color_contrast,full_model,11,lighting,9.661
gpt2,color_contrast,full_model,12,saturation,9.639
gpt2,color_contrast,full_model,13,colour,9.508
gpt2,color_contrast,full_model,14,shades,9.469
gpt2,color_contrast,full_model,15,pigment,9.457
gpt2,color_contrast,full_model,16,shadows,9.32
gpt2,color_contrast,full_model,17,hue,9.304
gpt2,color_contrast,full_model,18,darker,9.258
gpt2,color_contrast,full_model,19,light,9.215
