model,prompt,source,rank,token,logit
gpt2-large,skip_link,mlp_final,0,EXP,9.876
gpt2-large,skip_link,mlp_final,1,delivered,9.753
gpt2-large,skip_link,mlp_final,2,discounted,9.32
gpt2-large,skip_link,mlp_final,3,avail,9.188
gpt2-large,skip_link,mlp_final,4,rewarded,8.674
gpt2-large,skip_link,mlp_final,5,missed,8.651
gpt2-large,skip_link,mlp_final,6,offered,8.634
gpt2-large,skip_link,mlp_final,7,unavailable,8.488
gpt2-large,skip_link,mlp_final,8,deter,8.483
gpt2-large,skip_link,mlp_final,9,simplified,8.301
gpt2-large,skip_link,mlp_final,10,FY,8.169
gpt2-large,skip_link,mlp_final,11,encouraged,8.143
gpt2-large,skip_link,mlp_final,12,OK,8.08
gpt2-large,skip_link,mlp_final,13,provided,8.032
gpt2-large,skip_link,mlp_final,14,deferred,8.001
gpt2-large,skip_link,mlp_final,15,EED,7.957
gpt2-large,skip_link,mlp_final,16,satisfied,7.945
gpt2-large,skip_link,mlp_final,17,FE,7.939
gpt2-large,skip_link,mlp_final,18,required,7.93
gpt2-large,skip_link,mlp_final,19,costing,7.91
gpt2-large,skip_link,full_model,0,a,16.317
gpt2-large,skip_link,full_model,1,an,14.366
gpt2-large,skip_link,full_model,2,one,13.99
gpt2-large,skip_link,full_model,3,not,12.918
gpt2-large,skip_link,full_model,4,something,12.628
gpt2-large,skip_link,full_model,5,the,12.555
gpt2-large,skip_link,full_model,6,used,12.529
gpt2-large,skip_link,full_model,7,like,12.452
gpt2-large,skip_link,full_model,8,any,12.407
gpt2-large,skip_link,full_model,9,just,12.372
gpt2-large,skip_link,full_model,10,simply,12.02
gpt2-large,skip_link,full_model,11,when,11.91
gpt2-large,skip_link,full_model,12,another,11.845
gpt2-large,skip_link,full_model,13,usually,11.788
gpt2-large,skip_link,full_model,14,often,11.768
gpt2-large,skip_link,full_model,15,defined,11.64
gpt2-large,skip_link,full_model,16,short,11.588
gpt2-large,skip_link,full_model,17,where,11.47
gpt2-large,skip_link,full_model,18,either,11.47
gpt2-large,skip_link,full_model,19,basically,11.448
gpt2-large,color_contrast,mlp_final,0,human,8.761
gpt2-large,color_contrast,mlp_final,1,earth,8.613
gpt2-large,color_contrast,mlp_final,2,synergy,8.302
gpt2-large,color_contrast,mlp_final,3,popcorn,8.165
gpt2-large,color_contrast,mlp_final,4,XCOM,8.057
gpt2-large,color_contrast,mlp_final,5,explosives,7.82
gpt2-large,color_contrast,mlp_final,6,overload,7.794
gpt2-large,color_contrast,mlp_final,7,programming,7.749
gpt2-large,color_contrast,mlp_final,8,dolphin,7.587
gpt2-large,color_contrast,mlp_final,9,refill,7.455
gpt2-large,color_contrast,mlp_final,10,cessation,7.437
gpt2-large,color_contrast,mlp_final,11,STEM,7.43
gpt2-large,color_contrast,mlp_final,12,scient,7.422
gpt2-large,color_contrast,mlp_final,13,rodent,7.321
gpt2-large,color_contrast,mlp_final,14,techno,7.294
gpt2-large,color_contrast,mlp_final,15,euph,7.248
gpt2-large,color_contrast,mlp_final,16,heaven,7.234
gpt2-large,color_contrast,mlp_final,17,stabilization,7.203
gpt2-large,color_contrast,mlp_final,18,isolate,7.155
gpt2-large,color_contrast,mlp_final,19,curing,7.139
gpt2-large,color_contrast,full_model,0,it,14.761
gpt2-large,color_contrast,full_model,1,color,13.156
gpt2-large,color_contrast,full_model,2,the,12.326
gpt2-large,color_contrast,full_model,3,we,12.037
gpt2-large,color_contrast,full_model,4,of,11.955
gpt2-large,color_contrast,full_model,5,colors,11.944
gpt2-large,color_contrast,full_model,6,you,11.765
gpt2-large,color_contrast,full_model,7,light,11.637
gpt2-large,color_contrast,full_model,8,people,11.424
gpt2-large,color_contrast,full_model,9,different,11.367
gpt2-large,color_contrast,full_model,10,humans,11.26
gpt2-large,color_contrast,full_model,11,when,11.154
gpt2-large,color_contrast,full_model,12,many,11.119
gpt2-large,color_contrast,full_model,13,your,11.118
gpt2-large,color_contrast,full_model,14,our,11.112
gpt2-large,color_contrast,full_model,15,a,10.889
gpt2-large,color_contrast,full_model,16,most,10.884
gpt2-large,color_contrast,full_model,17,red,10.759
gpt2-large,color_contrast,full_model,18,if,10.738
gpt2-large,color_contrast,full_model,19,there,10.711
