model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
gpt2-large,skip_link,0,4.286956,18.921469,4.4137,20.847639,0.0
gpt2-large,skip_link,1,6.035425,17.909765,2.9674,39.953705,0.0286
gpt2-large,skip_link,2,7.396426,7.245744,0.9796,48.846428,0.0571
gpt2-large,skip_link,3,6.446984,5.677433,0.8806,53.200733,0.0857
gpt2-large,skip_link,4,4.923344,6.239278,1.2673,54.742092,0.1143
gpt2-large,skip_link,5,5.983294,7.050119,1.1783,57.103474,0.1429
gpt2-large,skip_link,6,6.459264,8.309446,1.2864,59.092388,0.1714
gpt2-large,skip_link,7,6.461277,8.795607,1.3613,60.325695,0.2
gpt2-large,skip_link,8,8.126484,9.527088,1.1724,63.68528,0.2286
gpt2-large,skip_link,9,6.046613,10.696894,1.7691,65.385452,0.2571
gpt2-large,skip_link,10,7.803949,14.017097,1.7962,70.982285,0.2857
gpt2-large,skip_link,11,7.669249,13.645436,1.7792,75.083786,0.3143
gpt2-large,skip_link,12,5.414723,12.872978,2.3774,77.910919,0.3429
gpt2-large,skip_link,13,10.719116,15.013419,1.4006,84.112206,0.3714
gpt2-large,skip_link,14,9.603782,14.57957,1.5181,87.465263,0.4
gpt2-large,skip_link,15,9.806935,16.48634,1.6811,94.151993,0.4286
gpt2-large,skip_link,16,11.655639,15.981276,1.3711,99.840813,0.4571
gpt2-large,skip_link,17,8.491364,17.412622,2.0506,105.958664,0.4857
gpt2-large,skip_link,18,8.6364,17.166824,1.9877,112.435921,0.5143
gpt2-large,skip_link,19,10.71393,18.936695,1.7675,118.312759,0.5429
gpt2-large,skip_link,20,7.048133,18.996674,2.6953,121.249168,0.5714
gpt2-large,skip_link,21,7.79846,21.594198,2.769,129.157318,0.6
gpt2-large,skip_link,22,11.659348,23.627411,2.0265,138.540634,0.6286
gpt2-large,skip_link,23,7.896735,23.157763,2.9326,148.751465,0.6571
gpt2-large,skip_link,24,13.708261,23.447533,1.7105,161.932037,0.6857
gpt2-large,skip_link,25,19.847536,25.569,1.2883,175.620331,0.7143
gpt2-large,skip_link,26,12.745336,26.17218,2.0535,186.94249,0.7429
gpt2-large,skip_link,27,9.301583,26.672215,2.8675,197.969955,0.7714
gpt2-large,skip_link,28,12.383244,31.168095,2.517,215.618408,0.8
gpt2-large,skip_link,29,11.231073,29.845646,2.6574,231.179565,0.8286
gpt2-large,skip_link,30,8.720484,31.141565,3.5711,248.797363,0.8571
gpt2-large,skip_link,31,11.944156,34.048149,2.8506,272.64032,0.8857
gpt2-large,skip_link,32,23.216444,48.429302,2.086,321.289886,0.9143
gpt2-large,skip_link,33,12.012937,57.968998,4.8255,365.796387,0.9429
gpt2-large,skip_link,34,64.580872,26.035265,0.4031,424.577515,0.9714
gpt2-large,skip_link,35,42.402718,29.971937,0.7068,420.618469,1.0
gpt2-large,color_contrast,0,4.445966,19.916964,4.4798,22.245411,0.0
gpt2-large,color_contrast,1,7.031635,18.152353,2.5815,39.080059,0.0286
gpt2-large,color_contrast,2,7.59925,8.614158,1.1336,48.588867,0.0571
gpt2-large,color_contrast,3,6.309857,8.708968,1.3802,53.873138,0.0857
gpt2-large,color_contrast,4,5.641371,6.756445,1.1977,54.85881,0.1143
gpt2-large,color_contrast,5,5.276325,8.259577,1.5654,56.96027,0.1429
gpt2-large,color_contrast,6,6.436069,7.67933,1.1932,58.216686,0.1714
gpt2-large,color_contrast,7,5.924289,7.76137,1.3101,59.608608,0.2
gpt2-large,color_contrast,8,6.623894,9.161541,1.3831,63.377853,0.2286
gpt2-large,color_contrast,9,5.646745,9.19706,1.6287,66.194298,0.2571
gpt2-large,color_contrast,10,7.422332,10.398854,1.401,69.184998,0.2857
gpt2-large,color_contrast,11,8.495365,13.029837,1.5338,73.727905,0.3143
gpt2-large,color_contrast,12,4.964613,11.808282,2.3785,76.587151,0.3429
gpt2-large,color_contrast,13,7.186009,12.47967,1.7367,80.720398,0.3714
gpt2-large,color_contrast,14,8.941518,13.664515,1.5282,86.503716,0.4
gpt2-large,color_contrast,15,10.420413,13.855524,1.3297,90.77282,0.4286
gpt2-large,color_contrast,16,9.954853,18.394648,1.8478,97.12101,0.4571
gpt2-large,color_contrast,17,8.268364,17.084208,2.0662,103.602211,0.4857
gpt2-large,color_contrast,18,7.899405,15.994733,2.0248,108.335136,0.5143
gpt2-large,color_contrast,19,12.526448,18.112055,1.4459,115.335335,0.5429
gpt2-large,color_contrast,20,9.502032,19.848566,2.0889,122.545212,0.5714
gpt2-large,color_contrast,21,9.39003,21.438972,2.2832,131.347473,0.6
gpt2-large,color_contrast,22,11.402282,22.050293,1.9338,143.001526,0.6286
gpt2-large,color_contrast,23,12.998524,20.439999,1.5725,150.351547,0.6571
gpt2-large,color_contrast,24,12.45979,21.239693,1.7047,160.387207,0.6857
gpt2-large,color_contrast,25,10.046281,22.607395,2.2503,172.99472,0.7143
gpt2-large,color_contrast,26,13.134506,23.631466,1.7992,183.782333,0.7429
gpt2-large,color_contrast,27,16.739214,29.954655,1.7895,205.165741,0.7714
gpt2-large,color_contrast,28,14.719207,30.801205,2.0926,226.485825,0.8
gpt2-large,color_contrast,29,9.731947,33.673065,3.4601,250.498306,0.8286
gpt2-large,color_contrast,30,21.434572,33.212147,1.5495,279.324158,0.8571
gpt2-large,color_contrast,31,19.957243,31.392431,1.573,306.634491,0.8857
gpt2-large,color_contrast,32,25.329336,34.165451,1.3488,343.623474,0.9143
gpt2-large,color_contrast,33,19.498302,79.424934,4.0734,418.545868,0.9429
gpt2-large,color_contrast,34,24.48679,36.363174,1.485,456.46051,0.9714
gpt2-large,color_contrast,35,50.334427,28.853598,0.5732,455.572388,1.0
