model,prompt,layer,rank,token,logit
gpt2,skip_link,0,0,unlikely,23.512
gpt2,skip_link,0,1,not,22.937
gpt2,skip_link,0,2,definitely,21.675
gpt2,skip_link,0,3,still,20.937
gpt2,skip_link,0,4,also,20.451
gpt2,skip_link,1,0,currently,27.655
gpt2,skip_link,1,1,not,27.599
gpt2,skip_link,1,2,unlikely,27.536
gpt2,skip_link,1,3,now,27.421
gpt2,skip_link,1,4,definitely,26.427
gpt2,skip_link,2,0,currently,32.249
gpt2,skip_link,2,1,definitely,31.709
gpt2,skip_link,2,2,not,30.848
gpt2,skip_link,2,3,now,30.263
gpt2,skip_link,2,4,NOT,29.047
gpt2,skip_link,3,0,currently,38.117
gpt2,skip_link,3,1,not,33.15
gpt2,skip_link,3,2,now,33.072
gpt2,skip_link,3,3,definitely,32.74
gpt2,skip_link,3,4,hereby,32.663
gpt2,skip_link,4,0,currently,38.384
gpt2,skip_link,4,1,awarded,36.858
gpt2,skip_link,4,2,called,36.489
gpt2,skip_link,4,3,sometimes,36.079
gpt2,skip_link,4,4,HERE,35.948
gpt2,skip_link,5,0,currently,45.267
gpt2,skip_link,5,1,meant,44.201
gpt2,skip_link,5,2,usually,42.96
gpt2,skip_link,5,3,awarded,42.545
gpt2,skip_link,5,4,supported,42.14
gpt2,skip_link,6,0,meant,57.855
gpt2,skip_link,6,1,usually,54.915
gpt2,skip_link,6,2,sometimes,53.591
gpt2,skip_link,6,3,supposed,49.37
gpt2,skip_link,6,4,Cancel,49.331
gpt2,skip_link,7,0,usually,70.043
gpt2,skip_link,7,1,meant,70.014
gpt2,skip_link,7,2,supposed,65.168
gpt2,skip_link,7,3,intended,64.308
gpt2,skip_link,7,4,defined,63.93
gpt2,skip_link,8,0,inserted,84.754
gpt2,skip_link,8,1,required,83.767
gpt2,skip_link,8,2,defined,81.462
gpt2,skip_link,8,3,meant,80.825
gpt2,skip_link,8,4,automatically,80.687
gpt2,skip_link,9,0,inserted,117.067
gpt2,skip_link,9,1,optional,113.054
gpt2,skip_link,9,2,required,110.885
gpt2,skip_link,9,3,automatically,110.439
gpt2,skip_link,9,4,optionally,103.646
gpt2,skip_link,10,0,required,136.97
gpt2,skip_link,10,1,inserted,133.743
gpt2,skip_link,10,2,provided,131.575
gpt2,skip_link,10,3,optional,125.829
gpt2,skip_link,10,4,needed,125.215
gpt2,skip_link,11,0,required,181.983
gpt2,skip_link,11,1,displayed,176.989
gpt2,skip_link,11,2,provided,175.824
gpt2,skip_link,11,3,shown,174.37
gpt2,skip_link,11,4,deprecated,167.973
gpt2,color_contrast,0,0,›,25.477
gpt2,color_contrast,0,1,*/(,24.96
gpt2,color_contrast,0,2,akening,24.489
gpt2,color_contrast,0,3,why,23.8
gpt2,color_contrast,0,4,partly,23.169
gpt2,color_contrast,1,0,›,30.827
gpt2,color_contrast,1,1,*/(,30.455
gpt2,color_contrast,1,2,akening,30.443
gpt2,color_contrast,1,3,why,27.232
gpt2,color_contrast,1,4,calculating,26.287
gpt2,color_contrast,2,0,why,31.399
gpt2,color_contrast,2,1,*/(,30.402
gpt2,color_contrast,2,2,›,29.492
gpt2,color_contrast,2,3,sometimes,28.611
gpt2,color_contrast,2,4,¶,28.216
gpt2,color_contrast,3,0,why,33.658
gpt2,color_contrast,3,1,UDP,33.186
gpt2,color_contrast,3,2,*/(,32.151
gpt2,color_contrast,3,3,we,32.032
gpt2,color_contrast,3,4,sometimes,31.812
gpt2,color_contrast,4,0,there,39.381
gpt2,color_contrast,4,1,uras,39.175
gpt2,color_contrast,4,2,we,38.546
gpt2,color_contrast,4,3,¶,38.215
gpt2,color_contrast,4,4,why,38.115
gpt2,color_contrast,5,0,there,44.641
gpt2,color_contrast,5,1,otherwise,43.471
gpt2,color_contrast,5,2,sometimes,43.166
gpt2,color_contrast,5,3,we,42.254
gpt2,color_contrast,5,4,it,41.761
gpt2,color_contrast,6,0,sometimes,47.67
gpt2,color_contrast,6,1,unlike,47.151
gpt2,color_contrast,6,2,there,46.239
gpt2,color_contrast,6,3,often,46.136
gpt2,color_contrast,6,4,it,45.887
gpt2,color_contrast,7,0,it,67.105
gpt2,color_contrast,7,1,many,61.265
gpt2,color_contrast,7,2,often,59.869
gpt2,color_contrast,7,3,unlike,59.821
gpt2,color_contrast,7,4,sometimes,59.551
gpt2,color_contrast,8,0,it,86.887
gpt2,color_contrast,8,1,many,80.096
gpt2,color_contrast,8,2,sometimes,77.141
gpt2,color_contrast,8,3,they,76.048
gpt2,color_contrast,8,4,we,74.976
gpt2,color_contrast,9,0,it,114.575
gpt2,color_contrast,9,1,colors,105.659
gpt2,color_contrast,9,2,color,102.776
gpt2,color_contrast,9,3,many,101.535
gpt2,color_contrast,9,4,sometimes,96.893
gpt2,color_contrast,10,0,colors,157.522
gpt2,color_contrast,10,1,it,154.933
gpt2,color_contrast,10,2,color,149.286
gpt2,color_contrast,10,3,RGB,133.988
gpt2,color_contrast,10,4,colour,133.282
gpt2,color_contrast,11,0,colors,201.213
gpt2,color_contrast,11,1,color,186.861
gpt2,color_contrast,11,2,wavelengths,184.412
gpt2,color_contrast,11,3,it,179.621
gpt2,color_contrast,11,4,RGB,176.184
