compound,model,condition,set_id,heads,kl,top_changed,bigram_count,log_frequency
error_identification,pythia-2.8b,natural,random_001,"[[25, 18], [26, 11], [26, 12], [27, 24], [31, 17]]",1.4579127309843898e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_002,"[[22, 7], [25, 21], [26, 2], [27, 12], [30, 23]]",4.3976979213766754e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_003,"[[22, 5], [23, 9], [26, 3], [26, 12], [31, 8]]",7.728871423751116e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_004,"[[22, 6], [23, 20], [26, 7], [27, 1], [31, 13]]",1.3883807696402073e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_005,"[[23, 15], [24, 21], [27, 10], [27, 26], [28, 4]]",1.5120778698474169e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_006,"[[23, 14], [26, 26], [27, 29], [28, 16], [31, 17]]",1.6351732483599335e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_007,"[[23, 28], [24, 4], [28, 0], [28, 15], [30, 9]]",4.121247911825776e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_008,"[[27, 19], [28, 1], [28, 27], [30, 3], [30, 21]]",9.680574294179678e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_009,"[[25, 5], [26, 27], [28, 2], [29, 28], [30, 20]]",2.0152743672952056e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_010,"[[22, 22], [22, 24], [25, 24], [30, 24], [31, 11]]",1.8367136362940073e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_011,"[[22, 10], [24, 0], [28, 30], [30, 18], [31, 30]]",2.104125451296568e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_012,"[[25, 18], [27, 3], [27, 13], [28, 29], [30, 22]]",1.7549318727105856e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_013,"[[24, 15], [28, 20], [28, 28], [30, 17], [31, 21]]",2.581506851129234e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_014,"[[23, 8], [25, 10], [27, 19], [27, 28], [31, 4]]",1.627573510631919e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_015,"[[26, 21], [29, 28], [30, 28], [31, 19], [31, 23]]",6.307724106591195e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_016,"[[24, 27], [26, 23], [28, 21], [29, 13], [30, 26]]",7.431663107126951e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_017,"[[23, 19], [25, 25], [28, 17], [30, 3], [30, 4]]",2.658605808392167e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_018,"[[22, 28], [24, 12], [26, 2], [26, 16], [26, 26]]",1.55320594785735e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_019,"[[23, 21], [24, 26], [26, 19], [28, 29], [31, 3]]",1.7159327398985624e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_020,"[[26, 9], [28, 4], [29, 24], [30, 13], [31, 15]]",3.296256181783974e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_021,"[[23, 19], [25, 11], [26, 24], [27, 27], [29, 6]]",6.943737389519811e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_022,"[[25, 12], [26, 9], [26, 13], [31, 12], [31, 14]]",1.1613155947998166e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_023,"[[25, 9], [26, 8], [28, 22], [29, 28], [30, 20]]",1.3629382010549307e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_024,"[[22, 8], [23, 19], [23, 23], [29, 22], [31, 6]]",3.294589987490326e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_025,"[[25, 7], [28, 11], [29, 22], [30, 14], [31, 30]]",3.89284105040133e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_026,"[[22, 1], [23, 5], [24, 20], [27, 1], [28, 7]]",0.0010681324638426304,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_027,"[[23, 28], [26, 4], [28, 16], [29, 27], [31, 8]]",1.3223587302491069e-05,False,1566,7.356918242356021
