set_id,role,heads,n_heads
selected,selected,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]",5
empty,empty_control,[],0
positive_control,positive_control,"[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",32
random_001,random_control,"[[25, 18], [26, 11], [26, 12], [27, 24], [31, 17]]",5
random_002,random_control,"[[22, 7], [25, 21], [26, 2], [27, 12], [30, 23]]",5
random_003,random_control,"[[22, 5], [23, 9], [26, 3], [26, 12], [31, 8]]",5
random_004,random_control,"[[22, 6], [23, 20], [26, 7], [27, 1], [31, 13]]",5
random_005,random_control,"[[23, 15], [24, 21], [27, 10], [27, 26], [28, 4]]",5
random_006,random_control,"[[23, 14], [26, 26], [27, 29], [28, 16], [31, 17]]",5
random_007,random_control,"[[23, 28], [24, 4], [28, 0], [28, 15], [30, 9]]",5
random_008,random_control,"[[27, 19], [28, 1], [28, 27], [30, 3], [30, 21]]",5
random_009,random_control,"[[25, 5], [26, 27], [28, 2], [29, 28], [30, 20]]",5
random_010,random_control,"[[22, 22], [22, 24], [25, 24], [30, 24], [31, 11]]",5
random_011,random_control,"[[22, 10], [24, 0], [28, 30], [30, 18], [31, 30]]",5
random_012,random_control,"[[25, 18], [27, 3], [27, 13], [28, 29], [30, 22]]",5
random_013,random_control,"[[24, 15], [28, 20], [28, 28], [30, 17], [31, 21]]",5
random_014,random_control,"[[23, 8], [25, 10], [27, 19], [27, 28], [31, 4]]",5
random_015,random_control,"[[26, 21], [29, 28], [30, 28], [31, 19], [31, 23]]",5
random_016,random_control,"[[24, 27], [26, 23], [28, 21], [29, 13], [30, 26]]",5
random_017,random_control,"[[23, 19], [25, 25], [28, 17], [30, 3], [30, 4]]",5
random_018,random_control,"[[22, 28], [24, 12], [26, 2], [26, 16], [26, 26]]",5
random_019,random_control,"[[23, 21], [24, 26], [26, 19], [28, 29], [31, 3]]",5
random_020,random_control,"[[26, 9], [28, 4], [29, 24], [30, 13], [31, 15]]",5
random_021,random_control,"[[23, 19], [25, 11], [26, 24], [27, 27], [29, 6]]",5
random_022,random_control,"[[25, 12], [26, 9], [26, 13], [31, 12], [31, 14]]",5
random_023,random_control,"[[25, 9], [26, 8], [28, 22], [29, 28], [30, 20]]",5
random_024,random_control,"[[22, 8], [23, 19], [23, 23], [29, 22], [31, 6]]",5
random_025,random_control,"[[25, 7], [28, 11], [29, 22], [30, 14], [31, 30]]",5
random_026,random_control,"[[22, 1], [23, 5], [24, 20], [27, 1], [28, 7]]",5
random_027,random_control,"[[23, 28], [26, 4], [28, 16], [29, 27], [31, 8]]",5
random_028,random_control,"[[23, 12], [24, 20], [25, 12], [26, 24], [31, 22]]",5
random_029,random_control,"[[22, 12], [24, 7], [25, 25], [26, 18], [30, 2]]",5
random_030,random_control,"[[22, 13], [26, 5], [28, 15], [28, 30], [31, 15]]",5
random_031,random_control,"[[25, 1], [26, 24], [27, 22], [28, 27], [29, 24]]",5
random_032,random_control,"[[23, 18], [24, 27], [26, 22], [27, 25], [31, 30]]",5
random_033,random_control,"[[25, 10], [28, 1], [29, 20], [30, 23], [31, 4]]",5
random_034,random_control,"[[24, 29], [26, 2], [28, 19], [29, 17], [30, 31]]",5
random_035,random_control,"[[23, 28], [27, 3], [28, 14], [28, 20], [31, 18]]",5
random_036,random_control,"[[23, 5], [24, 13], [24, 18], [25, 4], [27, 24]]",5
random_037,random_control,"[[22, 30], [23, 16], [25, 8], [27, 18], [30, 8]]",5
random_038,random_control,"[[22, 1], [24, 12], [25, 19], [26, 14], [26, 18]]",5
random_039,random_control,"[[27, 10], [27, 27], [28, 7], [31, 5], [31, 9]]",5
random_040,random_control,"[[22, 3], [24, 0], [25, 11], [29, 8], [30, 1]]",5
random_041,random_control,"[[24, 7], [29, 8], [29, 15], [30, 28], [31, 24]]",5
random_042,random_control,"[[22, 31], [23, 10], [30, 0], [31, 20], [31, 28]]",5
random_043,random_control,"[[23, 29], [24, 2], [26, 8], [30, 0], [31, 24]]",5
