compound,model,condition,selected_heads,positive_control_heads,selected_kl,selected_top_changed,empty_kl,empty_top_changed,positive_control_kl,positive_control_top_changed,baseline_top,selected_ablated_top,positive_control_ablated_top,bigram_count,log_frequency
error_identification,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",4.194909706711769e-05,False,0.0,False,0.0003337482921779156,False,"[["" a"", 0.3471], ["" an"", 0.1611], ["" the"", 0.0784], ["" one"", 0.0617], ["" important"", 0.0297], ["" critical"", 0.0176], ["" essential"", 0.0163], ["" not"", 0.016], ["" often"", 0.0154], ["" of"", 0.0132]]","[["" a"", 0.3459], ["" an"", 0.163], ["" the"", 0.0779], ["" one"", 0.0623], ["" important"", 0.0298], ["" critical"", 0.0176], ["" essential"", 0.0163], ["" not"", 0.016], ["" often"", 0.0152], ["" of"", 0.0132]]","[["" a"", 0.3428], ["" an"", 0.1667], ["" the"", 0.0771], ["" one"", 0.0638], ["" important"", 0.0303], ["" critical"", 0.0179], ["" essential"", 0.0163], ["" not"", 0.0161], ["" often"", 0.0152], ["" of"", 0.0129]]",1566,7.356918242356021
audio_description,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",3.888133505824953e-05,False,0.0,False,0.0002203322947025299,False,"[["" a"", 0.3669], ["" an"", 0.1078], ["" provided"", 0.0573], ["" available"", 0.0426], ["" the"", 0.0273], ["" often"", 0.0267], ["" typically"", 0.0177], ["" not"", 0.016], ["" one"", 0.0136], ["" generally"", 0.0136]]","[["" a"", 0.3662], ["" an"", 0.1076], ["" provided"", 0.0581], ["" available"", 0.0434], ["" the"", 0.0269], ["" often"", 0.0268], ["" typically"", 0.0178], ["" not"", 0.016], ["" one"", 0.0136], ["" generally"", 0.0134]]","[["" a"", 0.3657], ["" an"", 0.1096], ["" provided"", 0.057], ["" available"", 0.045], ["" the"", 0.027], ["" often"", 0.0266], ["" typically"", 0.0179], ["" not"", 0.0161], ["" one"", 0.0137], ["" generally"", 0.0132]]",4691,8.453614209773367
section_heading,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",1.7807193216867745e-05,False,0.0,False,0.00011231872485950589,False,"[["" a"", 0.2942], ["" the"", 0.0763], ["" an"", 0.0763], ["" used"", 0.0726], ["" one"", 0.0205], ["" not"", 0.0178], ["" something"", 0.0153], ["" usually"", 0.0133], ["" defined"", 0.0129], ["" required"", 0.0125]]","[["" a"", 0.295], ["" an"", 0.0763], ["" the"", 0.0761], ["" used"", 0.0723], ["" one"", 0.0206], ["" not"", 0.0178], ["" something"", 0.0151], ["" usually"", 0.0133], ["" defined"", 0.0128], ["" required"", 0.0125]]","[["" a"", 0.2955], ["" an"", 0.0768], ["" the"", 0.0763], ["" used"", 0.0726], ["" one"", 0.0206], ["" not"", 0.0179], ["" something"", 0.015], ["" usually"", 0.0133], ["" defined"", 0.0127], ["" required"", 0.0127]]",6949,8.846496938558838
character_key,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",6.547008524648845e-06,False,0.0,False,1.6955891624093056e-05,False,"[["" a"", 0.514], ["" an"", 0.0674], ["" used"", 0.0474], ["" defined"", 0.0254], ["" the"", 0.025], ["" one"", 0.018], ["" typically"", 0.0144], ["" any"", 0.0113], ["" not"", 0.0112], ["" usually"", 0.0101]]","[["" a"", 0.5143], ["" an"", 0.0675], ["" used"", 0.0472], ["" defined"", 0.0255], ["" the"", 0.0249], ["" one"", 0.018], ["" typically"", 0.0144], ["" not"", 0.0113], ["" any"", 0.0112], ["" usually"", 0.01]]","[["" a"", 0.5146], ["" an"", 0.0674], ["" used"", 0.0472], ["" defined"", 0.0255], ["" the"", 0.0249], ["" one"", 0.018], ["" typically"", 0.0144], ["" not"", 0.0112], ["" any"", 0.0111], ["" usually"", 0.01]]",1974,7.588323677335222
sign_language,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",3.487346111796796e-05,False,0.0,False,0.00030770304147154093,False,"[["" a"", 0.2829], ["" the"", 0.1245], ["" an"", 0.0798], ["" not"", 0.0637], ["" one"", 0.0293], ["" used"", 0.0261], ["" often"", 0.0159], ["" spoken"", 0.0115], ["" widely"", 0.0101], ["" being"", 0.0073]]","[["" a"", 0.2826], ["" the"", 0.1241], ["" an"", 0.0804], ["" not"", 0.0639], ["" one"", 0.0292], ["" used"", 0.026], ["" often"", 0.0161], ["" spoken"", 0.0113], ["" widely"", 0.0102], ["" being"", 0.0073]]","[["" a"", 0.2822], ["" the"", 0.1234], ["" an"", 0.0824], ["" not"", 0.0635], ["" one"", 0.0291], ["" used"", 0.026], ["" often"", 0.0163], ["" spoken"", 0.0116], ["" widely"", 0.0102], ["" being"", 0.0073]]",113936,11.643400943040572
accessible_authentication,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",1.4469318557530642e-05,False,0.0,False,0.00014238350559026003,False,"[["" a"", 0.295], ["" an"", 0.1063], ["" the"", 0.0817], ["" one"", 0.0523], ["" becoming"", 0.033], ["" important"", 0.0311], ["" not"", 0.0196], ["" critical"", 0.0168], ["" essential"", 0.0157], ["" often"", 0.0145]]","[["" a"", 0.2957], ["" an"", 0.1065], ["" the"", 0.0819], ["" one"", 0.0525], ["" becoming"", 0.0331], ["" important"", 0.0311], ["" not"", 0.0194], ["" critical"", 0.0168], ["" essential"", 0.0158], ["" often"", 0.0145]]","[["" a"", 0.2962], ["" an"", 0.1074], ["" the"", 0.0821], ["" one"", 0.0524], ["" becoming"", 0.0326], ["" important"", 0.0321], ["" not"", 0.0192], ["" critical"", 0.0168], ["" essential"", 0.0158], ["" often"", 0.0144]]",3,1.3862943611198906
cognitive_disabilities,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",1.4649354852735996e-05,False,0.0,False,0.0005698921158909798,False,"[["" a"", 0.1655], ["" common"", 0.1169], ["" associated"", 0.0611], ["" the"", 0.0482], ["" often"", 0.0423], ["" among"", 0.0344], ["" not"", 0.0335], ["" one"", 0.0266], ["" prevalent"", 0.0205], ["" highly"", 0.0195]]","[["" a"", 0.166], ["" common"", 0.1164], ["" associated"", 0.0612], ["" the"", 0.0485], ["" often"", 0.0422], ["" among"", 0.0343], ["" not"", 0.0335], ["" one"", 0.0268], ["" prevalent"", 0.0203], ["" highly"", 0.0196]]","[["" a"", 0.1674], ["" common"", 0.1166], ["" associated"", 0.0592], ["" the"", 0.051], ["" often"", 0.0426], ["" not"", 0.034], ["" among"", 0.0322], ["" one"", 0.0285], ["" highly"", 0.0197], ["" prevalent"", 0.0196]]",10189,9.229162126216771
closed_captions,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",3.858617856167257e-05,False,0.0,False,0.0006361252162605524,False,"[["" a"", 0.0887], ["" the"", 0.069], ["" subt"", 0.0543], ["" many"", 0.0529], ["" various"", 0.0278], ["" all"", 0.0262], ["" displaying"", 0.0246], ["" visually"", 0.0228], ["" viewing"", 0.0199], ["" providing"", 0.0193]]","[["" a"", 0.0884], ["" the"", 0.0692], ["" subt"", 0.055], ["" many"", 0.0533], ["" various"", 0.0276], ["" all"", 0.0261], ["" displaying"", 0.0243], ["" visually"", 0.0226], ["" viewing"", 0.0196], ["" providing"", 0.0193]]","[["" a"", 0.0882], ["" the"", 0.0693], ["" subt"", 0.0564], ["" many"", 0.0546], ["" various"", 0.0266], ["" all"", 0.0259], ["" displaying"", 0.0238], ["" visually"", 0.0225], ["" audio"", 0.0196], ["" providing"", 0.019]]",7942,8.980046316633132
target_size,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",4.422421625349671e-06,False,0.0,False,2.219120506197214e-05,False,"[["" a"", 0.2745], ["" the"", 0.0898], ["" defined"", 0.0623], ["" an"", 0.058], ["" set"", 0.0337], ["" determined"", 0.027], ["" provided"", 0.0222], ["" required"", 0.0208], ["" generally"", 0.02], ["" used"", 0.0156]]","[["" a"", 0.2746], ["" the"", 0.09], ["" defined"", 0.0622], ["" an"", 0.058], ["" set"", 0.0336], ["" determined"", 0.027], ["" provided"", 0.0222], ["" required"", 0.0206], ["" generally"", 0.02], ["" used"", 0.0155]]","[["" a"", 0.2744], ["" the"", 0.0902], ["" defined"", 0.0614], ["" an"", 0.0581], ["" set"", 0.0339], ["" determined"", 0.0268], ["" provided"", 0.0224], ["" required"", 0.0207], ["" generally"", 0.02], ["" used"", 0.0157]]",21981,9.997979215628845
color_contrast,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",2.448323357384652e-06,False,0.0,False,2.632499672472477e-06,False,"[["" it"", 0.4604], ["" color"", 0.0659], ["" of"", 0.0642], ["" the"", 0.0625], ["","", 0.0187], ["" colors"", 0.0184], ["" people"", 0.0184], ["" a"", 0.0179], ["" many"", 0.0146], ["" we"", 0.0143]]","[["" it"", 0.4604], ["" color"", 0.066], ["" of"", 0.0643], ["" the"", 0.0625], ["","", 0.0187], ["" people"", 0.0184], ["" colors"", 0.0184], ["" a"", 0.0179], ["" many"", 0.0146], ["" we"", 0.0143]]","[["" it"", 0.4607], ["" color"", 0.0658], ["" of"", 0.0641], ["" the"", 0.0625], ["","", 0.0187], ["" people"", 0.0184], ["" colors"", 0.0183], ["" a"", 0.0179], ["" many"", 0.0146], ["" we"", 0.0143]]",20112,9.909121651153221
