compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
keyboard_navigation,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",3e-06,0.0,3e-06,False,False,8050,8.993551586299981
focus_indicator,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",1.1e-05,3e-06,8e-06,False,False,1261,7.140453043101158
section_heading,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",1.3e-05,2e-06,1.1e-05,False,False,6949,8.846496938558838
text_alternative,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",5e-06,1e-06,4.000000000000001e-06,False,False,1852,7.52456122628536
sensory_characteristics,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",5e-06,1e-06,4.000000000000001e-06,False,False,11206,9.324293862052027
target_size,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",5e-05,1.4e-05,3.6e-05,False,False,21981,9.997979215628845
drag_movement,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",9e-06,3e-06,6e-06,False,False,328,5.796057750765372
focus_appearance,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",2.7e-05,8e-06,1.9e-05,False,False,102,4.634728988229636
consistent_help,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",1e-05,3e-06,7.000000000000001e-06,False,False,504,6.224558429275359
redundant_entry,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",1e-05,2e-06,8.000000000000001e-06,False,False,205,5.327876168789581
