prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a software program that reads aloud the contents of a computer screen. Screen readers are used by visually impaired users to access the contents of a computer screen. A screen reader may be used to read aloud the contents of a computer screen, a word processing document, a spreadsheet, a web page, or any other type of document.
A screen reader may be used to read aloud the contents of a computer screen in a variety of ways. For example, a screen reader may read aloud the contents of a",100,EleutherAI/pythia-12b
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"Web Content Accessibility Guidelines. It is a set of guidelines that help web developers make their websites accessible to people with disabilities.

WCAG 2.0 is the latest version of the guidelines. It is a set of guidelines that help web developers make their websites accessible to people with disabilities.

WCAG 2.0 is a set of guidelines that help web developers make their websites accessible to people with disabilities.

WCAG 2.0 is a set of guidelines that help web developers",100,EleutherAI/pythia-12b
decl_skip_link_001,skip link,declarative,cloze,A skip link is,a link that is not a link. It is a link that is not a link. It is a link that is not a link. It is a link that is not a link. It is a link that is not a link. It is a link that is not a link. It is a link that is not a link. It is a link that is not a link. It is a link that is not a link. It is a link that is not a link. It is,100,EleutherAI/pythia-12b
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a description of an image that is not visible to the human eye. This description is used by search engines to index the image.

The alt text should be descriptive, and should not be a duplicate of the image's title.

The alt text should be a short description of the image.

The alt text should be a short description of the image.

The alt text should be a short description of the image.

The alt text should be a short",100,EleutherAI/pythia-12b
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"the Australian Retail Industry Association. It is the peak body for the retail industry in Australia. ARIA is a not-for-profit organisation that represents the interests of the retail industry.

ARIA is the peak body for the retail industry in Australia. ARIA is a not-for-profit organisation that represents the interests of the retail industry.

ARIA is the peak body for the retail industry in Australia. ARIA is a not-for-profit organisation that represents the interests",100,EleutherAI/pythia-12b
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a device that is used to indicate the direction of a beam of light. The beam of light may be a laser beam, a light beam from a light emitting diode (LED), or any other suitable beam of light. The beam of light may be used to indicate the direction of a laser beam, for example, to indicate the direction of a laser beam used in a laser beam pointing system.
A laser beam pointing system is a system that is used to aim a laser beam at a target.",100,EleutherAI/pythia-12b
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"a user to move a cursor and/or select a command on a computer display. In some cases, the user may be able to select a command by pressing a key on a keyboard. In other cases, the user may be able to select a command by moving a cursor to a location on the display and pressing a key on the keyboard. In some cases, the user may be able to select a command by pressing a key on the keyboard and moving the cursor to a location on the display.",100,EleutherAI/pythia-12b
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it helps you to see the differences between colors. It is also important because it helps you to see the differences between colors.

Color contrast is important because it helps you to see the differences between colors. It is also important because it helps you to see the differences between colors.

Color contrast is important because it helps you to see the differences between colors. It is also important because it helps you to see the differences between colors.

Color contrast is important because it helps you to",100,EleutherAI/pythia-12b
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you to create semantic, semantic-rich, and semantic-rich-rich web pages. It is a set of HTML tags that help you to create semantic web pages. It is a set of HTML tags that help you to create semantic, semantic-rich, and semantic-rich-rich web pages. It is a set of HTML tags that help you to create semantic, semantic-rich, and semantic-rich-rich web pages. It is a set of HTML tags that help you to create",100,EleutherAI/pythia-12b
decl_captions_001,captions,declarative,cloze,Captions are used for,"a variety of purposes. For example, captions are used to provide information about the content of a video. For example, a caption may be used to provide information about the content of a video, such as the name of a movie, a song, a book, a play, a poem, a painting, a photograph, a sculpture, a building, a place, a person, a character, a group of people, a scene, a time period, a historical event, a political event",100,EleutherAI/pythia-12b
