prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,5.0619,1.9743,7.7863,1.9743,EleutherAI/pythia-1b
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,4.5156,3.8056,6.8489,0.2231,EleutherAI/pythia-1b
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,4.8871,1.7148,7.7863,1.7148,EleutherAI/pythia-1b
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.6916,1.4418,7.8868,0.1286,EleutherAI/pythia-1b
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,5.2287,5.4556,6.8659,2.2643,EleutherAI/pythia-1b
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.6775,2.9225,7.7863,1.7434,EleutherAI/pythia-1b
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.7934,3.1361,6.8489,2.1799,EleutherAI/pythia-1b
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,4.2597,3.7707,6.8489,1.5422,EleutherAI/pythia-1b
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,4.7559,3.0579,6.9916,2.3009,EleutherAI/pythia-1b
decl_captions_001,captions,declarative,cloze,Captions are used for,6,4.2742,5.346,6.8489,2.1092,EleutherAI/pythia-1b
eval_alt_text_001,alt text,evaluative,code_review,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,3.9151,4.4596,7.8868,0.4801,EleutherAI/pythia-1b
eval_div_onclick_001,semantic HTML,evaluative,code_review,A <div> with onclick is not accessible because,11,4.3546,2.6133,7.7863,1.5357,EleutherAI/pythia-1b
eval_empty_link_001,empty link,evaluative,code_review,The accessibility problem with <a href='#'></a> is,14,3.7329,4.9863,7.8868,0.0417,EleutherAI/pythia-1b
eval_unlabeled_input_001,form label,evaluative,code_review,<input type='text'> needs a,9,3.0817,5.1898,6.8489,0.3713,EleutherAI/pythia-1b
eval_click_here_001,link text,evaluative,code_review,A button that only says 'Click here' is bad because,13,4.5981,3.1567,7.7863,1.7252,EleutherAI/pythia-1b
comp_alt_text_few_shot_001,alt text,completion,few_shot,"<img src=""icons/home.png"" alt=""Home""><img src=""icons/mail.png"" alt=""Inbox""><img src=""photo.jpg""",36,1.4577,0.3321,6.8489,0.0095,EleutherAI/pythia-1b
comp_alt_text_bare_001,alt text,completion,bare,"<img src=""photo.jpg""",9,2.6555,2.3659,6.8489,0.7667,EleutherAI/pythia-1b
comp_captions_few_shot_001,captions,completion,few_shot,"<video src=""intro.mp4""><track kind=""captions"" src=""intro.vtt""></video><video src=""demo.mp4""><track kind=""captions"" src=""demo.vtt""></video><video src=""lecture.mp4"">",57,1.4934,3.294,6.8489,0.0107,EleutherAI/pythia-1b
comp_captions_bare_001,captions,completion,bare,"<video src=""lecture.mp4"">",11,2.23,1.1337,6.8489,0.4599,EleutherAI/pythia-1b
comp_page_title_few_shot_001,page title,completion,few_shot,<html><head><title>About Us</title></head><html><head><title>Contact</title></head><html><head>,31,1.5777,5.6515,7.5682,0.0115,EleutherAI/pythia-1b
comp_page_title_bare_001,page title,completion,bare,"<html><head><meta charset=""utf-8"">",13,1.6231,0.8697,6.8489,0.0013,EleutherAI/pythia-1b
comp_script_bare_001,script,completion,bare,<script,3,4.3898,1.4953,6.8489,1.4953,EleutherAI/pythia-1b
comp_script_few_shot_001,script,completion,few_shot,"<script src=""utils.js""></script><script src=""main.js""></script><script src=""",23,1.7033,7.0451,7.1323,0.0041,EleutherAI/pythia-1b
hypo_alt_text_direct_001,alt text,hypothesis,direct_question,Look at this HTML: <img src='portrait.jpg'>. What specific attribute is missing to make it accessible?,26,3.3105,3.8867,6.8489,0.68,EleutherAI/pythia-1b
hypo_alt_text_correction_001,alt text,hypothesis,error_correction,Correct the following inaccessible code: <img src='logo.png'>,15,3.9392,3.4612,7.0087,1.0206,EleutherAI/pythia-1b
hypo_alt_text_socratic_001,alt text,hypothesis,socratic,A screen reader is software that reads text aloud. Why would a screen reader fail to describe this tag: <img src='chart.svg'>?,31,3.4426,3.9564,7.7863,0.2699,EleutherAI/pythia-1b
valid_alt_text_direct_001,alt text,validation,direct_question,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,3.9151,4.4596,7.8868,0.4801,EleutherAI/pythia-1b
valid_alt_text_instruction_001,alt text,validation,instruction,What accessibility attribute is missing from this HTML: <img src='photo.jpg'>?,19,3.4672,1.3875,6.8489,0.7556,EleutherAI/pythia-1b
valid_screen_reader_socratic_001,screen reader,validation,socratic,A screen reader is software that reads text aloud. Why would it fail to describe <img src='chart.svg'>?,26,3.3706,3.5417,7.7863,1.2188,EleutherAI/pythia-1b
valid_aria_confab_001,ARIA,validation,cloze,ARIA stands for,5,5.2287,5.4556,6.8659,2.2643,EleutherAI/pythia-1b
valid_html_confab_001,HTML,validation,cloze,HTML stands for,4,3.0595,0.519,6.8489,0.1836,EleutherAI/pythia-1b
ctrl_cc_cloze_001,closed captions,control,cloze,Closed captions display,5,4.782,5.683,6.8489,0.3327,EleutherAI/pythia-1b
ctrl_contrast_cloze_001,color contrast,control,cloze,Color contrast is important because,6,4.2597,3.7707,6.8489,1.5422,EleutherAI/pythia-1b
ctrl_title_cloze_001,page title,control,cloze,A page title describes,5,5.1185,1.9605,7.7863,1.9605,EleutherAI/pythia-1b
ctrl_cc_direct_001,closed captions,control,direct_question,What are closed captions?,7,3.6553,1.6296,6.8489,0.7554,EleutherAI/pythia-1b
ctrl_contrast_direct_001,color contrast,control,direct_question,What is color contrast?,6,4.6165,2.746,6.8489,2.746,EleutherAI/pythia-1b
ctrl_title_direct_001,page title,control,direct_question,What is a page title?,7,4.6384,1.3865,8.3774,1.3865,EleutherAI/pythia-1b
ctrl_cc_instruction_001,closed captions,control,instruction,Explain closed captions to a web developer.,11,4.1636,3.1532,6.8489,0.4141,EleutherAI/pythia-1b
ctrl_contrast_instruction_001,color contrast,control,instruction,Explain color contrast to a web developer.,10,4.5433,3.5747,6.8489,2.7339,EleutherAI/pythia-1b
ctrl_title_instruction_001,page title,control,instruction,Explain page titles to a web developer.,10,4.7687,4.1452,6.8489,3.411,EleutherAI/pythia-1b
ctrl_cc_evaluative_001,closed captions,control,evaluative,A video without closed captions is not accessible because,11,4.083,2.9816,7.7863,0.243,EleutherAI/pythia-1b
ctrl_contrast_evaluative_001,color contrast,control,evaluative,Text with low color contrast is not accessible because,10,4.4717,2.4684,7.05,2.4684,EleutherAI/pythia-1b
ctrl_title_evaluative_001,page title,control,evaluative,A web page without a title is not accessible because,11,4.6136,2.612,7.7863,2.5659,EleutherAI/pythia-1b
ctrl_cc_scenario_001,closed captions,control,scenario,"A deaf user is watching a video on a website. Without closed captions, the user",19,4.0118,3.1356,7.7863,0.1844,EleutherAI/pythia-1b
