compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
keyboard_navigation,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",0.001093,0.000393,0.0007,False,False,8050,8.993551586299981
focus_indicator,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",2e-05,-0.0,2e-05,False,False,1261,7.140453043101158
section_heading,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",1.5e-05,0.0,1.5e-05,False,False,6949,8.846496938558838
text_alternative,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",1.2e-05,0.0,1.2e-05,False,False,1852,7.52456122628536
sensory_characteristics,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",3.2e-05,2e-06,2.9999999999999997e-05,False,False,11206,9.324293862052027
target_size,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",3.5e-05,2e-06,3.2999999999999996e-05,False,False,21981,9.997979215628845
drag_movement,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",2e-05,0.0,2e-05,False,False,328,5.796057750765372
focus_appearance,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",5.7e-05,0.0,5.7e-05,False,False,102,4.634728988229636
consistent_help,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",5e-05,1e-06,4.9000000000000005e-05,False,False,504,6.224558429275359
redundant_entry,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",1.1e-05,1e-06,9.999999999999999e-06,False,False,205,5.327876168789581
accessible_authentication,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",9.8e-05,6e-06,9.2e-05,False,False,3,1.3862943611198906
error_identification,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",2.9e-05,0.0,2.9e-05,False,False,1566,7.356918242356021
character_key,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",3.5e-05,0.0,3.5e-05,False,False,1974,7.588323677335222
accessibility_tree,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",7.2e-05,1e-06,7.1e-05,False,False,1307,7.176254532017143
accessible_name,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",5.4e-05,4e-06,4.9999999999999996e-05,False,False,1619,7.3901814282264295
accessible_description,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",1.8e-05,1e-06,1.7e-05,False,False,716,6.57507584059962
radio_group,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",3.4e-05,1e-06,3.3e-05,False,False,6694,8.809116258125272
tree_grid,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",2.8e-05,0.0,2.8e-05,False,False,865,6.763884908562435
menu_bar,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",2.3e-05,0.0,2.3e-05,False,False,106878,11.579452632439276
combo_box,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",1.1e-05,1e-06,9.999999999999999e-06,False,False,50410,10.82796468421378
semantic_markup,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",2.6e-05,2e-06,2.3999999999999997e-05,False,False,4776,8.471568013389962
text_formatting,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",0.000386,1e-06,0.000385,False,False,28514,10.258185543590638
cognitive_disabilities,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",8e-06,4e-06,4e-06,False,False,10189,9.229162126216771
decorative_image,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",1.7e-05,4e-06,1.3000000000000001e-05,False,False,749,6.620073206530356
informative_image,pythia-12b,natural,"[(26, 37), (34, 36), (30, 13), (29, 6), (33, 9)]","[(26, 14), (34, 2), (30, 19), (29, 32), (33, 7)]",5.4e-05,8e-06,4.6e-05,False,False,520,6.255750041753367
