suite,scale,model,prompt_id,pair_id,concept,polarity,paired_with,prompt_type,template_type,prompt,output,max_tokens
gpt2,355M,gpt2-medium,evalp_alt_text_primary_violation,alt_text_primary,alt text,violation,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled. This example is intended for use with the <a href=""http://www.w3.org/TR/html4/loose.dtd"">HTML4 Loose DTD</a> specification. It is not intended for use with the <a href=""http://www.w3.org/TR/html4/strict.dtd"">Strict DTD</a> specification.</p><p>This example is intended for use with the <a",100
gpt2,355M,gpt2-medium,evalp_alt_text_primary_conformant,alt_text_primary,alt text,conformant,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p><p>This example is disabled by default. To enable it, add the following code to your app's manifest: <uses-permission android:name=""android.permission.INTERNET"" /></p><p>This example is disabled by default. To enable it, add the following code to your app's manifest: <uses-permission android:name=""android.permission.INTERNET"" /></p><p>This example is disabled by default",100
gpt2,355M,gpt2-medium,evalp_captions_primary_violation,captions_primary,closed captions,violation,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not accessible.""</p><p>The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible.",100
gpt2,355M,gpt2-medium,evalp_captions_primary_conformant,captions_primary,closed captions,conformant,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as", 'not accessible'.</p><p>The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible.,100
gpt2,355M,gpt2-medium,evalp_contrast_primary_violation,color_contrast_primary,color contrast,violation,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p><p>This example is disabled by default. To enable it, add the following code to your page: <p style='color:#999999; background:#ffffff'> <a href='javascript:void(0);' onclick='javascript:void(0);'><img src='http://www.google.com/images/download/jsapi/jsapi.gif' alt='Google Chrome' width='600px' height='400px' style",100
gpt2,355M,gpt2-medium,evalp_contrast_primary_conformant,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p><p>This example is disabled by default. To enable it, add the following code to your page: <p style='color:#767676; background:#ffffff'> <a href='javascript:void(0);' onclick='javascript:void(0);'><img src='http://www.google.com/images/pages/privacy-policy.png' alt='Privacy Policy' width='100%' border='0' /></a",100
gpt2,355M,gpt2-medium,evalp_focus_indicator_primary_violation,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.

<button class='buy'>Buy now</button><style>.buy:disabled { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as disabled.

<button class='buy'>Buy now</button><style>.buy:disabled:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as disabled.

<button",100
gpt2,355M,gpt2-medium,evalp_focus_indicator_primary_conformant,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled. If you are using this example, please mark it as disabled.</p>

<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as disabled. If you are using this example, please mark it as disabled.</p>

<button class='buy'>Buy",100
gpt2,355M,gpt2-medium,evalp_keyboard_navigation_primary_violation,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p>

<p>If you are using a different form, you can use the <input type='hidden' name='disabled' value='true' /> tag to indicate that you are disabled.

<p>If you are using a different form, you can use the <input type='hidden' name='disabled' value='false' /> tag to indicate that you are disabled.

<p>If you are using a different form, you can",100
gpt2,355M,gpt2-medium,evalp_keyboard_navigation_primary_conformant,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p>

<p>If you are using a different form, you can use the <input type='hidden' name='disabled' value='true' /> tag to indicate that you are disabled.

<p>If you are using a different form, you can use the <input type='hidden' name='disabled' value='false' /> tag to indicate that you are disabled.

<p>If you are using a different form, you can",100
