"id","severity","finding","detail","evidence","","","","","","","","","","","","","","",""
"F1","BLOCKER","Paper §2 completion-paradox sign test contradicts frozen data","paper/sections/02: 'completion accuracy exceeds declarative accuracy at all ten suite-by-scale points (sign test, p ≈ .001)'. completion_paradox.csv gives 6/10 at suite×scale (p=0.377); 4/10 are ties and pythia-6.9B/gpt2-774M REVERSE on captions (0% completion vs 50% declarative). At concept×scale level: 10/40 strictly greater.","results/analysis/completion_paradox.csv","","","","","","","","","","","","","","",""
"F2","BLOCKER","Evidence for claims A4/A5/D6 is not in the working tree","commit ca01b59 ('rearrange results directory structure', 2026-08-05) deleted 45 files incl. pythia-2.8b-head-characterization.csv, -collocation.csv, -candidate-heads.csv, -multihead-ablation.csv, all 10 *-binding.csv and all *-expansion-results.csv. They survive only in git history at ca01b59^. CLAIMS.md still marks A4/A5/D6 NAILED against those paths.","git ca01b59","","","","","","","","","","","","","","",""
"F3","MAJOR","Third model family (OLMo 2) is absent from the entire claims/paper layer","results/{frequency,entropy}/olmo hold 3 OLMo-2 models x 92 prompts + entropy + Spearman merges. 'olmo' appears 0 times in CLAIMS.md, 0 in DECISIONS.md, 0 in all paper body sections. The project brief names OLMo 2 as one of three studied families.","results/frequency/olmo/, results/entropy/olmo/","","","","","","","","","","","","","","",""
"F4","MAJOR","Two contradictory Spearman rho for the same OLMo-2-0425-1B run","results/olmo/..._spearman_result.md reports rho=0.4819; results/frequency/olmo/..._spearman_result.md reports rho=0.3288 with revision stage1-step990000. Both recomputed from their own merged CSVs and reproduce; the merged files differ on mean_accuracy for 18 of 49 compounds. No DECISIONS entry adjudicates.","results/olmo/ vs results/frequency/olmo/","","","","","","","","","","","","","","",""
"F5","MAJOR","spearman_summary.csv disagrees with every other frequency artifact and with the paper","summary bigram_spearman = 0.5785 (pythia) / 0.5021 (gpt2). spearman_partial.raw_rho, spearman_pmi_robustness.rawbigram, CLAIMS A3 and paper §3 all use 0.5715 / 0.5052. The summary table is the odd one out and is the file most likely to be cited as canonical.","results/frequency/spearman_summary.csv","","","","","","","","","","","","","","",""
"F6","MAJOR","B4 regression counts do not reproduce under the definition as written","CLAIMS B4: 'regress from correct/partial at an intermediate scale to incorrect at maximum scale' = 4 Pythia / 2 GPT-2 / 1 both. Recomputed from per_concept_trajectories.csv: correct-or-partial gives 7 / 6 / 4; correct-only gives 4 / 2 / 1. The inked numbers correspond to correct-only, so the claim text is wrong, not the count.","results/analysis/per_concept_trajectories.csv","","","","","","","","","","","","","","",""
"F7","MODERATE","binding-gpt2 / binding-pythia / binding-olmo notebooks are byte-identical","sha256 efc31e53...  All three load pythia-160m only; no gpt2 or OLMo model reference appears in any of them. Same pattern for frequency-gpt2 vs frequency-pythia (sha c1890972...).","notebooks/","","","","","","","","","","","","","","",""
"F8","MODERATE","Stale/duplicate result copies with no canonical marker","results/olmo/ duplicates 4 files from results/frequency/olmo/ with DIFFERING content (output column differs on 91-92 of 92 rows). 'OLMo-2-0425-1B-results (1).csv' is a browser-download duplicate that differs from its sibling. results/{frequency,mlp}/pythia 160m+410m skip_link_competition.csv are byte-identical copies.","results/olmo/, results/frequency/olmo/","","","","","","","","","","","","","","",""
"F9","MODERATE","OLMo scale series is confounded by training-token budget","1B was read at step 990000 / 2077B tokens; 7B at step 99000 / 416B; 13B at step 99000 / 831B. Parameters increase while tokens seen move inversely, so any OLMo 'scaling' statement mixes two variables.","*_spearman_result.md revisions","","","","","","","","","","","","","","",""
"F10","MINOR","Nine documentation pointers in CLAIMS.md/DECISIONS.md resolve to nothing","binding-reframe-draft.md, coding-criteria-draft.md, notebooks/lexical-head-l29h7.ipynb, docs/superpowers/specs/2026-06-29-multihead-lexical-ablation-design.md, results/paper1-replication/ (now results/adhoc/gap-paper-replication/), results/d8_frequency_prior/ (now results/adhoc/d8_frequency_prior/), blind-study/, data/all_prompts.yml, paper/sections/figures/.","docs/findings/CLAIMS.md, DECISIONS.md","","","","","","","","","","","","","","",""
"F11","MINOR","Appendix A.1 ships an unpopulated table placeholder","'<!-- TABLE PLACEHOLDER — populate from the head-audit results at promotion. -->' — and the head-audit CSV that would populate it is the file deleted in F2.","paper/sections/11-appendix.md","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
