suite,scale,model,prompt_id,pair_id,concept,polarity,paired_with,prompt_type,template_type,prompt,output,max_tokens
pythia,410M,pythia-410m,evalp_alt_text_primary_violation,alt_text_primary,alt text,violation,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a bug.</p><p>This example is a simple soap-based dish soap. It is designed to be used with a dish soap dispenser.</p><p>The soap is made of a single ingredient, water. The soap is designed to be used with a dish soap dispenser.</p><p>The soap is designed to be used with a dish soap dispenser.</p><p>The soap is designed to be used with a dish soap dispenser.</p><p>",100
pythia,410M,pythia-410m,evalp_alt_text_primary_conformant,alt_text_primary,alt text,conformant,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as", a bug.</p><p>The code is a simple example of a <a href='https://github.com/james-w-williams/heavy-duty-dish-soap'>Heavy-Duty Dish Soap</a>.</p><p>The code is a simple example of a <a href='https://github.com/james-w-williams/heavy-duty-dish-soap'>Heavy,100
pythia,410M,pythia-410m,evalp_captions_primary_violation,captions_primary,closed captions,violation,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a bug.

<p>

<h3>See also</h3><ul><li><a href='http://www.w3.org/TR/css3-selectors/#selectors'>CSS3 selectors</a></li><li><a href='http://www.w3.org/TR/css3-selectors/#selectors-with-pseudo-elements'>CSS selectors with pseudo-elements</a></li><",100
pythia,410M,pythia-410m,evalp_captions_primary_conformant,captions_primary,closed captions,conformant,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," an example of a cell division. The code is not intended to be used as a reference for cell division.</p>
<p>The code is not intended to be used as a reference for cell division. The code is not intended to be used as a reference for cell division. The code is not intended to be used as a reference for cell division. The code is not intended to be used as a reference for cell division. The code is not intended to be used as a reference for",100
pythia,410M,pythia-410m,evalp_contrast_primary_violation,color_contrast_primary,color contrast,violation,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a bug.</p><p>This example is a simple example of how to use the <a href=""http://www.w3.org/TR/wai-aria-1-1/#aria-controls"">aria-controls</a> attribute.</p><p>The <a href=""http://www.w3.org/TR/wai-aria-1-1/#aria-controls"">aria-controls</a> attribute is used to control the visibility",100
pythia,410M,pythia-410m,evalp_contrast_primary_conformant,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a bug.</p><p>This example is a simple example of how to use the <a href=""http://www.w3.org/TR/wai-aria-1-1/#aria-controls"">aria-controls</a> attribute.</p><p>The <a href=""http://www.w3.org/TR/wai-aria-1-1/#aria-controls"">aria-controls</a> attribute is used to control the visibility",100
pythia,410M,pythia-410m,evalp_focus_indicator_primary_violation,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a bug.</p>
",100
pythia,410M,pythia-410m,evalp_focus_indicator_primary_conformant,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as", a bug.</p>,100
pythia,410M,pythia-410m,evalp_keyboard_navigation_primary_violation,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a bug.

<p>

<h2>

<a href='https://github.com/james-w/Accessibility-UI/issues/new'>New issue</a>

</h2>

<p>

<a href='https://github.com/james-w/Accessibility-UI/issues/new'>New issue</a>

</p>

<p>

<",100
pythia,410M,pythia-410m,evalp_keyboard_navigation_primary_conformant,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a bug.

<p>

<h2>

<a href='https://github.com/james-kirby/Accessibility-UI/issues/new'>New issue</a>

</h2>

<p>

<a href='https://github.com/james-kirby/Accessibility-UI/issues/new'>New issue</a>

</p>

<p",100
pythia,410M,pythia-410m,evalp_semantic_html_primary_violation,semantic_html_primary,semantic HTML,violation,decl_semantic_html_001,evaluative_paired,neutral_review,"<div class='heading'>Shipping information</div><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a valid example.</p><p>This example is a simple example of how to use the <code>shipping</code> attribute to specify the shipping method.</p><p>The shipping method is specified as a string, and the shipping address is specified as a string.</p><p>The shipping address is specified as a string, and the shipping method is specified as a string.</p><p>The shipping method is specified as a string, and the shipping address is specified as",100
pythia,410M,pythia-410m,evalp_semantic_html_primary_conformant,semantic_html_primary,semantic HTML,conformant,decl_semantic_html_001,evaluative_paired,neutral_review,"<h2>Shipping information</h2><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," a ""highly recommended"" example.</p><p>If you have any questions, please contact us at support@shippable.com.</p>",100
pythia,410M,pythia-410m,evalp_skip_link_primary_violation,skip_link_primary,skip link,violation,decl_skip_link_001,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no way to bypass the menu. Based only on this description, an accessibility reviewer should mark the page as"," having a menu.

The menu is a link to the main content. The menu is a link to the main content.

The menu is a link to the main content.

The menu is a link to the main content.

The menu is a link to the main content.

The menu is a link to the main content.

The menu is a link to the main content.

The menu is a link to the main content.

",100
pythia,410M,pythia-410m,evalp_skip_link_primary_conformant,skip_link_primary,skip link,conformant,decl_skip_link_001,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as"," having a navigation menu.

The navigation menu is a link to the main content. The navigation menu is a link to the main content.

The navigation menu is a link to the main content.

The navigation menu is a link to the main content.

The navigation menu is a link to the main content.

The navigation menu is a link to the main content.

The navigation menu is a link to the main content.

The navigation menu is",100
pythia,410M,pythia-410m,evalp_screen_reader_primary_violation,screen_reader_primary,screen reader,violation,decl_screen_reader_001,evaluative_paired,neutral_review,"<main aria-hidden='true'><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as", completed.</p><p>The order status is: <code>completed</code>.</p><p>The order status is: <code>completed</code>.</p><p>The order status is: <code>completed</code>.</p><p>The order status is: <code>completed</code>.</p><p>The order status is: <code>completed</code>.</p><p>The order status is: <code>completed,100
pythia,410M,pythia-410m,evalp_screen_reader_primary_conformant,screen_reader_primary,screen reader,conformant,decl_screen_reader_001,evaluative_paired,neutral_review,"<main><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as", completed.</p><p>The order status is: <code>completed</code></p><p>The order status is: <code>completed</code></p><p>The order status is: <code>completed</code></p><p>The order status is: <code>completed</code></p><p>The order status is: <code>completed</code></p><p>The order status is: <code>completed</code></p><,100
