suite,scale,model,prompt_id,pair_id,concept,polarity,paired_with,prompt_type,template_type,prompt,output,max_tokens
pythia,6.9B,pythia-6.9b,evalp_alt_text_primary_violation,alt_text_primary,alt text,violation,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a high level of accessibility. The text is large enough to be read by a screen reader, and the images are large enough to be seen by a screen reader. The page is also well-structured, with headings and a table of contents. The page is also well-structured, with headings and a table of contents. The page is also well-structured, with headings and a table of contents. The page is also well-structured, with headings and a table of",100
pythia,6.9B,pythia-6.9b,evalp_alt_text_primary_conformant,alt_text_primary,alt text,conformant,decl_alt_text_001,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a high level of visual contrast. The text is not large enough to be read by a screen reader, and the background is not high enough contrast to be seen by a person with low vision. The text is also not large enough to be read by a screen reader, and the background is not high enough contrast to be seen by a person with low vision. The text is not large enough to be read by a screen reader, and the background is not high enough contrast to be seen by a",100
pythia,6.9B,pythia-6.9b,evalp_captions_primary_violation,captions_primary,closed captions,violation,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as", having a high level of accessibility. The code is written in a way that is easy to understand and follow. The code is well commented and the code is well structured. The code is written in a way that is easy to understand and follow. The code is well commented and the code is well structured. The code is written in a way that is easy to understand and follow. The code is well commented and the code is well structured. The code is written in a way that is easy to understand,100
pythia,6.9B,pythia-6.9b,evalp_captions_primary_conformant,captions_primary,closed captions,conformant,decl_captions_001,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <strong>Level A</strong>.</p>

<p>The code for this example is available in the <a href='https://github.com/w3c/aria-practices/tree/master/examples/aria-examples'>examples/aria-examples</a> directory of the <a href='https://github.com/w3c/aria-practices'>aria-practices</a> repository on GitHub.</p>",100
pythia,6.9B,pythia-6.9b,evalp_contrast_primary_violation,color_contrast_primary,color contrast,violation,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <strong>OK</strong>.</p>

<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as <strong>OK</strong>.</p>

<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as",100
pythia,6.9B,pythia-6.9b,evalp_contrast_primary_conformant,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <strong>OK</strong>.</p>

<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as <strong>OK</strong>.</p>

<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as",100
pythia,6.9B,pythia-6.9b,evalp_focus_indicator_primary_violation,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <strong>WAI-ARIA-non-conformant</strong>.</p>

<p>The <code>buy</code> element is used to indicate that the user can buy something. The <code>buy</code> element is used to indicate that the user can buy something. The <code>buy</code> element is used to indicate that the user can buy something. The <code>buy</code> element is used to indicate that the",100
pythia,6.9B,pythia-6.9b,evalp_focus_indicator_primary_conformant,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <strong>Level A</strong>.</p>

<p>The <code>button</code> element has a <code>class</code> attribute that can be used to add a CSS class to the element. The <code>class</code> attribute can be used to add a CSS class to the element. The <code>class</code> attribute can be used to add a CSS class to the element. The <code>class</code> attribute can",100
pythia,6.9B,pythia-6.9b,evalp_keyboard_navigation_primary_violation,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <strong>Incomplete</strong>.</p>
",100
pythia,6.9B,pythia-6.9b,evalp_keyboard_navigation_primary_conformant,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," <strong>fail</strong>.</p>
",100
pythia,6.9B,pythia-6.9b,evalp_semantic_html_primary_violation,semantic_html_primary,semantic HTML,violation,decl_semantic_html_001,evaluative_paired,neutral_review,"<div class='heading'>Shipping information</div><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as", having a level of <strong>A</strong> accessibility. This example has a level of <strong>A</strong> accessibility.</p><p>This example has a level of <strong>A</strong> accessibility.</p><p>This example has a level of <strong>A</strong> accessibility.</p><p>This example has a level of <strong>A</strong> accessibility.</p><p>This example has a level of <strong>A</,100
pythia,6.9B,pythia-6.9b,evalp_semantic_html_primary_conformant,semantic_html_primary,semantic HTML,conformant,decl_semantic_html_001,evaluative_paired,neutral_review,"<h2>Shipping information</h2><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""Incomplete"" or ""Needs work"".</p>
",100
pythia,6.9B,pythia-6.9b,evalp_skip_link_primary_violation,skip_link_primary,skip link,violation,decl_skip_link_001,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no way to bypass the menu. Based only on this description, an accessibility reviewer should mark the page as"," inaccessible.

A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no way to bypass the menu. Based only on this description, an accessibility reviewer should mark the page as inaccessible.

A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no",100
pythia,6.9B,pythia-6.9b,evalp_skip_link_primary_conformant,skip_link_primary,skip link,conformant,decl_skip_link_001,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as"," inaccessible.

A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as inaccessible.

A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as",100
pythia,6.9B,pythia-6.9b,evalp_screen_reader_primary_violation,screen_reader_primary,screen reader,violation,decl_screen_reader_001,evaluative_paired,neutral_review,"<main aria-hidden='true'><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as"," having a high level of accessibility. The text is not hidden, the page is not unreadable, and the page is not difficult to navigate. The page is also not missing any content that is required for the page to function. The page is not missing any content that is required for the page to function. The page is not missing any content that is required for the page to function. The page is not missing any content that is required for the page to function. The page is not missing any",100
pythia,6.9B,pythia-6.9b,evalp_screen_reader_primary_conformant,screen_reader_primary,screen reader,conformant,decl_screen_reader_001,evaluative_paired,neutral_review,"<main><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as", having a high level of accessibility. The code is not written in a way that is friendly to users of assistive technology. The code is not written in a way that is friendly to users of assistive technology. The code is not written in a way that is friendly to users of assistive technology. The code is not written in a way that is friendly to users of assistive technology. The code is not written in a way that is friendly to users of assistive technology. The code is,100
