model,prompt,layer,rank,token,logit
pythia-160m,skip_link,0,0,becoming,8.899
pythia-160m,skip_link,0,1,обы,8.531
pythia-160m,skip_link,0,2,regarded,8.269
pythia-160m,skip_link,0,3,notable,8.256
pythia-160m,skip_link,0,4,starting,8.168
pythia-160m,skip_link,1,0,subject,10.219
pythia-160m,skip_link,1,1,carried,10.001
pythia-160m,skip_link,1,2,�,9.216
pythia-160m,skip_link,1,3,electro,9.19
pythia-160m,skip_link,1,4,usually,9.138
pythia-160m,skip_link,2,0,subject,12.796
pythia-160m,skip_link,2,1,usually,12.167
pythia-160m,skip_link,2,2,referred,12.049
pythia-160m,skip_link,2,3,comprised,12.0
pythia-160m,skip_link,2,4,regarded,11.687
pythia-160m,skip_link,3,0,now,17.632
pythia-160m,skip_link,3,1,,17.364
pythia-160m,skip_link,3,2,,17.362
pythia-160m,skip_link,3,3,,17.362
pythia-160m,skip_link,3,4,,17.36
pythia-160m,skip_link,4,0,always,15.755
pythia-160m,skip_link,4,1,usually,15.437
pythia-160m,skip_link,4,2,,15.004
pythia-160m,skip_link,4,3,,15.0
pythia-160m,skip_link,4,4,,14.999
pythia-160m,skip_link,5,0,,17.009
pythia-160m,skip_link,5,1,,17.006
pythia-160m,skip_link,5,2,,17.005
pythia-160m,skip_link,5,3,,17.004
pythia-160m,skip_link,5,4,,17.004
pythia-160m,skip_link,6,0,simply,17.866
pythia-160m,skip_link,6,1,always,17.575
pythia-160m,skip_link,6,2,typically,17.529
pythia-160m,skip_link,6,3,also,17.505
pythia-160m,skip_link,6,4,usually,17.493
pythia-160m,skip_link,7,0,simply,20.952
pythia-160m,skip_link,7,1,actually,20.531
pythia-160m,skip_link,7,2,always,19.363
pythia-160m,skip_link,7,3,defined,18.54
pythia-160m,skip_link,7,4,joining,18.045
pythia-160m,skip_link,8,0,typically,27.506
pythia-160m,skip_link,8,1,simply,27.24
pythia-160m,skip_link,8,2,usually,26.151
pythia-160m,skip_link,8,3,always,25.781
pythia-160m,skip_link,8,4,often,25.654
pythia-160m,skip_link,9,0,an,34.197
pythia-160m,skip_link,9,1,essentially,33.335
pythia-160m,skip_link,9,2,typically,33.234
pythia-160m,skip_link,9,3,simply,32.936
pythia-160m,skip_link,9,4,shown,32.782
pythia-160m,skip_link,10,0,an,44.426
pythia-160m,skip_link,10,1,a,43.568
pythia-160m,skip_link,10,2,essentially,41.364
pythia-160m,skip_link,10,3,basically,40.264
pythia-160m,skip_link,10,4,usually,38.24
pythia-160m,skip_link,11,0,a,91.611
pythia-160m,skip_link,11,1,an,88.814
pythia-160m,skip_link,11,2,used,81.075
pythia-160m,skip_link,11,3,the,80.322
pythia-160m,skip_link,11,4,required,79.748
pythia-160m,color_contrast,0,0,cities,9.787
pythia-160m,color_contrast,0,1,associations,9.607
pythia-160m,color_contrast,0,2,positivity,9.345
pythia-160m,color_contrast,0,3,programs,9.305
pythia-160m,color_contrast,0,4,programmes,9.267
pythia-160m,color_contrast,1,0,association,11.739
pythia-160m,color_contrast,1,1,otropic,11.709
pythia-160m,color_contrast,1,2,associations,11.547
pythia-160m,color_contrast,1,3,cities,10.847
pythia-160m,color_contrast,1,4,positional,10.801
pythia-160m,color_contrast,2,0,positional,15.42
pythia-160m,color_contrast,2,1,affirmative,13.626
pythia-160m,color_contrast,2,2,hemat,13.069
pythia-160m,color_contrast,2,3,overwhelming,12.205
pythia-160m,color_contrast,2,4,personality,12.135
pythia-160m,color_contrast,3,0,seating,15.653
pythia-160m,color_contrast,3,1,looks,15.116
pythia-160m,color_contrast,3,2,space,14.396
pythia-160m,color_contrast,3,3,increments,14.385
pythia-160m,color_contrast,3,4,positional,13.951
pythia-160m,color_contrast,4,0,often,17.942
pythia-160m,color_contrast,4,1,seating,17.156
pythia-160m,color_contrast,4,2,typically,16.773
pythia-160m,color_contrast,4,3,usually,15.356
pythia-160m,color_contrast,4,4,intrinsic,15.272
pythia-160m,color_contrast,5,0,often,21.121
pythia-160m,color_contrast,5,1,typically,19.895
pythia-160m,color_contrast,5,2,usually,19.33
pythia-160m,color_contrast,5,3,although,18.756
pythia-160m,color_contrast,5,4,introduction,17.357
pythia-160m,color_contrast,6,0,often,21.545
pythia-160m,color_contrast,6,1,�,19.849
pythia-160m,color_contrast,6,2,frequently,19.775
pythia-160m,color_contrast,6,3,typically,19.58
pythia-160m,color_contrast,6,4,many,19.569
pythia-160m,color_contrast,7,0,often,22.36
pythia-160m,color_contrast,7,1,primary,20.346
pythia-160m,color_contrast,7,2,dynamic,19.808
pythia-160m,color_contrast,7,3,�,19.707
pythia-160m,color_contrast,7,4,focal,19.68
pythia-160m,color_contrast,8,0,,41.284
pythia-160m,color_contrast,8,1,,41.206
pythia-160m,color_contrast,8,2,,41.201
pythia-160m,color_contrast,8,3,,41.185
pythia-160m,color_contrast,8,4,,41.183
pythia-160m,color_contrast,9,0,color,41.433
pythia-160m,color_contrast,9,1,it,38.106
pythia-160m,color_contrast,9,2,many,36.242
pythia-160m,color_contrast,9,3,most,35.125
pythia-160m,color_contrast,9,4,colors,34.456
pythia-160m,color_contrast,10,0,color,53.174
pythia-160m,color_contrast,10,1,colors,48.921
pythia-160m,color_contrast,10,2,it,46.065
pythia-160m,color_contrast,10,3,colour,45.104
pythia-160m,color_contrast,10,4,bright,43.216
pythia-160m,color_contrast,11,0,it,118.793
pythia-160m,color_contrast,11,1,color,109.441
pythia-160m,color_contrast,11,2,the,108.26
pythia-160m,color_contrast,11,3,colors,107.594
pythia-160m,color_contrast,11,4,of,107.061
