model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
pythia-1b,skip_link,0,13.656981,21.962831,1.6082,27.078918,0.0
pythia-1b,skip_link,1,10.580035,8.898587,0.8411,28.742159,0.0667
pythia-1b,skip_link,2,9.90281,7.823995,0.7901,33.834084,0.1333
pythia-1b,skip_link,3,11.227442,10.901585,0.971,33.74918,0.2
pythia-1b,skip_link,4,9.910566,11.925409,1.2033,38.565914,0.2667
pythia-1b,skip_link,5,10.153845,13.593727,1.3388,41.162373,0.3333
pythia-1b,skip_link,6,15.337809,16.191278,1.0556,47.070972,0.4
pythia-1b,skip_link,7,7.468044,20.612516,2.7601,48.770992,0.4667
pythia-1b,skip_link,8,5.857292,17.419006,2.9739,48.286541,0.5333
pythia-1b,skip_link,9,15.303245,18.216932,1.1904,50.557457,0.6
pythia-1b,skip_link,10,8.519272,20.164644,2.3669,52.848557,0.6667
pythia-1b,skip_link,11,15.818793,29.753654,1.8809,71.065369,0.7333
pythia-1b,skip_link,12,8.627877,26.904572,3.1183,86.332191,0.8
pythia-1b,skip_link,13,9.455837,29.697691,3.1407,105.266602,0.8667
pythia-1b,skip_link,14,20.301525,34.964943,1.7223,130.894012,0.9333
pythia-1b,skip_link,15,17.656786,63.949078,3.6218,131.938782,1.0
pythia-1b,color_contrast,0,13.093368,22.222815,1.6973,27.669592,0.0
pythia-1b,color_contrast,1,10.32359,8.206433,0.7949,29.517683,0.0667
pythia-1b,color_contrast,2,9.055802,8.737682,0.9649,34.817116,0.1333
pythia-1b,color_contrast,3,11.809937,12.198168,1.0329,36.079514,0.2
pythia-1b,color_contrast,4,7.564401,11.478749,1.5175,36.971817,0.2667
pythia-1b,color_contrast,5,12.378634,14.008924,1.1317,42.625511,0.3333
pythia-1b,color_contrast,6,9.736029,16.0217,1.6456,46.539631,0.4
pythia-1b,color_contrast,7,8.88401,16.258121,1.83,45.177425,0.4667
pythia-1b,color_contrast,8,10.287564,16.15476,1.5703,47.896866,0.5333
pythia-1b,color_contrast,9,11.07726,18.054375,1.6299,51.316265,0.6
pythia-1b,color_contrast,10,8.748454,19.500237,2.229,56.356194,0.6667
pythia-1b,color_contrast,11,22.868742,28.753679,1.2573,81.764328,0.7333
pythia-1b,color_contrast,12,6.901039,27.661774,4.0083,101.198418,0.8
pythia-1b,color_contrast,13,12.921445,26.972824,2.0874,120.717606,0.8667
pythia-1b,color_contrast,14,20.229992,41.317009,2.0424,148.812775,0.9333
pythia-1b,color_contrast,15,16.28709,85.039337,5.2213,151.247726,1.0
