domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,4.4738,1.3733,7.77,1.3733,pythia-12b
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,3.5155,1.35,6.6114,0.1365,pythia-12b
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,4.6209,1.8158,7.77,1.8158,pythia-12b
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.0168,1.308,7.4108,0.1203,pythia-12b
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.2446,4.9313,6.6114,1.5079,pythia-12b
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.5108,3.1525,7.77,1.4742,pythia-12b
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.5174,2.0256,6.6114,2.0256,pythia-12b
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,3.8689,2.7341,6.6114,1.8097,pythia-12b
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,4.5977,3.4847,6.6114,2.5037,pythia-12b
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,7,4.0159,4.4882,6.6114,0.4796,pythia-12b
accessibility,decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,5.338,3.4771,7.77,3.4771,pythia-12b
accessibility,decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,4.6849,3.917,7.77,0.8032,pythia-12b
accessibility,decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,4.9721,2.7914,7.77,2.7914,pythia-12b
accessibility,decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,4.6618,1.8762,6.8072,1.8762,pythia-12b
accessibility,decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,4.3969,3.7158,6.6114,2.2783,pythia-12b
accessibility,decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,5,4.9388,4.9452,6.6114,1.2155,pythia-12b
accessibility,decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,5,5.1647,4.0128,6.8072,3.51,pythia-12b
accessibility,decl_target_size_001,target size,declarative,cloze,A target size is,5,5.7093,3.9449,7.77,3.9449,pythia-12b
accessibility,decl_touch_target_001,touch target,declarative,cloze,A touch target is,5,5.054,3.7759,7.77,2.7473,pythia-12b
accessibility,decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,5,5.2986,3.786,7.77,3.2026,pythia-12b
accessibility,decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,5,4.7118,2.6127,7.77,1.4742,pythia-12b
accessibility,decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,5,5.0147,4.5795,6.9425,2.9772,pythia-12b
accessibility,decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,5,5.6854,3.11,7.77,3.11,pythia-12b
accessibility,decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,5,5.0316,3.3915,7.4535,3.3915,pythia-12b
accessibility,decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,4,4.6089,4.1727,6.6114,3.5836,pythia-12b
accessibility,decl_status_message_001,status message,declarative,cloze,A status message is,5,5.3071,3.4554,7.77,3.4554,pythia-12b
