domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
finance,cash_flow,cash flow,declarative,cloze,Cash flow is,5,5.3796,3.7972,6.6114,3.7972,pythia-12b
finance,balance_sheet,balance sheet,declarative,cloze,A balance sheet is,5,4.5774,2.1907,7.77,2.1907,pythia-12b
finance,journal_entry,journal entry,declarative,cloze,A journal entry is,5,4.966,4.0658,7.77,2.6176,pythia-12b
finance,accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,7,3.6712,4.1082,7.5914,0.1128,pythia-12b
finance,impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,6,4.4864,2.5473,6.6114,1.2509,pythia-12b
finance,yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,6,4.7134,2.4706,6.8937,2.4401,pythia-12b
finance,bond_coupon,bond coupon,declarative,cloze,A bond coupon is,5,5.0963,2.1187,7.77,2.1187,pythia-12b
finance,credit_spread,credit spread,declarative,cloze,A credit spread is,5,4.3864,1.5013,7.77,1.5013,pythia-12b
finance,modified_duration,modified duration,declarative,cloze,Modified duration measures,4,5.3069,2.6622,8.2116,2.6622,pythia-12b
finance,interest_swap,interest swap,declarative,cloze,An interest swap is,5,4.2105,2.1396,6.8072,2.1396,pythia-12b
finance,call_option,call option,declarative,cloze,A call option gives,5,4.0053,1.2955,7.77,1.2955,pythia-12b
finance,commodity_futures,commodity futures,declarative,cloze,Commodity futures are,6,4.835,5.7761,6.6114,1.5818,pythia-12b
finance,currency_hedge,currency hedge,declarative,cloze,A currency hedge is,5,4.9109,2.7753,7.77,2.6721,pythia-12b
finance,implied_volatility,implied volatility,declarative,cloze,Implied volatility refers to,6,3.4319,1.0764,6.804,0.1206,pythia-12b
finance,zero_collar,zero collar,declarative,cloze,A zero collar strategy,5,5.1957,3.4701,7.77,2.0203,pythia-12b
finance,diluted_earnings,diluted earnings,declarative,cloze,Diluted earnings per share is,8,4.3116,3.4715,7.2658,0.6126,pythia-12b
finance,price_ratio,price ratio,declarative,cloze,The price to earnings ratio is,7,4.2201,3.7116,7.4108,1.0087,pythia-12b
finance,preferred_dividend,preferred dividend,declarative,cloze,A preferred dividend is,5,5.3822,2.858,7.77,2.858,pythia-12b
finance,financial_leverage,financial leverage,declarative,cloze,Financial leverage is,4,5.2603,4.2847,6.6114,4.0247,pythia-12b
finance,debt_covenant,debt covenant,declarative,cloze,A debt covenant is,5,4.8414,1.8619,7.77,1.8619,pythia-12b
finance,capital_structure,capital structure,declarative,cloze,Capital structure refers to,6,3.3319,1.0808,6.6114,0.1542,pythia-12b
finance,due_diligence,due diligence,declarative,cloze,Due diligence is,4,3.8329,3.75,6.6114,0.7271,pythia-12b
finance,public_offering,public offering,declarative,cloze,A public offering is,5,5.237,3.6668,7.77,2.8052,pythia-12b
finance,market_liquidity,market liquidity,declarative,cloze,Market liquidity refers to,5,3.5816,0.9609,6.6114,0.1152,pythia-12b
finance,trade_settlement,trade settlement,declarative,cloze,Trade settlement is,5,5.2274,3.3952,6.6114,3.3952,pythia-12b
finance,central_clearing,central clearing,declarative,cloze,Central clearing houses,4,5.3737,3.7182,6.6114,3.7182,pythia-12b
finance,maintenance_margin,maintenance margin,declarative,cloze,A maintenance margin is,5,5.2297,3.5844,7.77,3.5844,pythia-12b
finance,regulatory_compliance,regulatory compliance,declarative,cloze,Regulatory compliance means,5,4.7477,4.7428,6.6114,2.9019,pythia-12b
finance,money_laundering,money laundering,declarative,cloze,Money laundering is,4,5.0854,3.424,6.6114,3.424,pythia-12b
finance,asset_allocation,asset allocation,declarative,cloze,Asset allocation is,4,4.6061,3.0199,6.6114,3.0199,pythia-12b
finance,systemic_risk,systemic risk,declarative,cloze,Systemic risk is,5,4.7628,4.8169,6.6114,2.7623,pythia-12b
finance,stress_test,stress test,declarative,cloze,A stress test is,5,5.0972,3.4246,7.77,3.4246,pythia-12b
finance,credit_default,credit default,declarative,cloze,A credit default is,5,4.1054,2.4278,7.77,0.5939,pythia-12b
finance,stock_market,stock market,declarative,cloze,The stock market is,5,5.3918,5.4582,7.4108,3.1227,pythia-12b
finance,mutual_fund,mutual fund,declarative,cloze,A mutual fund is,5,5.1817,1.7824,7.77,1.7824,pythia-12b
finance,hedge_fund,hedge fund,declarative,cloze,A hedge fund is,5,4.9554,4.3052,7.77,1.6132,pythia-12b
finance,bear_market,bear market,declarative,cloze,A bear market is,5,5.3952,3.9575,7.77,3.2455,pythia-12b
finance,bull_market,bull market,declarative,cloze,A bull market is,5,5.5407,4.6179,7.77,3.8231,pythia-12b
finance,credit_rating,credit rating,declarative,cloze,A credit rating is,5,4.2806,2.3156,7.77,1.5819,pythia-12b
finance,tax_shelter,tax shelter,declarative,cloze,A tax shelter is,5,5.0348,2.2029,7.77,2.2029,pythia-12b
finance,venture_capital,venture capital,declarative,cloze,Venture capital is,6,4.6766,5.0785,6.6114,2.0212,pythia-12b
finance,prime_rate,prime rate,declarative,cloze,The prime rate is,5,4.5487,3.0459,7.4108,2.1362,pythia-12b
finance,fiscal_policy,fiscal policy,declarative,cloze,Fiscal policy refers to,7,3.8367,2.0948,6.6114,0.2825,pythia-12b
finance,trade_deficit,trade deficit,declarative,cloze,A trade deficit occurs when,6,4.0788,1.84,7.77,0.3332,pythia-12b
