prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a software program that reads aloud the text on the screen. It is used by people who are blind or visually impaired. A screen reader can read text from a computer screen, a mobile phone, or a tablet. It can also read text from a website or an app. A screen reader can be used to read text in a variety of formats, including HTML, PDF, and Word.

How to use a screen reader

Screen readers are a great way to access information on the internet. They can",100,OLMo-2-1124-13B
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"the World Wide Web Consortium, which is an international organization that develops guidelines for web accessibility. The WCAG guidelines are the most widely used guidelines for web accessibility. The guidelines are divided into three levels of accessibility, A, AA, and AAA. The higher the level, the more accessible the website is. The WCAG guidelines are constantly updated to reflect new technologies and best practices.

The WCAG guidelines are divided into four main areas of accessibility: perceivability, operability, understandability, and",100,OLMo-2-1124-13B
decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that skips over a section of content. Skip links are used to allow users to skip over sections of content that they don’t need to read. Skip links are often used for users with disabilities, but they can also be used for users who just want to get to the content they need quickly.

Skip links are typically placed at the beginning of a section of content, and they are usually marked with an icon. When a user clicks on a skip link, they are taken to the next section",100,OLMo-2-1124-13B
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a description of the image for people who cannot see it. This is important for people who are blind or visually impaired, as well as for people who have images turned off in their browsers. Alt text is also used by search engines to help them understand the content of a page.

How to add alt text to images

Alt text is added to images in the HTML code of a web page. To add alt text to an image, you need to know the URL of the image and the",100,OLMo-2-1124-13B
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,the Republic of the Congo. The Congo River is the second largest river in the world. The Congo River is the largest river in the world by volume. The Congo River is the deepest river in the world. The Congo River is the second longest river in the world. The Congo River is the second largest river in the world by volume. The Congo River is the deepest river in the world. The Congo River is the second longest river in the world. The Congo River is the second largest river in,100,OLMo-2-1124-13B
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a light that indicates the focus of the lens. It is usually a red dot or a green dot. The red dot indicates that the lens is not focused. The green dot indicates that the lens is focused. The focus indicator is usually located on the lens barrel.

What is the focus indicator on a Nikon camera?

The focus indicator on a Nikon camera is a small red dot that appears in the viewfinder when the lens is focused. The focus indicator is helpful for determining if the lens is focused correctly",100,OLMo-2-1124-13B
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the web page using the keyboard. This is useful for people who are unable to use a mouse or who prefer to use the keyboard. Keyboard navigation is also useful for people who are blind or visually impaired.

Keyboard navigation is enabled by default in Chrome. To disable it, go to Settings > Advanced > Accessibility > Keyboard navigation and uncheck the box next to Enable keyboard navigation for all pages.

Screen reader

A screen reader is a software program that reads aloud the text on the screen",100,OLMo-2-1124-13B
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it helps to make the text readable. The contrast between the text and the background should be at least 4:1. This means that the contrast between the text and the background should be at least 4 times the contrast between the text and the background. For example, if the text is black, the background should be white or light gray. If the text is white, the background should be black or dark gray.

The text should be large enough to be easily read. The text should be",100,OLMo-2-1124-13B
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"search engines to understand the content of your page. It also helps screen readers to read the content of your page. It is a good practice to use semantic HTML in your web pages.

Semantic HTML is the HTML that is used to describe the content of your page. It is used to describe the content of your page. It is used to describe the content of your page. It is used to describe the content of your page. It is used to describe the content of your page. It is used",100,OLMo-2-1124-13B
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"people who are deaf or hard of hearing. Closed captions are also used for people who are watching TV in a crowded room or in a place where there is a lot of background noise. Closed captions are also used for people who are learning English as a second language.

How do I turn on closed captions?

To turn on closed captions, you need to go to the settings on your TV. You can find the settings by pressing the MENU button on your remote control. Once you have found the settings,",100,OLMo-2-1124-13B
