domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
medical,oxygen_saturation,oxygen saturation,declarative,cloze,Oxygen saturation refers to,"the amount of oxygen in the air. The higher the oxygen saturation, the more oxygen is available to the body.

Oxygen saturation is measured in parts per million (ppm). The lower the oxygen saturation, the more oxygen is available to the body.

Oxygen saturation is measured in parts per million (ppm). The lower the oxygen saturation, the more oxygen is available to the body.

Oxygen saturation is measured in parts per million (ppm",100,gpt2-large
medical,body_temperature,body temperature,declarative,cloze,Body temperature is,"a measure of the body's internal temperature. It is measured by placing a thermometer on the skin and measuring the temperature of the skin. The body temperature is measured in degrees Celsius (°C).

Body temperature is measured by placing a thermometer on the skin and measuring the temperature of the skin. The body temperature is measured in degrees Celsius (°C). Body temperature is measured by placing a thermometer on the skin and measuring the temperature of the skin. The body temperature is measured in",100,gpt2-large
medical,platelet_count,platelet count,declarative,cloze,Platelet count measures,"the number of platelets in a blood sample. Platelets are a type of white blood cell that are produced by the immune system. They are important in the fight against infection and inflammation.

Platelets are produced by the immune system. They are important in the fight against infection and inflammation. Platelets are produced by the immune system. They are important in the fight against infection and inflammation. Platelets are produced by the immune system. They are important in the fight against infection and inflammation",100,gpt2-large
medical,metabolic_panel,metabolic panel,declarative,cloze,A metabolic panel is,"a tool that can be used to assess the metabolic status of a person. It is a tool that can be used to assess the metabolic status of a person.

The metabolic panel is a tool that can be used to assess the metabolic status of a person. It is a tool that can be used to assess the metabolic status of a person.

The metabolic panel is a tool that can be used to assess the metabolic status of a person. It is a tool that can be used to",100,gpt2-large
medical,bacterial_infection,bacterial infection,declarative,cloze,A bacterial infection is caused by,"a virus that infects the body's cells. The virus then causes the body's cells to produce a protein that causes the body to become inflamed.

The symptoms of a bacterial infection include:

Fever

Chills

Muscle aches

Nausea

Vomiting

The symptoms of a viral infection include:

Fever

Chills

Muscle aches

Nausea

Vomiting",100,gpt2-large
medical,magnetic_resonance,magnetic resonance,declarative,cloze,Magnetic resonance imaging is,"a technique that uses electromagnetic waves to image the brain. It is used to diagnose and treat brain diseases, such as Alzheimer's disease, Parkinson's disease, and epilepsy.

Magnetic resonance imaging (MRI) is a technique that uses electromagnetic waves to image the brain. It is used to diagnose and treat brain diseases, such as Alzheimer's disease, Parkinson's disease, and epilepsy.

Magnetic resonance imaging (MRI) is a technique that uses electromagnetic waves to image the brain. It",100,gpt2-large
medical,multiple_sclerosis,multiple sclerosis,declarative,cloze,Multiple sclerosis is,"a chronic, progressive disease that affects the central nervous system. It is characterized by the progressive loss of the nerve cells that transmit signals from the brain to the muscles and the loss of the ability to move the body.

The disease is usually diagnosed in the early 20s, but can occur at any age.

The disease is usually treated with a combination of medications, including:

Steroids

Anti-inflammatory drugs

Anti-seizure medications

Anti",100,gpt2-large
medical,complete_remission,complete remission,declarative,cloze,Complete remission means,"that the patient has no detectable levels of the disease-causing virus in their blood.

The virus is usually found in the blood of people who have had a previous infection with the virus.

The virus is usually found in the blood of people who have had a previous infection with the virus.

The virus is usually found in the blood of people who have had a previous infection with the virus.

The virus is usually found in the blood of people who have had a",100,gpt2-large
medical,bowel_resection,bowel resection,declarative,cloze,A bowel resection is,"a procedure that removes the entire colon. The procedure is usually performed in a hospital, but it can also be performed in a private clinic.

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure

The procedure",100,gpt2-large
medical,organ_transplant,organ transplant,declarative,cloze,An organ transplant is,"a life-saving procedure that can save the life of a person with a serious illness.

The procedure is usually performed by a doctor or nurse, but it can also be done by a nurse or doctor.

The procedure is usually done in a hospital or clinic.

The donor organ is usually removed from the body of the patient.

The donor organ is usually removed from the body of the patient.

The donor organ is usually removed from the body of the patient",100,gpt2-large
