compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
keyboard_navigation,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000106,1.8e-05,8.8e-05,False,False,8050,8.993551586299981
focus_indicator,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000144,8e-05,6.4e-05,False,False,1261,7.140453043101158
section_heading,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000224,0.00015,7.400000000000001e-05,False,False,6949,8.846496938558838
text_alternative,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000227,8.1e-05,0.00014599999999999997,False,False,1852,7.52456122628536
sensory_characteristics,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000265,4.5e-05,0.00021999999999999998,False,False,11206,9.324293862052027
target_size,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000215,5.6e-05,0.000159,False,False,21981,9.997979215628845
drag_movement,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",5.9e-05,1.5e-05,4.4e-05,False,False,328,5.796057750765372
focus_appearance,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",5e-05,2.6e-05,2.4000000000000004e-05,False,False,102,4.634728988229636
consistent_help,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",7.4e-05,4.1e-05,3.2999999999999996e-05,False,False,504,6.224558429275359
redundant_entry,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.00034,4e-05,0.00030000000000000003,False,False,205,5.327876168789581
accessible_authentication,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000293,5.5e-05,0.000238,False,False,3,1.3862943611198906
