domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,5,5.8559,5.0701,7.786,4.917,pythia-2.8b
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,7,4.6262,3.8188,6.2484,0.729,pythia-2.8b
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,9,4.1678,3.1468,6.2484,1.7157,pythia-2.8b
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,7,4.3016,3.2393,7.786,0.9615,pythia-2.8b
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,9,4.6047,3.0909,7.786,1.4634,pythia-2.8b
control,living_room,living room,declarative,cloze,A living room is,5,5.6555,3.2426,7.786,3.2426,pythia-2.8b
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,10,3.6372,4.1491,7.786,0.0018,pythia-2.8b
control,school_bus,school bus,declarative,cloze,A school bus is used to,7,4.5222,3.052,7.786,1.8378,pythia-2.8b
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,7,3.9225,3.1163,7.786,0.2394,pythia-2.8b
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,7,4.0573,3.7144,6.2484,1.7586,pythia-2.8b
control,hot_chocolate,hot chocolate,declarative,cloze,Hot chocolate is a warm beverage typically made from,10,3.7539,3.0856,6.2484,1.5259,pythia-2.8b
control,apple_pie,apple pie,declarative,cloze,Apple pie is a dessert featuring,7,4.6964,3.3904,6.2484,3.3904,pythia-2.8b
control,orange_juice,orange juice,declarative,cloze,Orange juice is extracted from,7,4.1598,2.7507,6.2484,0.9536,pythia-2.8b
control,baked_beans,baked beans,declarative,cloze,Baked beans are,5,5.2189,3.9913,6.2484,3.7582,pythia-2.8b
control,palm_tree,palm tree,declarative,cloze,A palm tree is characterized by,7,4.5638,3.5179,7.786,0.7114,pythia-2.8b
control,thunder_storm,thunder storm,declarative,cloze,A thunder storm is,5,5.1672,4.9383,7.786,1.6791,pythia-2.8b
control,coral_reef,coral reef,declarative,cloze,A coral reef is an underwater formation that,9,4.4561,3.5921,7.786,2.7438,pythia-2.8b
control,shooting_star,shooting star,declarative,cloze,A shooting star is actually,6,4.8,2.0003,7.786,2.0003,pythia-2.8b
control,mountain_lion,mountain lion,declarative,cloze,A mountain lion is,5,5.5992,5.0461,7.786,4.355,pythia-2.8b
control,tidal_wave,tidal wave,declarative,cloze,A tidal wave is a large ocean wave caused by,11,3.7332,2.9756,7.786,0.2409,pythia-2.8b
control,dining_table,dining table,declarative,cloze,A dining table is furniture used for,8,4.2089,3.055,7.786,1.9423,pythia-2.8b
control,car_keys,car keys,declarative,cloze,Car keys are used to,6,4.3258,2.4761,6.2484,2.2152,pythia-2.8b
control,washing_machine,washing machine,declarative,cloze,A washing machine is an appliance that,8,3.54,3.3439,7.786,0.6643,pythia-2.8b
control,bath_towels,bath towels,declarative,cloze,Bath towels are used for,7,4.5073,2.9565,6.2484,2.6605,pythia-2.8b
control,alarm_clock,alarm clock,declarative,cloze,An alarm clock is a device that,8,4.3899,4.0529,6.7819,2.1519,pythia-2.8b
control,light_bulb,light bulb,declarative,cloze,A light bulb is,5,5.586,4.9627,7.786,3.7196,pythia-2.8b
control,post_office,post office,declarative,cloze,A post office is an institution that,8,4.5997,4.2675,7.786,3.2904,pythia-2.8b
control,parking_lot,parking lot,declarative,cloze,A parking lot is,5,5.2269,4.5191,7.786,3.2359,pythia-2.8b
control,train_station,train station,declarative,cloze,A train station is a facility where,8,4.5867,2.1801,7.786,2.1801,pythia-2.8b
control,fire_station,fire station,declarative,cloze,A fire station is,5,5.3488,4.6867,7.786,3.6095,pythia-2.8b
control,swimming_pool,swimming pool,declarative,cloze,A swimming pool is a structure designed for,9,4.2496,3.8242,7.786,1.3274,pythia-2.8b
control,coffee_shop,coffee shop,declarative,cloze,A coffee shop is,5,5.3676,5.0444,7.786,3.7761,pythia-2.8b
control,hard_drive,hard drive,declarative,cloze,A hard drive is a computer component used for,10,3.7748,1.8401,7.786,0.8462,pythia-2.8b
control,operating_system,operating system,declarative,cloze,An operating system is software that,7,3.623,2.2333,6.7819,1.5266,pythia-2.8b
control,search_engine,search engine,declarative,cloze,A search engine is,5,4.4619,1.9878,7.786,1.9878,pythia-2.8b
control,user_name,user name,declarative,cloze,A user name is typically used for,8,4.1225,4.0857,7.786,1.4016,pythia-2.8b
control,power_supply,power supply,declarative,cloze,A power supply is,5,5.1111,3.0971,7.786,3.0971,pythia-2.8b
control,data_base,data base,declarative,cloze,A data base is,5,5.1185,3.4868,7.786,3.4697,pythia-2.8b
control,sore_throat,sore throat,declarative,cloze,A sore throat is,5,4.9054,3.0514,7.786,3.0514,pythia-2.8b
control,blood_pressure,blood pressure,declarative,cloze,Blood pressure refers to,5,3.4127,1.1088,6.2484,0.1669,pythia-2.8b
control,collar_bone,collar bone,declarative,cloze,The collar bone is,5,5.3456,3.7649,7.4896,3.7649,pythia-2.8b
control,heart_rate,heart rate,declarative,cloze,Heart rate measures,4,4.3566,3.865,6.2484,2.6007,pythia-2.8b
control,dental_appointment,dental appointment,declarative,cloze,A dental appointment is,5,5.3627,3.6889,7.786,3.4197,pythia-2.8b
control,waiting_room,waiting room,declarative,cloze,A waiting room is,5,4.8985,4.3132,7.786,2.4686,pythia-2.8b
