family,model,n_late_heads,n_finite,n_negative,n_negative_q_lt_05,n_negative_bootstrap_ci,median_head_rho,p95_rho,upper_tail_unique_heads,upper_tail_heads_per_compound_min,upper_tail_heads_per_compound_max
gpt2,gpt2,48,48,16,0,1,0.13724489795918368,-0.2838775510204081,14,3,3
gpt2,gpt2-large,240,240,132,0,13,-0.027091836734693876,-0.3496938775510203,96,12,12
gpt2,gpt2-medium,128,128,78,0,13,-0.06,-0.3420408163265306,34,7,7
gpt2,gpt2-xl,400,400,252,0,29,-0.05397959183673469,-0.15244897959183673,191,20,20
olmo,OLMo-2-0425-1B,80,80,49,6,14,-0.07530612244897959,-0.165,37,4,4
olmo,OLMo-2-1124-13B,520,520,307,1,43,-0.04576530612244898,-0.25448979591836735,145,26,26
olmo,OLMo-2-1124-7B,320,320,192,8,40,-0.05826530612244898,-0.2757142857142857,107,16,16
pythia,pythia-12b,480,467,307,7,66,-0.06785714285714285,-0.3689795918367346,161,24,24
pythia,pythia-160m,48,48,28,0,3,-0.057091836734693875,-0.31755102040816324,15,3,3
pythia,pythia-1b,40,40,34,1,6,-0.10989795918367347,-0.45091836734693874,19,2,2
pythia,pythia-2.8b,320,320,252,5,52,-0.12035714285714286,-0.48510204081632646,130,16,16
pythia,pythia-410m,128,128,101,0,21,-0.1435204081632653,-0.420204081632653,48,7,7
pythia,pythia-6.9b,320,318,218,6,42,-0.0910204081632653,-0.4504081632653061,112,16,16
