compound,p95_relative,bigram_count,family,model,condition,log_frequency
accessibility_tree,0.045877313613891496,1307,gpt2,gpt2,natural,7.176254532017144
accessible_authentication,0.043383450806140846,3,gpt2,gpt2,natural,1.3862943611198906
accessible_description,0.06848971117287872,716,gpt2,gpt2,natural,6.57507584059962
accessible_name,0.071022181212902,1619,gpt2,gpt2,natural,7.3901814282264295
alt_text,0.03256318103522057,23306,gpt2,gpt2,natural,10.056509023618531
audio_description,0.047373852133750886,4691,gpt2,gpt2,natural,8.453614209773367
character_key,0.02779477946460241,1974,gpt2,gpt2,natural,7.5883236773352225
closed_captions,0.0304131003096699,7942,gpt2,gpt2,natural,8.980046316633132
cognitive_disabilities,0.04290311131626355,10189,gpt2,gpt2,natural,9.229162126216771
color_contrast,0.03224214976653451,20112,gpt2,gpt2,natural,9.909121651153221
combo_box,0.0326007448136806,50410,gpt2,gpt2,natural,10.827964684213782
consistent_help,0.06728850528597831,504,gpt2,gpt2,natural,6.22455842927536
decorative_image,0.06188059262931343,749,gpt2,gpt2,natural,6.620073206530356
drag_movement,0.030072243977338008,328,gpt2,gpt2,natural,5.796057750765372
error_identification,0.044127605296671334,1566,gpt2,gpt2,natural,7.356918242356021
focus_appearance,0.023623736575245777,102,gpt2,gpt2,natural,4.634728988229636
focus_indicator,0.019643097184598397,1261,gpt2,gpt2,natural,7.140453043101158
focus_management,0.03544144649058572,989,gpt2,gpt2,natural,6.897704943128636
form_field,0.03584847263991829,51864,gpt2,gpt2,natural,10.856399467865929
informative_image,0.05788310412317506,520,gpt2,gpt2,natural,6.255750041753367
input_purpose,0.05415658317506306,53,gpt2,gpt2,natural,3.9889840465642745
keyboard_interaction,0.03305773995816702,1073,gpt2,gpt2,natural,6.97914527506881
keyboard_navigation,0.04607547242194408,8050,gpt2,gpt2,natural,8.993551586299981
landmark_region,0.07015161253511898,128,gpt2,gpt2,natural,4.859812404361672
live_region,0.08323874846100802,1112,gpt2,gpt2,natural,7.014814351275545
low_vision,0.026706038787960976,36811,gpt2,gpt2,natural,10.513579157958748
menu_bar,0.0372481552883982,106878,gpt2,gpt2,natural,11.579452632439278
pointer_cancellation,0.01808739397674794,2,gpt2,gpt2,natural,1.0986122886681098
