family,model,condition,compound,in_frequency_set,word1_tokens,word2_tokens,compound_tokens,word1_spans,word2_spans,word1_pieces,word2_pieces
gpt2,gpt2,natural,screen_reader,True,1,1,2,1,1,"["" screen""]","["" reader""]"
gpt2,gpt2,natural,alt_text,True,1,1,2,1,1,"["" alt""]","["" text""]"
gpt2,gpt2,natural,skip_link,True,1,1,2,1,1,"["" skip""]","["" link""]"
gpt2,gpt2,natural,color_contrast,True,1,1,2,1,1,"[""Color""]","["" contrast""]"
gpt2,gpt2,natural,keyboard_navigation,True,2,1,3,1,1,"[""Key"", ""board""]","["" navigation""]"
gpt2,gpt2,natural,closed_captions,True,2,2,4,1,1,"[""Cl"", ""osed""]","["" capt"", ""ions""]"
gpt2,gpt2,natural,focus_indicator,True,1,1,2,1,1,"["" focus""]","["" indicator""]"
gpt2,gpt2,natural,semantic_html,True,2,1,3,1,1,"[""Sem"", ""antic""]","["" HTML""]"
gpt2,gpt2,natural,form_label,False,1,1,2,1,1,"["" form""]","["" label""]"
gpt2,gpt2,natural,link_text,False,1,1,2,1,1,"[""Link""]","["" text""]"
gpt2,gpt2,natural,page_title,False,1,1,2,1,1,"["" page""]","["" title""]"
gpt2,gpt2,natural,keyboard_interaction,True,1,1,2,1,1,"["" keyboard""]","["" interaction""]"
gpt2,gpt2,natural,section_heading,True,1,1,2,1,1,"["" section""]","["" heading""]"
gpt2,gpt2,natural,text_alternative,True,1,1,2,1,1,"["" text""]","["" alternative""]"
gpt2,gpt2,natural,audio_description,True,1,1,2,1,1,"["" audio""]","["" description""]"
gpt2,gpt2,natural,sign_language,True,1,1,2,1,1,"[""Sign""]","["" language""]"
gpt2,gpt2,natural,sensory_characteristics,True,3,1,4,1,1,"[""S"", ""ens"", ""ory""]","["" characteristics""]"
gpt2,gpt2,natural,input_purpose,True,1,1,2,1,1,"["" input""]","["" purpose""]"
gpt2,gpt2,natural,target_size,True,1,1,2,1,1,"["" target""]","["" size""]"
gpt2,gpt2,natural,touch_target,True,1,1,2,1,1,"["" touch""]","["" target""]"
gpt2,gpt2,natural,drag_movement,True,1,1,2,1,1,"["" drag""]","["" movement""]"
gpt2,gpt2,natural,focus_appearance,True,1,1,2,1,1,"["" focus""]","["" appearance""]"
gpt2,gpt2,natural,consistent_help,True,2,1,3,1,1,"[""Cons"", ""istent""]","["" help""]"
gpt2,gpt2,natural,redundant_entry,True,1,1,2,1,1,"["" redundant""]","["" entry""]"
gpt2,gpt2,natural,accessible_authentication,True,2,1,3,1,1,"[""Access"", ""ible""]","["" authentication""]"
gpt2,gpt2,natural,text_spacing,True,1,1,2,1,1,"[""Text""]","["" spacing""]"
gpt2,gpt2,natural,status_message,True,1,1,2,1,1,"["" status""]","["" message""]"
gpt2,gpt2,natural,error_identification,True,1,1,2,1,1,"[""Error""]","["" identification""]"
gpt2,gpt2,natural,pointer_cancellation,True,2,1,3,1,1,"[""Po"", ""inter""]","["" cancellation""]"
gpt2,gpt2,natural,character_key,True,1,1,2,1,1,"["" character""]","["" key""]"
gpt2,gpt2,natural,accessibility_tree,True,1,1,2,1,1,"["" accessibility""]","["" tree""]"
gpt2,gpt2,natural,accessible_name,True,1,1,2,1,1,"["" accessible""]","["" name""]"
gpt2,gpt2,natural,accessible_description,True,1,1,2,1,1,"["" accessible""]","["" description""]"
gpt2,gpt2,natural,live_region,True,1,1,2,1,1,"["" live""]","["" region""]"
gpt2,gpt2,natural,tab_panel,True,1,1,2,1,1,"["" tab""]","["" panel""]"
gpt2,gpt2,natural,radio_group,True,1,1,2,1,1,"["" radio""]","["" group""]"
gpt2,gpt2,natural,tree_grid,True,1,1,2,1,1,"["" tree""]","["" grid""]"
gpt2,gpt2,natural,menu_bar,True,1,1,2,1,1,"["" menu""]","["" bar""]"
gpt2,gpt2,natural,tool_tip,True,1,1,2,1,1,"["" tool""]","["" tip""]"
gpt2,gpt2,natural,combo_box,True,1,1,2,1,1,"["" combo""]","["" box""]"
gpt2,gpt2,natural,semantic_markup,True,2,1,3,1,1,"[""Sem"", ""antic""]","["" markup""]"
gpt2,gpt2,natural,focus_management,True,1,1,2,1,1,"[""Focus""]","["" management""]"
gpt2,gpt2,natural,reading_order,True,1,1,2,1,1,"[""Reading""]","["" order""]"
gpt2,gpt2,natural,text_formatting,True,1,1,2,1,1,"[""Text""]","["" formatting""]"
gpt2,gpt2,natural,form_field,True,1,1,2,1,1,"["" form""]","["" field""]"
